data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,19,22
2020-01-01,2020-08-28,22,23
2020-01-01,2020-08-28,43,7
2020-01-01,2020-08-28,18,24
2020-01-01,2020-08-28,8,18
2020-01-01,2020-08-28,10,20
2020-01-01,2020-08-28,5,8
2020-01-01,2020-08-28,11,17
2020-01-01,2020-08-28,49,1
2020-01-01,2020-08-28,3,3
2020-01-01,2020-08-28,47,3
2020-01-01,2020-08-28,17,25
2020-01-01,2020-08-28,37,4
2020-01-01,2020-08-28,12,16
2020-01-01,2020-08-28,20,20
2020-01-01,2020-08-28,42,4
2020-01-01,2020-08-28,1,3
2020-01-01,2020-08-28,15,25
2020-01-01,2020-08-28,21,20
2020-01-01,2020-08-28,48,2
2020-01-01,2020-08-28,4,9
2020-01-01,2020-08-28,16,25
2020-01-01,2020-08-28,7,10
2020-01-01,2020-08-28,34,8
2020-01-01,2020-08-28,23,21
2020-01-01,2020-08-28,31,12
2020-01-01,2020-08-28,2,4
2020-01-01,2020-08-28,14,16
2020-01-01,2020-08-28,6,12
2020-01-01,2020-08-28,25,9
2020-01-01,2020-08-28,24,11
2020-01-01,2020-08-28,32,7
2020-01-01,2020-08-28,55,2
2020-01-01,2020-08-28,39,2
2020-01-01,2020-08-28,26,13
2020-01-01,2020-08-28,29,8
2020-01-01,2020-08-28,45,2
2020-01-01,2020-08-28,30,5
2020-01-01,2020-08-28,72,1
2020-01-01,2020-08-28,52,4
2020-01-01,2020-08-28,67,1
2020-01-01,2020-08-28,93,1
2020-01-01,2020-08-28,13,20
2020-01-01,2020-08-28,40,6
2020-08-29,2021-04-26,41,5
2020-08-29,2021-04-26,63,1
2020-08-29,2021-04-26,35,4
2020-08-29,2021-04-26,38,5
2020-08-29,2021-04-26,28,9
2020-08-29,2021-04-26,36,6
2020-08-29,2021-04-26,9,19
2020-08-29,2021-04-26,51,2
2020-08-29,2021-04-26,27,8
2020-08-29,2021-04-26,65,2
2020-08-29,2021-04-26,33,3
2020-08-29,2021-04-26,61,2
2020-08-29,2021-04-26,60,1
2020-08-29,2021-04-26,59,1
2020-08-29,2021-04-26,57,1
2020-08-29,2021-04-26,62,1
2020-08-29,2021-04-26,53,2
2020-08-29,2021-04-26,44,1
2020-08-29,2021-04-26,56,1
2020-08-29,2021-04-26,46,1
