data_inizio,data_fine,delay,frequenza_delay
2020-02-23,2020-02-24,21,-1
2020-02-25,2020-02-26,54,-1
2020-02-28,2020-02-29,21,-1
2020-03-02,2020-03-03,22,-1
2020-03-04,2020-03-05,24,-1
2020-03-06,2020-03-07,27,-1
2020-03-06,2020-03-07,31,-1
2020-03-06,2020-03-07,34,-1
2020-03-07,2020-03-08,25,-1
2020-03-07,2020-03-08,38,-1
2020-03-08,2020-03-09,27,-1
2020-03-11,2020-03-12,3,-1
2020-03-11,2020-03-12,41,-1
2020-03-12,2020-03-13,19,-1
2020-03-12,2020-03-13,18,-1
2020-03-13,2020-03-14,42,-1
2020-03-14,2020-03-15,25,-1
2020-03-15,2020-03-16,36,-1
2020-03-16,2020-03-17,45,-1
2020-03-17,2020-03-18,27,-1
2020-03-17,2020-03-18,17,-1
2020-03-18,2020-03-19,14,-1
2020-03-21,2020-03-22,39,-1
2020-03-21,2020-03-22,47,-1
2020-03-22,2020-03-23,13,-1
2020-03-23,2020-03-24,23,-1
2020-03-25,2020-03-26,15,-1
2020-03-26,2020-03-27,30,-1
2020-03-27,2020-03-28,21,-1
2020-03-29,2020-03-30,36,-1
2020-03-30,2020-03-31,18,-1
2020-03-30,2020-03-31,40,-1
2020-03-31,2020-04-01,41,-1
2020-04-01,2020-04-02,19,-1
2020-04-02,2020-04-03,13,-1
2020-04-03,2020-04-04,20,-1
2020-04-06,2020-04-07,20,-1
2020-04-06,2020-04-07,104,-1
2020-04-07,2020-04-08,27,-1
2020-04-07,2020-04-08,52,-1
2020-04-09,2020-04-10,34,-1
2020-04-11,2020-04-12,33,-1
2020-04-14,2020-04-15,46,-1
2020-04-14,2020-04-15,28,-1
2020-04-16,2020-04-17,20,-1
2020-04-23,2020-04-24,29,-1
2020-04-26,2020-04-27,37,-1
2020-04-27,2020-04-28,8,-1
2020-05-11,2020-05-12,6,-1
2020-05-12,2020-05-13,17,-1
2020-05-26,2020-05-27,53,-1
2020-07-29,2020-07-30,18,-1
2020-08-12,2020-08-13,17,-1
2020-08-16,2020-08-17,14,-1
2020-08-16,2020-08-17,62,-1
2020-09-05,2020-09-06,25,-1
2020-09-06,2020-09-07,14,-1
2020-09-08,2020-09-09,23,-1
2020-09-13,2020-09-14,24,-1
2020-09-14,2020-09-15,31,-1
2020-09-24,2020-09-25,31,-1
2020-09-25,2020-09-26,33,-1
2020-09-28,2020-09-29,31,-1
2020-10-01,2020-10-02,15,-1
2020-10-02,2020-10-03,26,-1
2020-10-03,2020-10-04,36,-1
2020-10-04,2020-10-05,22,-1
2020-10-04,2020-10-05,43,-1
2020-10-05,2020-10-06,28,-1
2020-10-05,2020-10-06,50,-1
2020-10-06,2020-10-07,33,-1
2020-10-07,2020-10-08,22,-1
2020-10-09,2020-10-10,38,-1
2020-10-10,2020-10-11,16,-1
2020-10-10,2020-10-11,32,-1
2020-10-11,2020-10-12,22,-1
2020-10-12,2020-10-13,39,-1
2020-10-12,2020-10-13,57,-1
2020-10-13,2020-10-14,24,-1
2020-10-14,2020-10-15,21,-1
2020-10-14,2020-10-15,66,-1
2020-10-14,2020-10-15,56,-1
2020-10-15,2020-10-16,41,-1
2020-10-16,2020-10-17,37,-1
2020-10-16,2020-10-17,11,-1
2020-10-16,2020-10-17,10,-1
2020-10-17,2020-10-18,36,-1
2020-10-17,2020-10-18,58,-1
2020-10-18,2020-10-19,29,-1
2020-10-18,2020-10-19,49,-1
2020-10-19,2020-10-20,25,-1
2020-10-20,2020-10-21,13,-1
2020-10-21,2020-10-22,15,-1
2020-10-22,2020-10-23,29,-1
2020-10-23,2020-10-24,37,-1
2020-10-23,2020-10-24,59,-1
2020-10-24,2020-10-25,15,-1
2020-10-24,2020-10-25,63,-1
2020-10-25,2020-10-26,56,-1
2020-10-26,2020-10-27,20,-1
