data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,67,8
2020-01-01,2020-12-31,50,37
2020-01-01,2020-12-31,31,76
2020-01-01,2020-12-31,8,41
2020-01-01,2020-12-31,23,136
2020-01-01,2020-12-31,32,71
2020-01-01,2020-12-31,19,136
2020-01-01,2020-12-31,36,49
2020-01-01,2020-12-31,16,112
2020-01-01,2020-12-31,53,25
2020-01-01,2020-12-31,14,83
2020-01-01,2020-12-31,21,135
2020-01-01,2020-12-31,33,61
2020-01-01,2020-12-31,38,52
2020-01-01,2020-12-31,9,37
2020-01-01,2020-12-31,65,11
2020-01-01,2020-12-31,10,58
2020-01-01,2020-12-31,24,139
2020-01-01,2020-12-31,48,27
2020-01-01,2020-12-31,6,27
2020-01-01,2020-12-31,20,142
2020-01-01,2020-12-31,37,46
2020-01-01,2020-12-31,26,119
2020-01-01,2020-12-31,30,92
2020-01-01,2020-12-31,22,132
2020-01-01,2020-12-31,79,7
2020-01-01,2020-12-31,101,3
2020-01-01,2020-12-31,46,25
2020-01-01,2020-12-31,304,1
2020-01-01,2020-12-31,34,72
2020-01-01,2020-12-31,15,120
2020-01-01,2020-12-31,13,77
2020-01-01,2020-12-31,91,2
2020-01-01,2020-12-31,4,6
2020-01-01,2020-12-31,27,95
2020-01-01,2020-12-31,17,115
2020-01-01,2020-12-31,35,61
2020-01-01,2020-12-31,28,89
2020-01-01,2020-12-31,18,129
2020-01-01,2020-12-31,51,26
2020-01-01,2020-12-31,47,23
2020-01-01,2020-12-31,29,98
2020-01-01,2020-12-31,42,44
2020-01-01,2020-12-31,25,130
2020-01-01,2020-12-31,57,17
2020-01-01,2020-12-31,52,32
2020-01-01,2020-12-31,39,46
2020-01-01,2020-12-31,44,34
2020-01-01,2020-12-31,12,76
2020-01-01,2020-12-31,71,6
2020-01-01,2020-12-31,88,2
2020-01-01,2020-12-31,41,37
2020-01-01,2020-12-31,49,27
2020-01-01,2020-12-31,94,2
2020-01-01,2020-12-31,59,23
2020-01-01,2020-12-31,110,1
2020-01-01,2020-12-31,43,35
2020-01-01,2020-12-31,120,3
2020-01-01,2020-12-31,141,2
2020-01-01,2020-12-31,11,70
2020-01-01,2020-12-31,64,9
2020-01-01,2020-12-31,66,13
2020-01-01,2020-12-31,73,10
2020-01-01,2020-12-31,284,1
2020-01-01,2020-12-31,105,2
2020-01-01,2020-12-31,87,5
2020-01-01,2020-12-31,98,2
2020-01-01,2020-12-31,5,18
2020-01-01,2020-12-31,58,25
2020-01-01,2020-12-31,148,3
2020-01-01,2020-12-31,45,36
2020-01-01,2020-12-31,54,18
2020-01-01,2020-12-31,40,51
2020-01-01,2020-12-31,184,1
2020-01-01,2020-12-31,68,5
2020-01-01,2020-12-31,78,4
2020-01-01,2020-12-31,62,23
2020-01-01,2020-12-31,7,26
2020-01-01,2020-12-31,122,3
2020-01-01,2020-12-31,180,1
2020-01-01,2020-12-31,114,3
2020-01-01,2020-12-31,55,23
2020-01-01,2020-12-31,77,6
2020-01-01,2020-12-31,63,15
2020-01-01,2020-12-31,3,3
2020-01-01,2020-12-31,75,4
2020-01-01,2020-12-31,104,4
2020-01-01,2020-12-31,84,8
2020-01-01,2020-12-31,56,21
2020-01-01,2020-12-31,147,1
2020-01-01,2020-12-31,183,1
2020-01-01,2020-12-31,131,1
2020-01-01,2020-12-31,103,1
2020-01-01,2020-12-31,83,2
2020-01-01,2020-12-31,139,1
2020-01-01,2020-12-31,160,1
2020-01-01,2020-12-31,60,23
2020-01-01,2020-12-31,85,2
2020-01-01,2020-12-31,156,1
2020-01-01,2020-12-31,80,6
2020-01-01,2020-12-31,61,13
2020-01-01,2020-12-31,121,1
2020-01-01,2020-12-31,92,2
2020-01-01,2020-12-31,133,1
2020-01-01,2020-12-31,108,1
2020-01-01,2020-12-31,179,1
2020-01-01,2020-12-31,89,2
2020-01-01,2020-12-31,74,9
2020-01-01,2020-12-31,99,2
2020-01-01,2020-12-31,93,1
2020-01-01,2020-12-31,86,2
2020-01-01,2020-12-31,134,1
2020-01-01,2020-12-31,146,1
2020-01-01,2020-12-31,112,1
2020-01-01,2020-12-31,270,1
2020-01-01,2020-12-31,70,9
2020-01-01,2020-12-31,150,2
2020-01-01,2020-12-31,96,1
2020-01-01,2020-12-31,171,1
2020-01-01,2020-12-31,69,8
2020-01-01,2020-12-31,162,1
2020-01-01,2020-12-31,273,1
2020-01-01,2020-12-31,95,2
2020-01-01,2020-12-31,90,2
2020-01-01,2020-12-31,125,1
2020-01-01,2020-12-31,130,1
2020-01-01,2020-12-31,81,3
2020-01-01,2020-12-31,164,1
2020-01-01,2020-12-31,107,1
2020-01-01,2020-12-31,76,5
2020-01-01,2020-12-31,126,1
2020-01-01,2020-12-31,193,1
2020-01-01,2020-12-31,82,3
2020-01-01,2020-12-31,135,1
2020-01-01,2020-12-31,72,7
2020-01-01,2020-12-31,100,1
