data_inizio,data_fine,delay,frequenza_delay
2020-03-01,2020-03-15,27,7
2020-03-01,2020-03-15,33,10
2020-03-01,2020-03-15,37,12
2020-03-01,2020-03-15,31,10
2020-03-01,2020-03-15,38,5
2020-03-01,2020-03-15,39,4
2020-03-16,2020-03-30,23,12
2020-03-16,2020-03-30,19,7
2020-03-16,2020-03-30,26,12
2020-03-16,2020-03-30,28,8
2020-03-16,2020-03-30,30,16
2020-03-16,2020-03-30,32,14
2020-03-16,2020-03-30,29,7
2020-03-16,2020-03-30,34,7
2020-03-31,2020-04-14,18,2
2020-03-31,2020-04-14,24,12
2020-03-31,2020-04-14,25,10
2020-03-31,2020-04-14,20,3
2020-03-31,2020-04-14,35,5
2020-09-27,2020-10-11,36,7
2020-10-12,2020-10-26,21,4
2020-10-12,2020-10-26,22,4
2020-10-27,2020-11-10,16,1
2020-11-11,2020-11-25,17,2
2020-11-26,2020-12-10,15,1
