data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,23,24
2020-01-01,2020-04-30,53,10
2020-01-01,2020-04-30,48,8
2020-01-01,2020-04-30,33,19
2020-01-01,2020-04-30,79,3
2020-01-01,2020-04-30,28,22
2020-01-01,2020-04-30,304,1
2020-01-01,2020-04-30,26,33
2020-01-01,2020-04-30,34,22
2020-01-01,2020-04-30,22,37
2020-01-01,2020-04-30,13,15
2020-01-01,2020-04-30,30,21
2020-01-01,2020-04-30,91,1
2020-01-01,2020-04-30,20,34
2020-01-01,2020-04-30,35,17
2020-01-01,2020-04-30,29,32
2020-01-01,2020-04-30,66,2
2020-01-01,2020-04-30,31,28
2020-01-01,2020-04-30,75,1
2020-01-01,2020-04-30,19,30
2020-01-01,2020-04-30,44,11
2020-01-01,2020-04-30,32,23
2020-01-01,2020-04-30,71,1
2020-01-01,2020-04-30,7,10
2020-01-01,2020-04-30,45,6
2020-01-01,2020-04-30,27,27
2020-01-01,2020-04-30,25,31
2020-01-01,2020-04-30,52,6
2020-01-01,2020-04-30,110,1
2020-01-01,2020-04-30,43,5
2020-01-01,2020-04-30,11,17
2020-01-01,2020-04-30,24,39
2020-01-01,2020-04-30,36,13
2020-01-01,2020-04-30,16,23
2020-01-01,2020-04-30,59,4
2020-01-01,2020-04-30,14,28
2020-01-01,2020-04-30,5,3
2020-01-01,2020-04-30,8,13
2020-01-01,2020-04-30,15,18
2020-01-01,2020-04-30,12,21
2020-01-01,2020-04-30,21,23
2020-01-01,2020-04-30,4,5
2020-01-01,2020-04-30,10,9
2020-01-01,2020-04-30,37,18
2020-01-01,2020-04-30,42,10
2020-01-01,2020-04-30,73,2
2020-01-01,2020-04-30,114,3
2020-01-01,2020-04-30,6,5
2020-01-01,2020-04-30,17,21
2020-01-01,2020-04-30,47,7
2020-01-01,2020-04-30,38,10
2020-01-01,2020-04-30,39,8
2020-01-01,2020-04-30,54,2
2020-01-01,2020-04-30,84,2
2020-01-01,2020-04-30,103,2
2020-01-01,2020-04-30,58,5
2020-01-01,2020-04-30,120,1
2020-01-01,2020-04-30,18,29
2020-01-01,2020-04-30,108,1
2020-01-01,2020-04-30,67,2
2020-01-01,2020-04-30,86,1
2020-01-01,2020-04-30,104,1
2020-01-01,2020-04-30,57,4
2020-01-01,2020-04-30,263,1
2020-01-01,2020-04-30,70,3
2020-01-01,2020-04-30,46,4
2020-01-01,2020-04-30,105,1
2020-01-01,2020-04-30,40,10
2020-01-01,2020-04-30,90,1
2020-01-01,2020-04-30,130,1
2020-01-01,2020-04-30,64,1
2020-05-01,2020-08-29,122,1
2020-05-01,2020-08-29,65,4
2020-05-01,2020-08-29,62,4
2020-08-30,2020-12-28,63,1
2020-08-30,2020-12-28,9,2
2020-08-30,2020-12-28,77,2
2020-08-30,2020-12-28,81,1
2020-08-30,2020-12-28,78,2
2020-08-30,2020-12-28,49,2
2020-08-30,2020-12-28,82,1
2020-08-30,2020-12-28,50,3
2020-08-30,2020-12-28,51,6
2020-08-30,2020-12-28,72,1
2020-08-30,2020-12-28,60,2
2020-08-30,2020-12-28,41,6
2020-08-30,2020-12-28,56,4
2020-08-30,2020-12-28,3,2
2020-08-30,2020-12-28,61,1
2020-08-30,2020-12-28,55,4
