data_inizio,data_fine,delay,frequenza_delay
2020-01-31,2020-02-14,36,33
2020-02-15,2020-02-29,27,35
2020-02-15,2020-02-29,38,22
2020-02-15,2020-02-29,29,41
2020-02-15,2020-02-29,34,37
2020-02-15,2020-02-29,32,40
2020-02-15,2020-02-29,37,24
2020-03-01,2020-03-15,17,9
2020-03-01,2020-03-15,21,31
2020-03-01,2020-03-15,19,19
2020-03-01,2020-03-15,26,43
2020-03-01,2020-03-15,20,31
2020-03-01,2020-03-15,18,24
2020-03-01,2020-03-15,23,49
2020-03-01,2020-03-15,30,45
2020-03-01,2020-03-15,24,42
2020-03-01,2020-03-15,31,43
2020-03-01,2020-03-15,22,42
2020-03-01,2020-03-15,35,29
2020-03-01,2020-03-15,28,42
2020-03-01,2020-03-15,33,44
2020-03-16,2020-03-30,25,34
2020-03-31,2020-04-14,16,9
2020-03-31,2020-04-14,39,11
2020-08-13,2020-08-27,40,7
2020-10-27,2020-11-10,15,2
2020-12-11,2020-12-25,13,1
