data_inizio,data_fine,delay,frequenza_delay
2020-01-31,2020-02-14,31,96
2020-01-31,2020-02-14,36,73
2020-02-15,2020-02-29,8,65
2020-02-15,2020-02-29,18,123
2020-02-15,2020-02-29,32,117
2020-02-15,2020-02-29,34,85
2020-02-15,2020-02-29,27,131
2020-02-15,2020-02-29,9,62
2020-02-15,2020-02-29,12,78
2020-02-15,2020-02-29,16,81
2020-02-15,2020-02-29,26,136
2020-02-15,2020-02-29,33,110
2020-02-15,2020-02-29,15,71
2020-02-15,2020-02-29,37,56
2020-02-15,2020-02-29,40,17
2020-02-15,2020-02-29,29,118
2020-02-15,2020-02-29,38,48
2020-03-01,2020-03-15,2,10
2020-03-01,2020-03-15,19,142
2020-03-01,2020-03-15,25,111
2020-03-01,2020-03-15,21,176
2020-03-01,2020-03-15,23,120
2020-03-01,2020-03-15,28,86
2020-03-01,2020-03-15,5,59
2020-03-01,2020-03-15,4,50
2020-03-01,2020-03-15,11,79
2020-03-01,2020-03-15,6,67
2020-03-01,2020-03-15,52,4
2020-03-01,2020-03-15,20,149
2020-03-01,2020-03-15,43,4
2020-03-01,2020-03-15,10,68
2020-03-01,2020-03-15,17,126
2020-03-01,2020-03-15,13,64
2020-03-01,2020-03-15,30,112
2020-03-01,2020-03-15,7,66
2020-03-01,2020-03-15,72,1
2020-03-01,2020-03-15,24,121
2020-03-01,2020-03-15,35,93
2020-03-01,2020-03-15,39,27
2020-03-01,2020-03-15,92,1
2020-03-01,2020-03-15,14,76
2020-03-01,2020-03-15,44,3
2020-03-01,2020-03-15,148,1
2020-03-16,2020-03-30,22,127
2020-03-16,2020-03-30,3,19
2020-03-16,2020-03-30,42,4
2020-03-16,2020-03-30,41,7
2020-03-16,2020-03-30,55,1
2020-03-31,2020-04-14,68,2
2020-03-31,2020-04-14,46,3
2020-03-31,2020-04-14,59,1
2020-04-15,2020-04-29,54,2
2020-04-15,2020-04-29,51,2
2020-08-28,2020-09-11,67,1
2020-09-12,2020-09-26,45,1
2020-10-12,2020-10-26,64,2
2020-10-12,2020-10-26,62,1
2020-10-12,2020-10-26,48,1
2020-10-12,2020-10-26,56,2
2020-10-12,2020-10-26,66,1
2020-10-12,2020-10-26,65,2
2020-10-12,2020-10-26,57,1
2020-10-27,2020-11-10,60,1
2020-10-27,2020-11-10,49,4
2020-10-27,2020-11-10,53,2
