data_inizio,data_fine,delay,frequenza_delay
2020-02-28,2020-02-29,2,-1
2020-03-01,2020-03-02,6,-1
2020-03-02,2020-03-03,10,-1
2020-03-02,2020-03-03,12,-1
2020-03-03,2020-03-04,8,-1
2020-03-05,2020-03-06,8,-1
2020-03-07,2020-03-08,6,-1
2020-03-07,2020-03-08,19,-1
2020-03-08,2020-03-09,0,-1
2020-03-09,2020-03-10,5,-1
2020-03-10,2020-03-11,6,-1
2020-03-11,2020-03-12,3,-1
2020-03-12,2020-03-13,1,-1
2020-03-14,2020-03-15,1,-1
2020-03-15,2020-03-16,1,-1
2020-03-16,2020-03-17,1,-1
2020-03-16,2020-03-17,11,-1
2020-03-18,2020-03-19,4,-1
2020-03-20,2020-03-21,10,-1
2020-03-21,2020-03-22,3,-1
2020-03-22,2020-03-23,13,-1
2020-03-23,2020-03-24,2,-1
2020-03-24,2020-03-25,1,-1
2020-03-27,2020-03-28,19,-1
2020-03-28,2020-03-29,2,-1
2020-03-29,2020-03-30,3,-1
2020-04-01,2020-04-02,1,-1
2020-04-01,2020-04-02,9,-1
2020-04-02,2020-04-03,6,-1
2020-04-03,2020-04-04,6,-1
2020-04-03,2020-04-04,15,-1
2020-04-05,2020-04-06,0,-1
2020-04-07,2020-04-08,2,-1
2020-04-10,2020-04-11,1,-1
2020-04-11,2020-04-12,2,-1
2020-04-11,2020-04-12,14,-1
2020-04-12,2020-04-13,4,-1
2020-04-13,2020-04-14,6,-1
2020-04-17,2020-04-18,0,-1
2020-04-18,2020-04-19,2,-1
2020-04-19,2020-04-20,1,-1
2020-04-21,2020-04-22,0,-1
2020-04-22,2020-04-23,4,-1
2020-04-23,2020-04-24,2,-1
2020-04-24,2020-04-25,1,-1
2020-04-26,2020-04-27,7,-1
2020-04-27,2020-04-28,0,-1
2020-05-02,2020-05-03,4,-1
2020-05-05,2020-05-06,7,-1
2020-05-06,2020-05-07,12,-1
2020-06-02,2020-06-03,0,-1
2020-07-06,2020-07-07,1,-1
2020-08-01,2020-08-02,0,-1
2020-08-08,2020-08-09,6,-1
2020-08-09,2020-08-10,6,-1
2020-08-15,2020-08-16,6,-1
2020-08-24,2020-08-25,5,-1
2020-08-25,2020-08-26,1,-1
2020-08-26,2020-08-27,2,-1
2020-08-27,2020-08-28,3,-1
2020-08-30,2020-08-31,9,-1
2020-08-31,2020-09-01,8,-1
2020-09-04,2020-09-05,0,-1
2020-09-08,2020-09-09,14,-1
2020-09-10,2020-09-11,3,-1
2020-09-11,2020-09-12,2,-1
2020-09-12,2020-09-13,1,-1
2020-09-15,2020-09-16,7,-1
2020-09-16,2020-09-17,4,-1
2020-09-17,2020-09-18,4,-1
2020-09-19,2020-09-20,8,-1
2020-09-21,2020-09-22,6,-1
2020-09-22,2020-09-23,1,-1
2020-09-25,2020-09-26,8,-1
2020-09-26,2020-09-27,8,-1
2020-09-26,2020-09-27,18,-1
2020-09-27,2020-09-28,3,-1
2020-09-28,2020-09-29,1,-1
2020-09-29,2020-09-30,2,-1
2020-09-30,2020-10-01,2,-1
2020-09-30,2020-10-01,16,-1
2020-10-01,2020-10-02,4,-1
2020-10-02,2020-10-03,5,-1
2020-10-03,2020-10-04,6,-1
2020-10-04,2020-10-05,0,-1
2020-10-05,2020-10-06,3,-1
2020-10-06,2020-10-07,4,-1
2020-10-07,2020-10-08,2,-1
2020-10-08,2020-10-09,1,-1
2020-10-09,2020-10-10,1,-1
2020-10-10,2020-10-11,0,-1
2020-10-11,2020-10-12,0,-1
2020-10-12,2020-10-13,3,-1
2020-10-13,2020-10-14,2,-1
2020-10-14,2020-10-15,1,-1
2020-10-15,2020-10-16,6,-1
2020-10-15,2020-10-16,17,-1
2020-10-16,2020-10-17,2,-1
2020-10-17,2020-10-18,0,-1
2020-10-18,2020-10-19,3,-1
2020-10-19,2020-10-20,1,-1
2020-10-20,2020-10-21,0,-1
2020-10-21,2020-10-22,1,-1
2020-10-22,2020-10-23,2,-1
2020-10-23,2020-10-24,0,-1
2020-10-24,2020-10-25,2,-1
2020-10-25,2020-10-26,1,-1
2020-10-26,2020-10-27,0,-1
2020-10-27,2020-10-28,1,-1
2020-10-28,2020-10-29,0,-1
2020-10-29,2020-10-30,1,-1
2020-10-30,2020-10-31,1,-1
2020-10-31,2020-11-01,0,-1
2020-11-01,2020-11-02,4,-1
2020-11-02,2020-11-03,2,-1
2020-11-03,2020-11-04,1,-1
2020-11-04,2020-11-05,1,5
2020-11-05,2020-11-06,0,-1
2020-11-06,2020-11-07,1,-1
2020-11-07,2020-11-08,1,4
2020-11-08,2020-11-09,0,-1
2020-11-09,2020-11-10,1,-1
2020-11-10,2020-11-11,3,-1
2020-11-11,2020-11-12,2,-1
2020-11-12,2020-11-13,1,-1
2020-11-13,2020-11-14,0,-1
2020-11-14,2020-11-15,1,-1
2020-11-15,2020-11-16,2,-1
2020-11-16,2020-11-17,0,-1
2020-11-17,2020-11-18,0,-1
2020-11-18,2020-11-19,1,-1
2020-11-19,2020-11-20,1,-1
2020-11-20,2020-11-21,3,-1
2020-11-21,2020-11-22,2,-1
2020-11-22,2020-11-23,1,-1
2020-11-23,2020-11-24,1,-1
2020-11-24,2020-11-25,1,-1
2020-11-25,2020-11-26,0,-1
2020-11-26,2020-11-27,0,-1
2020-11-27,2020-11-28,2,-1
2020-11-28,2020-11-29,4,-1
2020-11-29,2020-11-30,5,-1
2020-11-30,2020-12-01,1,-1
2020-12-01,2020-12-02,8,-1
2020-12-02,2020-12-03,2,-1
2020-12-03,2020-12-04,1,-1
2020-12-05,2020-12-06,1,-1
2020-12-06,2020-12-07,1,-1
2020-12-07,2020-12-08,1,-1
2020-12-08,2020-12-09,2,-1
2020-12-13,2020-12-14,1,-1
