data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,3,130
2020-01-01,2020-04-30,1,183
2020-01-01,2020-04-30,10,39
2020-01-01,2020-04-30,7,65
2020-01-01,2020-04-30,13,29
2020-01-01,2020-04-30,14,20
2020-01-01,2020-04-30,16,16
2020-01-01,2020-04-30,9,65
2020-01-01,2020-04-30,4,96
2020-01-01,2020-04-30,11,52
2020-01-01,2020-04-30,15,28
2020-01-01,2020-04-30,12,44
2020-01-01,2020-04-30,5,86
2020-01-01,2020-04-30,6,72
2020-01-01,2020-04-30,0,99
2020-01-01,2020-04-30,8,53
2020-01-01,2020-04-30,2,145
2020-01-01,2020-04-30,19,5
2020-01-01,2020-04-30,17,10
2020-01-01,2020-04-30,18,5
2020-01-01,2020-04-30,20,2
