data_inizio,data_fine,delay,frequenza_delay
2020-01-31,2020-02-14,35,219
2020-02-15,2020-02-29,27,238
2020-02-15,2020-02-29,26,229
2020-02-15,2020-02-29,24,218
2020-02-15,2020-02-29,30,201
2020-02-15,2020-02-29,29,235
2020-02-15,2020-02-29,34,221
2020-02-15,2020-02-29,33,225
2020-02-15,2020-02-29,37,112
2020-02-15,2020-02-29,28,226
2020-02-15,2020-02-29,32,240
2020-02-15,2020-02-29,36,148
2020-02-15,2020-02-29,39,66
2020-02-15,2020-02-29,40,30
2020-03-01,2020-03-15,18,76
2020-03-01,2020-03-15,20,157
2020-03-01,2020-03-15,23,237
2020-03-01,2020-03-15,25,228
2020-03-01,2020-03-15,22,225
2020-03-01,2020-03-15,21,185
2020-03-01,2020-03-15,17,78
2020-03-01,2020-03-15,19,147
2020-03-01,2020-03-15,31,217
2020-03-01,2020-03-15,38,108
2020-03-16,2020-03-30,15,12
2020-03-31,2020-04-14,16,28
2020-03-31,2020-04-14,41,8
2020-12-11,2020-12-25,14,1
2020-12-11,2020-12-25,13,7
