data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,10,900
2020-01-01,2020-12-31,2,852
2020-01-01,2020-12-31,4,933
2020-01-01,2020-12-31,13,893
2020-01-01,2020-12-31,6,902
2020-01-01,2020-12-31,17,893
2020-01-01,2020-12-31,5,888
2020-01-01,2020-12-31,11,926
2020-01-01,2020-12-31,8,914
2020-01-01,2020-12-31,16,958
2020-01-01,2020-12-31,14,911
2020-01-01,2020-12-31,3,900
2020-01-01,2020-12-31,7,878
2020-01-01,2020-12-31,15,929
2020-01-01,2020-12-31,12,919
2020-01-01,2020-12-31,18,938
2020-01-01,2020-12-31,20,473
2020-01-01,2020-12-31,9,852
2020-01-01,2020-12-31,19,902
2020-01-01,2020-12-31,1,455
