data_inizio,data_fine,delay,frequenza_delay
2020-01-23,2020-02-13,19,167
2020-02-14,2020-03-06,5,194
2020-02-14,2020-03-06,13,175
2020-02-14,2020-03-06,14,191
2020-02-14,2020-03-06,9,178
2020-02-14,2020-03-06,17,176
2020-02-14,2020-03-06,12,190
2020-02-14,2020-03-06,11,178
2020-02-14,2020-03-06,1,71
2020-02-14,2020-03-06,4,172
2020-02-14,2020-03-06,8,183
2020-02-14,2020-03-06,10,175
2020-02-14,2020-03-06,7,186
2020-02-14,2020-03-06,16,199
2020-02-14,2020-03-06,18,184
2020-02-14,2020-03-06,15,207
2020-02-14,2020-03-06,20,100
2020-03-07,2020-03-28,2,180
2020-03-07,2020-03-28,3,176
2020-03-07,2020-03-28,6,188
