data_inizio,data_fine,delay,frequenza_delay
2020-02-18,2020-02-19,13,83
2020-02-20,2020-02-21,16,109
2020-02-20,2020-02-21,18,93
2020-02-20,2020-02-21,14,118
2020-02-22,2020-02-23,17,90
2020-02-24,2020-02-25,12,105
2020-02-24,2020-02-25,21,39
2020-02-24,2020-02-25,20,48
2020-02-26,2020-02-27,11,103
2020-02-26,2020-02-27,15,118
2020-03-01,2020-03-02,5,101
2020-03-01,2020-03-02,8,99
2020-03-01,2020-03-02,10,93
2020-03-03,2020-03-04,1,55
2020-03-03,2020-03-04,7,100
2020-03-05,2020-03-06,6,114
2020-03-07,2020-03-08,2,73
2020-03-07,2020-03-08,9,100
2020-03-07,2020-03-08,19,73
2020-03-09,2020-03-10,3,77
2020-03-11,2020-03-12,22,17
2020-03-13,2020-03-14,4,96
2020-04-02,2020-04-03,23,4
