data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-03-01,1,64
2020-01-01,2020-03-01,4,114
2020-01-01,2020-03-01,5,135
2020-01-01,2020-03-01,7,121
2020-01-01,2020-03-01,10,126
2020-01-01,2020-03-01,11,113
2020-01-01,2020-03-01,13,118
2020-01-01,2020-03-01,15,122
2020-01-01,2020-03-01,17,118
2020-01-01,2020-03-01,19,108
2020-01-01,2020-03-01,20,52
2020-03-02,2020-05-01,2,144
2020-03-02,2020-05-01,9,108
2020-03-02,2020-05-01,12,128
2020-03-02,2020-05-01,14,127
2020-03-02,2020-05-01,8,121
2020-03-02,2020-05-01,16,126
2020-03-02,2020-05-01,6,136
2020-03-02,2020-05-01,3,122
2020-03-02,2020-05-01,18,104
