data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,17,48
2020-02-01,2020-03-02,8,43
2020-02-01,2020-03-02,18,46
2020-02-01,2020-03-02,10,43
2020-02-01,2020-03-02,19,43
2020-02-01,2020-03-02,20,21
2020-03-03,2020-04-02,1,30
2020-03-03,2020-04-02,4,33
2020-03-03,2020-04-02,5,38
2020-03-03,2020-04-02,3,42
2020-03-03,2020-04-02,6,42
2020-03-03,2020-04-02,12,36
2020-03-03,2020-04-02,9,36
2020-03-03,2020-04-02,11,34
2020-03-03,2020-04-02,14,53
2020-03-03,2020-04-02,16,31
2020-03-03,2020-04-02,2,40
2020-03-03,2020-04-02,15,56
2020-03-03,2020-04-02,7,43
2020-03-03,2020-04-02,13,31
