data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,0,1549
2020-02-01,2020-03-02,16,37
2020-02-01,2020-03-02,1,1321
2020-02-01,2020-03-02,115,1
2020-02-01,2020-03-02,2,1043
2020-03-03,2020-04-02,4,182
2020-03-03,2020-04-02,24,33
2020-03-03,2020-04-02,14,38
2020-03-03,2020-04-02,6,129
2020-03-03,2020-04-02,33,22
2020-03-03,2020-04-02,11,65
2020-03-03,2020-04-02,3,617
2020-03-03,2020-04-02,19,41
2020-03-03,2020-04-02,5,147
2020-03-03,2020-04-02,9,71
2020-03-03,2020-04-02,8,80
2020-03-03,2020-04-02,35,22
2020-03-03,2020-04-02,22,37
2020-03-03,2020-04-02,23,36
2020-03-03,2020-04-02,25,25
2020-03-03,2020-04-02,34,19
2020-03-03,2020-04-02,71,1
2020-03-03,2020-04-02,12,61
2020-03-03,2020-04-02,41,7
2020-03-03,2020-04-02,31,20
2020-03-03,2020-04-02,66,4
2020-03-03,2020-04-02,17,39
2020-03-03,2020-04-02,15,38
2020-03-03,2020-04-02,78,1
2020-03-03,2020-04-02,18,30
2020-03-03,2020-04-02,27,25
2020-03-03,2020-04-02,7,88
2020-03-03,2020-04-02,21,36
2020-03-03,2020-04-02,51,7
2020-03-03,2020-04-02,10,81
2020-03-03,2020-04-02,61,3
2020-03-03,2020-04-02,37,12
2020-03-03,2020-04-02,28,31
2020-03-03,2020-04-02,45,4
2020-03-03,2020-04-02,95,1
2020-03-03,2020-04-02,38,19
2020-03-03,2020-04-02,39,13
2020-03-03,2020-04-02,43,11
2020-03-03,2020-04-02,40,17
2020-03-03,2020-04-02,55,4
2020-03-03,2020-04-02,53,3
2020-03-03,2020-04-02,54,4
2020-03-03,2020-04-02,32,20
2020-03-03,2020-04-02,13,61
2020-03-03,2020-04-02,46,13
2020-03-03,2020-04-02,49,2
2020-03-03,2020-04-02,130,1
2020-03-03,2020-04-02,57,1
2020-03-03,2020-04-02,63,3
2020-03-03,2020-04-02,20,28
2020-04-03,2020-05-03,82,2
2020-04-03,2020-05-03,26,21
2020-04-03,2020-05-03,36,13
2020-04-03,2020-05-03,30,21
2020-04-03,2020-05-03,42,10
2020-04-03,2020-05-03,48,8
2020-04-03,2020-05-03,65,1
2020-04-03,2020-05-03,59,2
2020-04-03,2020-05-03,29,16
2020-04-03,2020-05-03,58,4
2020-04-03,2020-05-03,44,11
2020-04-03,2020-05-03,83,1
2020-07-05,2020-08-04,156,1
2020-09-05,2020-10-05,88,1
2020-10-06,2020-11-05,47,5
2020-10-06,2020-11-05,79,1
2020-10-06,2020-11-05,70,1
2020-10-06,2020-11-05,64,2
2020-10-06,2020-11-05,67,1
2020-10-06,2020-11-05,60,1
2020-10-06,2020-11-05,56,1
2020-10-06,2020-11-05,50,3
2020-10-06,2020-11-05,52,2
