data_inizio,data_fine,delay,frequenza_delay
2020-10-18,2020-10-19,0,-1
2020-10-20,2020-10-21,1,-1
2020-10-21,2020-10-22,2,-1
2020-10-22,2020-10-23,4,-1
2020-10-30,2020-10-31,1,-1
2020-10-31,2020-11-01,1,-1
2020-11-02,2020-11-03,1,-1
2020-11-04,2020-11-05,1,-1
2020-11-05,2020-11-06,1,-1
2020-11-07,2020-11-08,0,-1
2020-11-08,2020-11-09,1,-1
2020-11-12,2020-11-13,0,-1
2020-11-13,2020-11-14,4,-1
2020-11-15,2020-11-16,2,-1
2020-11-16,2020-11-17,7,-1
2020-11-18,2020-11-19,1,-1
2020-11-19,2020-11-20,5,-1
2020-11-25,2020-11-26,20,-1
2020-11-26,2020-11-27,3,-1
2020-11-29,2020-11-30,2,-1
2020-12-01,2020-12-02,3,-1
2020-12-03,2020-12-04,23,-1
2020-12-04,2020-12-05,1,-1
2020-12-09,2020-12-10,5,-1
