data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,6,410
2020-02-01,2020-03-02,8,317
2020-02-01,2020-03-02,20,85
2020-02-01,2020-03-02,4,538
2020-02-01,2020-03-02,115,1
2020-02-01,2020-03-02,7,356
2020-03-03,2020-04-02,9,268
2020-03-03,2020-04-02,2,526
2020-03-03,2020-04-02,33,23
2020-03-03,2020-04-02,3,564
2020-03-03,2020-04-02,15,129
2020-03-03,2020-04-02,5,439
2020-03-03,2020-04-02,16,107
2020-03-03,2020-04-02,19,76
2020-03-03,2020-04-02,1,376
2020-03-03,2020-04-02,34,27
2020-03-03,2020-04-02,11,203
2020-03-03,2020-04-02,14,135
2020-03-03,2020-04-02,27,36
2020-03-03,2020-04-02,25,43
2020-03-03,2020-04-02,13,139
2020-03-03,2020-04-02,12,174
2020-03-03,2020-04-02,39,22
2020-03-03,2020-04-02,26,41
2020-03-03,2020-04-02,29,34
2020-03-03,2020-04-02,10,239
2020-03-03,2020-04-02,0,160
2020-03-03,2020-04-02,35,35
2020-03-03,2020-04-02,87,1
2020-03-03,2020-04-02,28,33
2020-03-03,2020-04-02,30,50
2020-03-03,2020-04-02,18,88
2020-03-03,2020-04-02,17,107
2020-03-03,2020-04-02,47,12
2020-03-03,2020-04-02,66,6
2020-03-03,2020-04-02,37,24
2020-03-03,2020-04-02,24,46
2020-03-03,2020-04-02,22,51
2020-03-03,2020-04-02,78,1
2020-03-03,2020-04-02,68,4
2020-03-03,2020-04-02,36,20
2020-03-03,2020-04-02,32,30
2020-03-03,2020-04-02,21,65
2020-03-03,2020-04-02,59,3
2020-03-03,2020-04-02,23,52
2020-03-03,2020-04-02,61,2
2020-03-03,2020-04-02,42,15
2020-03-03,2020-04-02,45,14
2020-03-03,2020-04-02,102,1
2020-03-03,2020-04-02,43,12
2020-03-03,2020-04-02,38,22
2020-03-03,2020-04-02,46,20
2020-03-03,2020-04-02,31,24
2020-03-03,2020-04-02,55,4
2020-03-03,2020-04-02,58,5
2020-03-03,2020-04-02,49,11
2020-03-03,2020-04-02,56,5
2020-03-03,2020-04-02,135,1
2020-03-03,2020-04-02,54,9
2020-03-03,2020-04-02,64,3
2020-03-03,2020-04-02,50,6
2020-03-03,2020-04-02,79,1
2020-04-03,2020-05-03,82,1
2020-04-03,2020-05-03,41,17
2020-04-03,2020-05-03,48,8
2020-04-03,2020-05-03,40,12
2020-04-03,2020-05-03,44,11
2020-04-03,2020-05-03,53,5
2020-04-03,2020-05-03,60,5
2020-04-03,2020-05-03,62,3
2020-04-03,2020-05-03,51,6
2020-04-03,2020-05-03,52,4
2020-04-03,2020-05-03,85,1
2020-07-05,2020-08-04,158,1
2020-09-05,2020-10-05,84,1
2020-09-05,2020-10-05,90,1
2020-10-06,2020-11-05,80,1
2020-10-06,2020-11-05,75,1
2020-10-06,2020-11-05,71,1
2020-10-06,2020-11-05,65,1
2020-10-06,2020-11-05,67,1
2020-10-06,2020-11-05,57,1
