data_inizio,data_fine,delay,frequenza_delay
2020-02-15,2020-02-29,5,331
2020-02-15,2020-02-29,42,43
2020-02-15,2020-02-29,7,303
2020-02-15,2020-02-29,10,225
2020-03-01,2020-03-15,30,63
2020-03-01,2020-03-15,13,190
2020-03-01,2020-03-15,3,350
2020-03-01,2020-03-15,4,359
2020-03-01,2020-03-15,67,8
2020-03-01,2020-03-15,19,109
2020-03-01,2020-03-15,41,34
2020-03-01,2020-03-15,158,2
2020-03-01,2020-03-15,9,250
2020-03-01,2020-03-15,11,236
2020-03-01,2020-03-15,12,184
2020-03-01,2020-03-15,102,3
2020-03-01,2020-03-15,15,142
2020-03-01,2020-03-15,20,109
2020-03-01,2020-03-15,115,2
2020-03-01,2020-03-15,17,129
2020-03-01,2020-03-15,39,39
2020-03-01,2020-03-15,23,103
2020-03-01,2020-03-15,76,5
2020-03-01,2020-03-15,87,9
2020-03-01,2020-03-15,14,153
2020-03-01,2020-03-15,29,78
2020-03-01,2020-03-15,16,148
2020-03-01,2020-03-15,0,24
2020-03-01,2020-03-15,2,259
2020-03-01,2020-03-15,32,59
2020-03-01,2020-03-15,8,240
2020-03-01,2020-03-15,6,307
2020-03-01,2020-03-15,31,57
2020-03-01,2020-03-15,106,1
2020-03-01,2020-03-15,35,55
2020-03-01,2020-03-15,73,5
2020-03-16,2020-03-30,50,22
2020-03-16,2020-03-30,285,2
2020-03-16,2020-03-30,170,1
2020-03-16,2020-03-30,21,89
2020-03-16,2020-03-30,37,36
2020-03-16,2020-03-30,46,33
2020-03-16,2020-03-30,27,64
2020-03-16,2020-03-30,79,4
2020-03-16,2020-03-30,1,135
2020-03-16,2020-03-30,26,67
2020-03-16,2020-03-30,18,130
2020-03-16,2020-03-30,28,72
2020-03-16,2020-03-30,57,13
2020-03-16,2020-03-30,91,4
2020-03-16,2020-03-30,149,1
2020-03-16,2020-03-30,68,13
2020-03-16,2020-03-30,33,45
2020-03-16,2020-03-30,43,34
2020-03-16,2020-03-30,45,23
2020-03-16,2020-03-30,25,83
2020-03-16,2020-03-30,177,1
2020-03-16,2020-03-30,34,50
2020-03-16,2020-03-30,60,14
2020-03-16,2020-03-30,24,94
2020-03-16,2020-03-30,40,47
2020-03-16,2020-03-30,86,2
2020-03-16,2020-03-30,279,1
2020-03-16,2020-03-30,47,23
2020-03-16,2020-03-30,63,10
2020-03-16,2020-03-30,112,2
2020-03-16,2020-03-30,44,28
2020-03-16,2020-03-30,125,1
2020-03-16,2020-03-30,36,35
2020-03-16,2020-03-30,69,5
2020-03-16,2020-03-30,95,2
2020-03-16,2020-03-30,38,34
2020-03-16,2020-03-30,65,10
2020-03-16,2020-03-30,113,1
2020-03-16,2020-03-30,278,1
2020-03-16,2020-03-30,127,2
2020-03-16,2020-03-30,52,15
2020-03-16,2020-03-30,275,1
2020-03-16,2020-03-30,100,2
2020-03-16,2020-03-30,97,3
2020-03-16,2020-03-30,49,22
2020-03-31,2020-04-14,58,11
2020-03-31,2020-04-14,61,8
2020-03-31,2020-04-14,22,97
2020-03-31,2020-04-14,269,2
2020-03-31,2020-04-14,56,11
2020-03-31,2020-04-14,53,15
2020-03-31,2020-04-14,70,5
2020-03-31,2020-04-14,48,22
2020-03-31,2020-04-14,92,4
2020-03-31,2020-04-14,108,3
2020-03-31,2020-04-14,51,22
2020-03-31,2020-04-14,136,1
2020-03-31,2020-04-14,72,3
2020-03-31,2020-04-14,268,1
2020-03-31,2020-04-14,54,15
2020-03-31,2020-04-14,99,2
2020-03-31,2020-04-14,78,4
2020-03-31,2020-04-14,197,1
2020-03-31,2020-04-14,144,2
2020-03-31,2020-04-14,135,1
2020-03-31,2020-04-14,189,1
2020-03-31,2020-04-14,88,3
2020-03-31,2020-04-14,206,1
2020-03-31,2020-04-14,82,3
2020-03-31,2020-04-14,145,1
2020-03-31,2020-04-14,140,1
2020-03-31,2020-04-14,98,1
2020-03-31,2020-04-14,219,2
2020-03-31,2020-04-14,94,1
2020-03-31,2020-04-14,198,1
2020-03-31,2020-04-14,116,1
2020-03-31,2020-04-14,131,4
2020-03-31,2020-04-14,71,6
2020-03-31,2020-04-14,160,2
2020-03-31,2020-04-14,176,1
2020-03-31,2020-04-14,156,1
2020-03-31,2020-04-14,130,2
2020-03-31,2020-04-14,257,1
2020-03-31,2020-04-14,59,15
2020-03-31,2020-04-14,212,1
2020-03-31,2020-04-14,109,3
2020-03-31,2020-04-14,89,2
2020-03-31,2020-04-14,150,3
2020-03-31,2020-04-14,81,1
2020-03-31,2020-04-14,64,9
2020-03-31,2020-04-14,104,2
2020-03-31,2020-04-14,85,1
2020-03-31,2020-04-14,66,9
2020-03-31,2020-04-14,105,1
2020-04-15,2020-04-29,254,1
2020-04-15,2020-04-29,62,10
2020-04-15,2020-04-29,118,1
2020-04-15,2020-04-29,84,2
2020-04-15,2020-04-29,138,1
2020-04-15,2020-04-29,114,2
2020-04-15,2020-04-29,255,1
2020-04-15,2020-04-29,141,1
2020-04-15,2020-04-29,103,2
2020-04-15,2020-04-29,110,1
2020-04-15,2020-04-29,111,1
2020-04-15,2020-04-29,142,1
2020-04-15,2020-04-29,252,2
2020-04-15,2020-04-29,155,1
2020-04-15,2020-04-29,253,1
2020-04-15,2020-04-29,182,1
2020-04-15,2020-04-29,224,1
2020-04-15,2020-04-29,55,10
2020-04-15,2020-04-29,247,2
2020-04-15,2020-04-29,249,1
2020-04-15,2020-04-29,128,1
2020-04-15,2020-04-29,184,2
2020-04-15,2020-04-29,93,2
2020-04-15,2020-04-29,90,4
2020-04-30,2020-05-14,179,1
2020-04-30,2020-05-14,133,2
2020-04-30,2020-05-14,121,2
2020-05-30,2020-06-13,162,1
2020-09-12,2020-09-26,75,2
2020-09-27,2020-10-11,77,1
