data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,7,645
2020-01-01,2020-12-31,10,701
2020-01-01,2020-12-31,2,193
2020-01-01,2020-12-31,48,62
2020-01-01,2020-12-31,6,600
2020-01-01,2020-12-31,35,99
2020-01-01,2020-12-31,24,200
2020-01-01,2020-12-31,65,12
2020-01-01,2020-12-31,25,160
2020-01-01,2020-12-31,16,305
2020-01-01,2020-12-31,11,629
2020-01-01,2020-12-31,4,464
2020-01-01,2020-12-31,12,516
2020-01-01,2020-12-31,30,137
2020-01-01,2020-12-31,13,427
2020-01-01,2020-12-31,66,20
2020-01-01,2020-12-31,8,690
2020-01-01,2020-12-31,9,727
2020-01-01,2020-12-31,44,64
2020-01-01,2020-12-31,18,264
2020-01-01,2020-12-31,26,153
2020-01-01,2020-12-31,165,2
2020-01-01,2020-12-31,28,140
2020-01-01,2020-12-31,50,46
2020-01-01,2020-12-31,36,110
2020-01-01,2020-12-31,1,54
2020-01-01,2020-12-31,49,56
2020-01-01,2020-12-31,20,242
2020-01-01,2020-12-31,21,198
2020-01-01,2020-12-31,57,29
2020-01-01,2020-12-31,14,365
2020-01-01,2020-12-31,130,3
2020-01-01,2020-12-31,5,560
2020-01-01,2020-12-31,43,80
2020-01-01,2020-12-31,52,48
2020-01-01,2020-12-31,17,295
2020-01-01,2020-12-31,40,84
2020-01-01,2020-12-31,118,5
2020-01-01,2020-12-31,86,7
2020-01-01,2020-12-31,41,75
2020-01-01,2020-12-31,37,114
2020-01-01,2020-12-31,19,222
2020-01-01,2020-12-31,29,160
2020-01-01,2020-12-31,31,149
2020-01-01,2020-12-31,94,6
2020-01-01,2020-12-31,27,147
2020-01-01,2020-12-31,289,1
2020-01-01,2020-12-31,45,69
2020-01-01,2020-12-31,23,181
2020-01-01,2020-12-31,34,111
2020-01-01,2020-12-31,63,22
2020-01-01,2020-12-31,84,5
2020-01-01,2020-12-31,112,2
2020-01-01,2020-12-31,148,2
2020-01-01,2020-12-31,38,101
2020-01-01,2020-12-31,3,358
2020-01-01,2020-12-31,70,11
2020-01-01,2020-12-31,15,375
2020-01-01,2020-12-31,168,1
2020-01-01,2020-12-31,22,197
2020-01-01,2020-12-31,42,92
2020-01-01,2020-12-31,54,38
2020-01-01,2020-12-31,72,9
2020-01-01,2020-12-31,32,118
2020-01-01,2020-12-31,117,2
2020-01-01,2020-12-31,51,62
2020-01-01,2020-12-31,33,118
2020-01-01,2020-12-31,92,2
2020-01-01,2020-12-31,58,37
2020-01-01,2020-12-31,47,66
2020-01-01,2020-12-31,61,19
2020-01-01,2020-12-31,183,2
2020-01-01,2020-12-31,74,9
2020-01-01,2020-12-31,46,71
2020-01-01,2020-12-31,56,39
2020-01-01,2020-12-31,73,8
2020-01-01,2020-12-31,76,12
2020-01-01,2020-12-31,108,3
2020-01-01,2020-12-31,69,12
2020-01-01,2020-12-31,39,79
2020-01-01,2020-12-31,55,57
2020-01-01,2020-12-31,82,5
2020-01-01,2020-12-31,79,4
2020-01-01,2020-12-31,97,4
2020-01-01,2020-12-31,119,3
2020-01-01,2020-12-31,109,5
2020-01-01,2020-12-31,129,3
2020-01-01,2020-12-31,59,27
2020-01-01,2020-12-31,135,2
2020-01-01,2020-12-31,67,23
2020-01-01,2020-12-31,282,1
2020-01-01,2020-12-31,138,2
2020-01-01,2020-12-31,93,3
2020-01-01,2020-12-31,75,11
2020-01-01,2020-12-31,136,3
2020-01-01,2020-12-31,137,1
2020-01-01,2020-12-31,179,1
2020-01-01,2020-12-31,60,16
2020-01-01,2020-12-31,125,2
2020-01-01,2020-12-31,96,5
2020-01-01,2020-12-31,169,1
2020-01-01,2020-12-31,273,2
2020-01-01,2020-12-31,62,17
2020-01-01,2020-12-31,132,1
2020-01-01,2020-12-31,145,3
2020-01-01,2020-12-31,77,8
2020-01-01,2020-12-31,91,2
2020-01-01,2020-12-31,53,39
2020-01-01,2020-12-31,144,2
2020-01-01,2020-12-31,103,3
2020-01-01,2020-12-31,95,5
2020-01-01,2020-12-31,215,1
2020-01-01,2020-12-31,272,1
2020-01-01,2020-12-31,164,2
2020-01-01,2020-12-31,107,7
2020-01-01,2020-12-31,104,5
2020-01-01,2020-12-31,85,4
2020-01-01,2020-12-31,64,18
2020-01-01,2020-12-31,149,1
2020-01-01,2020-12-31,170,1
2020-01-01,2020-12-31,89,4
2020-01-01,2020-12-31,210,1
2020-01-01,2020-12-31,99,4
2020-01-01,2020-12-31,71,14
2020-01-01,2020-12-31,122,1
2020-01-01,2020-12-31,177,2
2020-01-01,2020-12-31,143,2
2020-01-01,2020-12-31,232,1
2020-01-01,2020-12-31,98,4
2020-01-01,2020-12-31,114,4
2020-01-01,2020-12-31,88,3
2020-01-01,2020-12-31,100,4
2020-01-01,2020-12-31,101,5
2020-01-01,2020-12-31,141,2
2020-01-01,2020-12-31,160,1
2020-01-01,2020-12-31,199,1
2020-01-01,2020-12-31,205,1
2020-01-01,2020-12-31,83,8
2020-01-01,2020-12-31,246,1
2020-01-01,2020-12-31,171,2
2020-01-01,2020-12-31,131,1
2020-01-01,2020-12-31,80,4
2020-01-01,2020-12-31,111,1
2020-01-01,2020-12-31,78,3
2020-01-01,2020-12-31,260,1
2020-01-01,2020-12-31,90,9
2020-01-01,2020-12-31,123,3
2020-01-01,2020-12-31,113,4
2020-01-01,2020-12-31,262,1
2020-01-01,2020-12-31,87,1
2020-01-01,2020-12-31,81,4
2020-01-01,2020-12-31,115,2
2020-01-01,2020-12-31,258,1
2020-01-01,2020-12-31,142,2
2020-01-01,2020-12-31,158,2
2020-01-01,2020-12-31,259,1
2020-01-01,2020-12-31,120,1
2020-01-01,2020-12-31,68,13
2020-01-01,2020-12-31,207,1
2020-01-01,2020-12-31,256,1
2020-01-01,2020-12-31,192,1
2020-01-01,2020-12-31,257,1
2020-01-01,2020-12-31,163,2
2020-01-01,2020-12-31,157,2
2020-01-01,2020-12-31,167,1
2020-01-01,2020-12-31,155,1
2020-01-01,2020-12-31,102,3
2020-01-01,2020-12-31,127,1
2020-01-01,2020-12-31,251,1
2020-01-01,2020-12-31,250,1
2020-01-01,2020-12-31,124,1
