data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,12,7
2020-01-01,2020-04-30,1,1
2020-01-01,2020-04-30,28,2
2020-01-01,2020-04-30,9,4
2020-01-01,2020-04-30,21,6
2020-01-01,2020-04-30,17,8
2020-01-01,2020-04-30,20,4
2020-01-01,2020-04-30,6,2
2020-01-01,2020-04-30,19,14
2020-01-01,2020-04-30,23,1
2020-01-01,2020-04-30,8,4
2020-01-01,2020-04-30,3,1
2020-01-01,2020-04-30,16,17
2020-01-01,2020-04-30,5,3
2020-01-01,2020-04-30,2,5
2020-05-01,2020-08-29,51,1
2020-05-01,2020-08-29,14,5
2020-08-30,2020-12-28,13,3
2020-08-30,2020-12-28,18,7
2020-08-30,2020-12-28,11,2
2020-08-30,2020-12-28,43,1
2020-08-30,2020-12-28,15,2
2020-08-30,2020-12-28,10,6
2020-08-30,2020-12-28,4,1
2020-08-30,2020-12-28,42,1
2020-08-30,2020-12-28,7,1
2020-08-30,2020-12-28,35,1
2020-08-30,2020-12-28,26,1
2020-08-30,2020-12-28,22,1
2020-08-30,2020-12-28,37,1
2020-08-30,2020-12-28,32,1
2020-08-30,2020-12-28,25,1
2020-08-30,2020-12-28,30,1
