data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,0,1942
2020-01-01,2020-08-28,19,711
2020-01-01,2020-08-28,16,775
2020-01-01,2020-08-28,18,895
2020-01-01,2020-08-28,70,1
2020-01-01,2020-08-28,22,302
2020-01-01,2020-08-28,23,159
2020-01-01,2020-08-28,14,470
2020-01-01,2020-08-28,17,858
2020-01-01,2020-08-28,2,491
2020-01-01,2020-08-28,4,232
2020-01-01,2020-08-28,24,61
2020-01-01,2020-08-28,21,476
2020-01-01,2020-08-28,20,614
2020-01-01,2020-08-28,15,629
2020-01-01,2020-08-28,3,347
2020-01-01,2020-08-28,1,1070
2020-01-01,2020-08-28,12,198
2020-01-01,2020-08-28,5,169
2020-01-01,2020-08-28,13,380
2020-01-01,2020-08-28,35,9
2020-01-01,2020-08-28,6,141
2020-01-01,2020-08-28,71,1
2020-01-01,2020-08-28,11,99
2020-01-01,2020-08-28,9,73
2020-01-01,2020-08-28,41,3
2020-01-01,2020-08-28,31,8
2020-01-01,2020-08-28,66,3
2020-01-01,2020-08-28,78,1
2020-01-01,2020-08-28,7,85
2020-01-01,2020-08-28,10,81
2020-01-01,2020-08-28,8,86
2020-01-01,2020-08-28,61,2
2020-01-01,2020-08-28,45,4
2020-01-01,2020-08-28,76,1
2020-01-01,2020-08-28,95,1
2020-01-01,2020-08-28,28,14
2020-01-01,2020-08-28,25,11
2020-01-01,2020-08-28,39,8
2020-01-01,2020-08-28,53,1
2020-01-01,2020-08-28,49,2
2020-01-01,2020-08-28,130,1
2020-01-01,2020-08-28,43,4
2020-01-01,2020-08-28,40,7
2020-01-01,2020-08-28,63,1
2020-01-01,2020-08-28,54,1
2020-01-01,2020-08-28,37,3
2020-01-01,2020-08-28,36,8
2020-01-01,2020-08-28,27,15
2020-01-01,2020-08-28,42,4
2020-01-01,2020-08-28,48,3
2020-01-01,2020-08-28,65,1
2020-01-01,2020-08-28,32,8
2020-01-01,2020-08-28,51,5
2020-01-01,2020-08-28,59,2
2020-01-01,2020-08-28,29,10
2020-01-01,2020-08-28,34,12
2020-01-01,2020-08-28,44,7
2020-01-01,2020-08-28,26,8
2020-01-01,2020-08-28,52,4
2020-01-01,2020-08-28,38,8
2020-01-01,2020-08-28,153,1
2020-08-29,2021-04-26,55,2
2020-08-29,2021-04-26,79,1
2020-08-29,2021-04-26,30,11
2020-08-29,2021-04-26,47,2
2020-08-29,2021-04-26,67,1
2020-08-29,2021-04-26,33,13
2020-08-29,2021-04-26,64,1
2020-08-29,2021-04-26,46,9
2020-08-29,2021-04-26,58,1
2020-08-29,2021-04-26,56,1
2020-08-29,2021-04-26,50,2
