data_inizio,data_fine,delay,frequenza_delay
2020-02-24,2020-02-25,11,466
2020-02-26,2020-02-27,19,835
2020-02-26,2020-02-27,16,936
2020-02-26,2020-02-27,18,1005
2020-02-26,2020-02-27,58,8
2020-02-28,2020-02-29,15,840
2020-02-28,2020-02-29,6,373
2020-03-01,2020-03-02,30,58
2020-03-01,2020-03-02,10,445
2020-03-01,2020-03-02,124,1
2020-03-01,2020-03-02,22,409
2020-03-01,2020-03-02,23,264
2020-03-01,2020-03-02,12,536
2020-03-03,2020-03-04,14,740
2020-03-03,2020-03-04,17,1030
2020-03-03,2020-03-04,3,256
2020-03-03,2020-03-04,21,576
2020-03-05,2020-03-06,5,325
2020-03-05,2020-03-06,20,724
2020-03-05,2020-03-06,13,642
2020-03-05,2020-03-06,33,65
2020-03-07,2020-03-08,8,411
2020-03-07,2020-03-08,4,299
2020-03-07,2020-03-08,25,95
2020-03-07,2020-03-08,7,361
2020-03-07,2020-03-08,9,447
2020-03-07,2020-03-08,24,150
2020-03-09,2020-03-10,2,201
2020-03-09,2020-03-10,42,30
2020-03-09,2020-03-10,43,31
2020-03-11,2020-03-12,1,116
2020-03-11,2020-03-12,26,101
2020-03-11,2020-03-12,55,12
2020-03-13,2020-03-14,39,53
2020-03-13,2020-03-14,31,78
2020-03-13,2020-03-14,47,28
2020-03-13,2020-03-14,27,86
2020-03-13,2020-03-14,61,7
2020-03-13,2020-03-14,75,3
2020-03-15,2020-03-16,48,20
2020-03-15,2020-03-16,37,53
2020-03-15,2020-03-16,0,58
2020-03-15,2020-03-16,28,60
2020-03-15,2020-03-16,32,44
2020-03-15,2020-03-16,87,2
2020-03-15,2020-03-16,36,54
2020-03-15,2020-03-16,46,22
2020-03-17,2020-03-18,35,56
2020-03-17,2020-03-18,40,31
2020-03-17,2020-03-18,29,77
2020-03-17,2020-03-18,68,4
2020-03-17,2020-03-18,45,32
2020-03-17,2020-03-18,60,5
2020-03-17,2020-03-18,64,6
2020-03-19,2020-03-20,50,21
2020-03-19,2020-03-20,74,3
2020-03-21,2020-03-22,44,32
2020-03-21,2020-03-22,59,5
2020-03-21,2020-03-22,111,1
2020-03-21,2020-03-22,51,13
2020-03-23,2020-03-24,156,1
2020-03-23,2020-03-24,80,1
2020-03-25,2020-03-26,81,1
2020-03-25,2020-03-26,69,2
2020-03-25,2020-03-26,57,9
2020-03-25,2020-03-26,53,12
2020-03-27,2020-03-28,38,23
2020-03-27,2020-03-28,52,12
2020-03-27,2020-03-28,63,4
2020-03-27,2020-03-28,143,1
2020-03-27,2020-03-28,49,23
2020-03-27,2020-03-28,65,2
2020-03-29,2020-03-30,67,3
2020-03-29,2020-03-30,54,10
2020-03-29,2020-03-30,84,1
2020-03-31,2020-04-01,41,37
2020-03-31,2020-04-01,66,7
2020-03-31,2020-04-01,88,1
2020-04-02,2020-04-03,82,1
2020-04-08,2020-04-09,34,39
2020-04-08,2020-04-09,85,1
2020-04-12,2020-04-13,79,1
2020-04-12,2020-04-13,86,1
2020-04-12,2020-04-13,73,4
2020-05-20,2020-05-21,119,1
2020-07-23,2020-07-24,160,1
2020-09-29,2020-09-30,92,1
2020-10-09,2020-10-10,83,1
2020-10-13,2020-10-14,78,1
2020-10-15,2020-10-16,76,1
2020-10-15,2020-10-16,72,1
2020-10-21,2020-10-22,70,2
2020-10-29,2020-10-30,62,2
2020-10-31,2020-11-01,56,5
