data_inizio,data_fine,delay,frequenza_delay
2020-09-21,2020-09-22,1,-1
2020-10-20,2020-10-21,0,-1
2020-10-21,2020-10-22,0,-1
2020-10-26,2020-10-27,0,-1
2020-10-27,2020-10-28,1,-1
2020-10-27,2020-10-28,2,-1
2020-10-28,2020-10-29,1,-1
2020-10-31,2020-11-01,0,-1
2020-11-02,2020-11-03,1,-1
2020-11-05,2020-11-06,1,-1
2020-11-06,2020-11-07,0,-1
2020-11-11,2020-11-12,0,-1
2020-11-13,2020-11-14,1,-1
2020-11-15,2020-11-16,1,-1
2020-11-17,2020-11-18,0,-1
2020-11-18,2020-11-19,0,-1
2020-11-24,2020-11-25,2,-1
