data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,3,574
2020-02-01,2020-03-02,2,782
2020-02-01,2020-03-02,19,30
2020-02-01,2020-03-02,0,2207
2020-03-03,2020-04-02,114,1
2020-03-03,2020-04-02,4,295
2020-03-03,2020-04-02,23,30
2020-03-03,2020-04-02,1,756
2020-03-03,2020-04-02,12,63
2020-03-03,2020-04-02,8,99
2020-03-03,2020-04-02,35,16
2020-03-03,2020-04-02,17,38
2020-03-03,2020-04-02,9,83
2020-03-03,2020-04-02,33,22
2020-03-03,2020-04-02,22,34
2020-03-03,2020-04-02,25,41
2020-03-03,2020-04-02,5,197
2020-03-03,2020-04-02,26,26
2020-03-03,2020-04-02,36,9
2020-03-03,2020-04-02,71,2
2020-03-03,2020-04-02,20,32
2020-03-03,2020-04-02,11,65
2020-03-03,2020-04-02,40,16
2020-03-03,2020-04-02,13,53
2020-03-03,2020-04-02,34,22
2020-03-03,2020-04-02,65,1
2020-03-03,2020-04-02,37,20
2020-03-03,2020-04-02,16,40
2020-03-03,2020-04-02,77,1
2020-03-03,2020-04-02,67,3
2020-03-03,2020-04-02,30,25
2020-03-03,2020-04-02,31,19
2020-03-03,2020-04-02,18,42
2020-03-03,2020-04-02,53,4
2020-03-03,2020-04-02,14,52
2020-03-03,2020-04-02,7,121
2020-03-03,2020-04-02,59,2
2020-03-03,2020-04-02,66,1
2020-03-03,2020-04-02,10,69
2020-03-03,2020-04-02,43,10
2020-03-03,2020-04-02,6,116
2020-03-03,2020-04-02,95,1
2020-03-03,2020-04-02,28,16
2020-03-03,2020-04-02,38,19
2020-03-03,2020-04-02,15,41
2020-03-03,2020-04-02,45,15
2020-03-03,2020-04-02,32,23
2020-03-03,2020-04-02,29,20
2020-03-03,2020-04-02,56,5
2020-03-03,2020-04-02,42,7
2020-03-03,2020-04-02,52,1
2020-03-03,2020-04-02,46,10
2020-03-03,2020-04-02,49,10
2020-03-03,2020-04-02,129,1
2020-03-03,2020-04-02,47,4
2020-03-03,2020-04-02,54,4
2020-03-03,2020-04-02,61,2
2020-03-03,2020-04-02,84,2
2020-03-03,2020-04-02,39,9
2020-03-03,2020-04-02,51,5
2020-04-03,2020-05-03,48,3
2020-04-03,2020-05-03,21,33
2020-04-03,2020-05-03,41,10
2020-04-03,2020-05-03,27,21
2020-04-03,2020-05-03,24,25
2020-04-03,2020-05-03,55,1
2020-04-03,2020-05-03,64,3
2020-04-03,2020-05-03,57,3
2020-04-03,2020-05-03,60,3
2020-04-03,2020-05-03,44,7
2020-04-03,2020-05-03,80,1
2020-04-03,2020-05-03,50,3
2020-07-05,2020-08-04,158,1
2020-09-05,2020-10-05,89,1
2020-10-06,2020-11-05,76,1
2020-10-06,2020-11-05,63,2
2020-10-06,2020-11-05,58,1
