data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,0,511
2020-01-01,2020-12-31,3,99
2020-01-01,2020-12-31,6,18
2020-01-01,2020-12-31,2,177
2020-01-01,2020-12-31,1,177
2020-01-01,2020-12-31,13,5
2020-01-01,2020-12-31,11,4
2020-01-01,2020-12-31,10,9
2020-01-01,2020-12-31,87,1
2020-01-01,2020-12-31,4,50
2020-01-01,2020-12-31,5,23
2020-01-01,2020-12-31,9,8
2020-01-01,2020-12-31,8,10
2020-01-01,2020-12-31,7,12
2020-01-01,2020-12-31,17,1
2020-01-01,2020-12-31,52,1
2020-01-01,2020-12-31,19,3
2020-01-01,2020-12-31,14,2
2020-01-01,2020-12-31,29,1
2020-01-01,2020-12-31,25,1
2020-01-01,2020-12-31,12,3
2020-01-01,2020-12-31,15,1
2020-01-01,2020-12-31,39,1
2020-01-01,2020-12-31,36,1
2020-01-01,2020-12-31,30,1
2020-01-01,2020-12-31,26,1
2020-01-01,2020-12-31,20,1
