data_inizio,data_fine,delay,frequenza_delay
2020-03-03,2020-04-02,2,10
2020-04-03,2020-05-03,1,10
2020-04-03,2020-05-03,3,13
2020-05-04,2020-06-03,19,1
2020-08-05,2020-09-04,0,14
2020-08-05,2020-09-04,8,4
2020-09-05,2020-10-05,14,4
2020-09-05,2020-10-05,6,2
2020-10-06,2020-11-05,4,7
2020-10-06,2020-11-05,17,1
2020-10-06,2020-11-05,36,1
2020-10-06,2020-11-05,5,4
2020-10-06,2020-11-05,10,2
2020-10-06,2020-11-05,13,2
2020-10-06,2020-11-05,9,2
2020-10-06,2020-11-05,12,2
2020-11-06,2020-12-06,7,3
2020-11-06,2020-12-06,37,1
2020-11-06,2020-12-06,38,1
2020-11-06,2020-12-06,39,1
2020-11-06,2020-12-06,33,1
