data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,3,39
2020-01-01,2020-04-30,50,4
2020-01-01,2020-04-30,44,2
2020-01-01,2020-04-30,1,21
2020-01-01,2020-04-30,41,6
2020-01-01,2020-04-30,6,40
2020-01-01,2020-04-30,12,39
2020-01-01,2020-04-30,16,35
2020-01-01,2020-04-30,5,53
2020-01-01,2020-04-30,18,30
2020-01-01,2020-04-30,63,1
2020-01-01,2020-04-30,13,40
2020-01-01,2020-04-30,9,39
2020-01-01,2020-04-30,10,41
2020-01-01,2020-04-30,7,47
2020-01-01,2020-04-30,37,8
2020-01-01,2020-04-30,26,19
2020-01-01,2020-04-30,17,34
2020-01-01,2020-04-30,46,6
2020-01-01,2020-04-30,22,32
2020-01-01,2020-04-30,4,52
2020-01-01,2020-04-30,45,8
2020-01-01,2020-04-30,14,47
2020-01-01,2020-04-30,28,14
2020-01-01,2020-04-30,8,47
2020-01-01,2020-04-30,31,15
2020-01-01,2020-04-30,36,6
2020-01-01,2020-04-30,39,6
2020-01-01,2020-04-30,2,25
2020-01-01,2020-04-30,15,26
2020-01-01,2020-04-30,21,26
2020-01-01,2020-04-30,99,1
2020-01-01,2020-04-30,23,25
2020-01-01,2020-04-30,61,2
2020-01-01,2020-04-30,20,26
2020-01-01,2020-04-30,40,6
2020-01-01,2020-04-30,42,7
2020-01-01,2020-04-30,27,27
2020-01-01,2020-04-30,69,1
2020-01-01,2020-04-30,24,23
2020-01-01,2020-04-30,11,47
2020-01-01,2020-04-30,60,3
2020-01-01,2020-04-30,29,14
2020-01-01,2020-04-30,51,3
2020-01-01,2020-04-30,57,2
2020-01-01,2020-04-30,19,20
2020-01-01,2020-04-30,88,1
2020-01-01,2020-04-30,38,9
2020-01-01,2020-04-30,30,10
2020-01-01,2020-04-30,25,23
2020-01-01,2020-04-30,0,9
2020-01-01,2020-04-30,43,8
2020-01-01,2020-04-30,32,9
2020-01-01,2020-04-30,55,3
2020-05-01,2020-08-29,48,1
2020-05-01,2020-08-29,53,2
2020-05-01,2020-08-29,56,2
2020-05-01,2020-08-29,87,1
2020-05-01,2020-08-29,34,5
2020-08-30,2020-12-28,79,1
2020-08-30,2020-12-28,33,7
2020-08-30,2020-12-28,73,1
2020-08-30,2020-12-28,68,1
2020-08-30,2020-12-28,52,1
2020-08-30,2020-12-28,59,1
2020-08-30,2020-12-28,35,8
2020-08-30,2020-12-28,49,2
2020-08-30,2020-12-28,47,2
