data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-03-04,24,28
2020-03-05,2020-03-12,2,71
2020-03-05,2020-03-12,9,137
2020-03-05,2020-03-12,66,3
2020-03-05,2020-03-12,12,87
2020-03-05,2020-03-12,11,109
2020-03-05,2020-03-12,19,127
2020-03-05,2020-03-12,41,11
2020-03-05,2020-03-12,165,1
2020-03-05,2020-03-12,37,24
2020-03-05,2020-03-12,3,105
2020-03-05,2020-03-12,28,22
2020-03-05,2020-03-12,132,1
2020-03-05,2020-03-12,36,27
2020-03-05,2020-03-12,23,40
2020-03-05,2020-03-12,10,108
2020-03-05,2020-03-12,17,143
2020-03-05,2020-03-12,15,167
2020-03-05,2020-03-12,6,130
2020-03-05,2020-03-12,64,5
2020-03-13,2020-03-20,7,114
2020-03-13,2020-03-20,20,121
2020-03-13,2020-03-20,39,18
2020-03-13,2020-03-20,18,131
2020-03-13,2020-03-20,16,160
2020-03-13,2020-03-20,25,27
2020-03-13,2020-03-20,292,1
2020-03-13,2020-03-20,14,122
2020-03-13,2020-03-20,8,115
2020-03-13,2020-03-20,5,89
2020-03-13,2020-03-20,21,92
2020-03-13,2020-03-20,85,2
2020-03-13,2020-03-20,22,28
2020-03-13,2020-03-20,4,88
2020-03-13,2020-03-20,47,10
2020-03-13,2020-03-20,1,61
2020-03-13,2020-03-20,88,2
2020-03-13,2020-03-20,65,4
2020-03-13,2020-03-20,70,6
2020-03-13,2020-03-20,150,1
2020-03-13,2020-03-20,44,12
2020-03-13,2020-03-20,33,25
2020-03-13,2020-03-20,90,2
2020-03-13,2020-03-20,43,16
2020-03-13,2020-03-20,61,4
2020-03-21,2020-03-28,26,31
2020-03-21,2020-03-28,45,18
2020-03-21,2020-03-28,53,5
2020-03-21,2020-03-28,83,1
2020-03-21,2020-03-28,30,21
2020-03-21,2020-03-28,38,21
2020-03-21,2020-03-28,80,3
2020-03-21,2020-03-28,99,3
2020-03-21,2020-03-28,57,3
2020-03-21,2020-03-28,31,35
2020-03-21,2020-03-28,13,64
2020-03-21,2020-03-28,29,25
2020-03-21,2020-03-28,135,1
2020-03-21,2020-03-28,34,30
2020-03-29,2020-04-05,58,5
2020-03-29,2020-04-05,60,2
2020-03-29,2020-04-05,42,6
2020-03-29,2020-04-05,0,34
2020-03-29,2020-04-05,51,8
2020-03-29,2020-04-05,63,3
2020-03-29,2020-04-05,32,10
2020-03-29,2020-04-05,50,11
2020-03-29,2020-04-05,40,13
2020-03-29,2020-04-05,98,1
2020-03-29,2020-04-05,46,8
2020-03-29,2020-04-05,55,11
2020-03-29,2020-04-05,77,1
2020-04-06,2020-04-13,54,9
2020-04-06,2020-04-13,151,1
2020-04-06,2020-04-13,27,34
2020-04-06,2020-04-13,69,5
2020-04-06,2020-04-13,179,1
2020-04-06,2020-04-13,35,20
2020-04-06,2020-04-13,71,3
2020-04-06,2020-04-13,100,1
2020-04-06,2020-04-13,118,1
2020-04-06,2020-04-13,197,1
2020-04-06,2020-04-13,62,1
2020-04-06,2020-04-13,49,14
2020-04-06,2020-04-13,107,1
2020-04-06,2020-04-13,79,1
2020-04-06,2020-04-13,259,1
2020-04-06,2020-04-13,101,1
2020-04-06,2020-04-13,52,9
2020-04-06,2020-04-13,115,1
2020-04-14,2020-04-21,56,7
2020-04-14,2020-04-21,48,7
2020-04-14,2020-04-21,106,1
2020-04-14,2020-04-21,59,8
2020-04-14,2020-04-21,87,1
2020-04-14,2020-04-21,78,2
2020-04-14,2020-04-21,86,1
2020-04-14,2020-04-21,253,1
2020-04-14,2020-04-21,121,1
2020-04-14,2020-04-21,67,4
2020-04-14,2020-04-21,82,1
2020-04-14,2020-04-21,255,1
2020-04-14,2020-04-21,93,1
2020-04-22,2020-04-29,72,1
2020-04-22,2020-04-29,97,1
2020-04-22,2020-04-29,164,1
2020-04-22,2020-04-29,252,1
2020-04-22,2020-04-29,102,1
2020-04-22,2020-04-29,105,1
2020-04-22,2020-04-29,128,2
2020-04-22,2020-04-29,84,3
2020-04-22,2020-04-29,81,1
2020-05-16,2020-05-23,160,1
2020-05-24,2020-05-31,110,1
2020-09-21,2020-09-28,96,1
2020-10-07,2020-10-14,75,1
2020-10-15,2020-10-22,73,2
