data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-03-06,2,2917
2020-02-14,2020-03-06,1,2874
2020-02-14,2020-03-06,16,729
2020-02-14,2020-03-06,42,11
2020-02-14,2020-03-06,20,650
2020-02-14,2020-03-06,4,904
2020-02-14,2020-03-06,17,731
2020-02-14,2020-03-06,21,377
2020-02-14,2020-03-06,9,176
2020-02-14,2020-03-06,3,2129
2020-03-07,2020-03-28,18,652
2020-03-07,2020-03-28,38,12
2020-03-07,2020-03-28,13,106
2020-03-07,2020-03-28,19,677
2020-03-07,2020-03-28,12,125
2020-03-07,2020-03-28,6,333
2020-03-07,2020-03-28,5,513
2020-03-07,2020-03-28,39,18
2020-03-07,2020-03-28,15,827
2020-03-07,2020-03-28,28,22
2020-03-07,2020-03-28,30,24
2020-03-07,2020-03-28,14,468
2020-03-07,2020-03-28,7,239
2020-03-07,2020-03-28,8,208
2020-03-07,2020-03-28,11,137
2020-03-07,2020-03-28,22,48
2020-03-07,2020-03-28,106,1
2020-03-07,2020-03-28,10,186
2020-03-07,2020-03-28,63,4
2020-03-07,2020-03-28,35,22
2020-03-07,2020-03-28,24,36
2020-03-07,2020-03-28,32,20
2020-03-07,2020-03-28,43,9
2020-03-07,2020-03-28,33,15
2020-03-07,2020-03-28,58,2
2020-03-07,2020-03-28,36,10
2020-03-07,2020-03-28,37,19
2020-03-07,2020-03-28,67,5
2020-03-07,2020-03-28,279,1
2020-03-07,2020-03-28,45,12
2020-03-07,2020-03-28,29,36
2020-03-07,2020-03-28,34,15
2020-03-07,2020-03-28,111,2
2020-03-07,2020-03-28,123,1
2020-03-07,2020-03-28,276,1
2020-03-07,2020-03-28,23,38
2020-03-07,2020-03-28,85,1
2020-03-07,2020-03-28,52,6
2020-03-07,2020-03-28,25,25
2020-03-29,2020-04-19,41,11
2020-03-29,2020-04-19,26,21
2020-03-29,2020-04-19,47,11
2020-03-29,2020-04-19,91,2
2020-03-29,2020-04-19,108,3
2020-03-29,2020-04-19,49,9
2020-03-29,2020-04-19,268,1
2020-03-29,2020-04-19,203,1
2020-03-29,2020-04-19,55,3
2020-03-29,2020-04-19,267,1
2020-03-29,2020-04-19,40,11
2020-03-29,2020-04-19,53,6
2020-03-29,2020-04-19,134,1
2020-03-29,2020-04-19,188,1
2020-03-29,2020-04-19,44,10
2020-03-29,2020-04-19,27,36
2020-03-29,2020-04-19,141,2
2020-03-29,2020-04-19,95,1
2020-03-29,2020-04-19,78,1
2020-03-29,2020-04-19,96,3
2020-03-29,2020-04-19,90,1
2020-03-29,2020-04-19,70,3
2020-03-29,2020-04-19,48,7
2020-03-29,2020-04-19,59,4
2020-03-29,2020-04-19,75,1
2020-03-29,2020-04-19,46,14
2020-03-29,2020-04-19,175,1
2020-03-29,2020-04-19,57,5
2020-03-29,2020-04-19,56,7
2020-03-29,2020-04-19,150,1
2020-03-29,2020-04-19,79,2
2020-03-29,2020-04-19,81,2
2020-03-29,2020-04-19,77,1
2020-03-29,2020-04-19,69,4
2020-03-29,2020-04-19,103,1
2020-03-29,2020-04-19,51,3
2020-03-29,2020-04-19,82,1
2020-03-29,2020-04-19,64,4
2020-03-29,2020-04-19,113,1
2020-03-29,2020-04-19,60,3
2020-03-29,2020-04-19,255,1
2020-03-29,2020-04-19,110,1
2020-03-29,2020-04-19,87,2
2020-03-29,2020-04-19,102,1
2020-03-29,2020-04-19,86,1
2020-03-29,2020-04-19,253,1
2020-04-20,2020-05-11,101,1
2020-04-20,2020-05-11,248,2
2020-04-20,2020-05-11,68,4
2020-04-20,2020-05-11,66,2
2020-04-20,2020-05-11,65,1
2020-04-20,2020-05-11,126,1
2020-04-20,2020-05-11,130,1
2020-05-12,2020-06-02,71,1
2020-05-12,2020-06-02,119,1
2020-05-12,2020-06-02,157,1
2020-06-03,2020-06-24,160,1
2020-06-03,2020-06-24,183,1
2020-06-25,2020-07-16,54,7
2020-08-30,2020-09-20,107,1
2020-10-13,2020-11-03,61,2
2020-10-13,2020-11-03,62,1
2020-10-13,2020-11-03,31,13
2020-11-04,2020-11-25,50,4
