data_inizio,data_fine,delay,frequenza_delay
2020-02-15,2020-02-29,18,1055
2020-02-15,2020-02-29,17,1067
2020-02-15,2020-02-29,8,396
2020-02-15,2020-02-29,15,1123
2020-02-15,2020-02-29,33,65
2020-02-15,2020-02-29,56,8
2020-03-01,2020-03-15,9,447
2020-03-01,2020-03-15,123,1
2020-03-01,2020-03-15,20,936
2020-03-01,2020-03-15,4,294
2020-03-01,2020-03-15,21,556
2020-03-01,2020-03-15,19,988
2020-03-01,2020-03-15,3,242
2020-03-01,2020-03-15,13,368
2020-03-01,2020-03-15,10,446
2020-03-01,2020-03-15,11,426
2020-03-01,2020-03-15,7,374
2020-03-01,2020-03-15,6,371
2020-03-01,2020-03-15,16,1091
2020-03-01,2020-03-15,2,204
2020-03-01,2020-03-15,12,396
2020-03-01,2020-03-15,27,91
2020-03-01,2020-03-15,24,126
2020-03-01,2020-03-15,31,75
2020-03-01,2020-03-15,44,33
2020-03-01,2020-03-15,14,729
2020-03-01,2020-03-15,23,117
2020-03-01,2020-03-15,5,324
2020-03-01,2020-03-15,29,61
2020-03-01,2020-03-15,22,134
2020-03-01,2020-03-15,1,151
2020-03-01,2020-03-15,41,35
2020-03-01,2020-03-15,26,92
2020-03-01,2020-03-15,35,53
2020-03-01,2020-03-15,50,23
2020-03-01,2020-03-15,32,52
2020-03-01,2020-03-15,54,8
2020-03-01,2020-03-15,39,32
2020-03-01,2020-03-15,37,45
2020-03-01,2020-03-15,25,109
2020-03-01,2020-03-15,30,78
2020-03-01,2020-03-15,28,63
2020-03-01,2020-03-15,0,71
2020-03-01,2020-03-15,46,25
2020-03-01,2020-03-15,60,7
2020-03-01,2020-03-15,38,49
2020-03-01,2020-03-15,74,4
2020-03-01,2020-03-15,42,33
2020-03-16,2020-03-30,86,1
2020-03-16,2020-03-30,69,3
2020-03-16,2020-03-30,34,36
2020-03-16,2020-03-30,45,25
2020-03-16,2020-03-30,63,8
2020-03-16,2020-03-30,43,32
2020-03-16,2020-03-30,58,6
2020-03-16,2020-03-30,62,4
2020-03-16,2020-03-30,49,21
2020-03-16,2020-03-30,65,6
2020-03-16,2020-03-30,158,1
2020-03-16,2020-03-30,111,1
2020-03-16,2020-03-30,57,10
2020-03-16,2020-03-30,52,10
2020-03-16,2020-03-30,47,23
2020-03-16,2020-03-30,51,18
2020-03-16,2020-03-30,53,13
2020-03-16,2020-03-30,40,41
2020-03-16,2020-03-30,80,3
2020-03-16,2020-03-30,83,2
2020-03-16,2020-03-30,70,2
2020-03-16,2020-03-30,36,44
2020-03-16,2020-03-30,142,1
2020-03-16,2020-03-30,55,10
2020-03-16,2020-03-30,68,3
2020-03-31,2020-04-14,88,1
2020-03-31,2020-04-14,82,1
2020-03-31,2020-04-14,84,2
2020-03-31,2020-04-14,48,26
2020-03-31,2020-04-14,59,3
2020-03-31,2020-04-14,72,1
2020-03-31,2020-04-14,85,1
2020-04-15,2020-04-29,71,3
2020-04-15,2020-04-29,76,2
2020-04-15,2020-04-29,64,6
2020-05-15,2020-05-29,119,1
2020-07-14,2020-07-28,162,1
2020-09-12,2020-09-26,75,2
2020-09-27,2020-10-11,93,1
2020-10-12,2020-10-26,78,2
2020-10-12,2020-10-26,73,1
2020-10-12,2020-10-26,67,1
2020-10-27,2020-11-10,61,2
