data_inizio,data_fine,delay,frequenza_delay
2020-02-27,2020-02-28,16,-1
2020-02-28,2020-02-29,17,-1
2020-02-28,2020-02-29,20,-1
2020-03-02,2020-03-03,19,-1
2020-03-05,2020-03-06,17,-1
2020-03-06,2020-03-07,16,-1
2020-03-07,2020-03-08,16,-1
2020-03-08,2020-03-09,15,-1
2020-03-09,2020-03-10,20,-1
2020-03-09,2020-03-10,21,-1
2020-03-09,2020-03-10,18,-1
2020-03-10,2020-03-11,18,-1
2020-03-11,2020-03-12,19,-1
2020-03-12,2020-03-13,19,-1
2020-03-13,2020-03-14,20,-1
2020-03-14,2020-03-15,20,-1
2020-03-14,2020-03-15,14,-1
2020-03-15,2020-03-16,20,-1
2020-03-16,2020-03-17,15,-1
2020-03-17,2020-03-18,17,-1
2020-03-18,2020-03-19,18,-1
2020-03-19,2020-03-20,19,5
2020-03-20,2020-03-21,20,-1
2020-03-21,2020-03-22,15,-1
2020-03-22,2020-03-23,15,5
2020-03-23,2020-03-24,15,-1
2020-03-24,2020-03-25,18,-1
2020-03-25,2020-03-26,15,-1
2020-03-26,2020-03-27,16,-1
2020-03-27,2020-03-28,16,-1
2020-03-28,2020-03-29,16,5
2020-03-29,2020-03-30,16,-1
2020-03-30,2020-03-31,19,-1
2020-03-31,2020-04-01,17,5
2020-04-01,2020-04-02,19,-1
2020-04-02,2020-04-03,19,4
2020-04-03,2020-04-04,17,5
2020-04-04,2020-04-05,16,4
2020-04-05,2020-04-06,15,-1
2020-04-06,2020-04-07,17,-1
2020-04-07,2020-04-08,18,-1
2020-04-08,2020-04-09,20,5
2020-04-09,2020-04-10,17,5
2020-04-10,2020-04-11,19,11
2020-04-11,2020-04-12,20,4
2020-04-12,2020-04-13,20,7
2020-04-13,2020-04-14,17,6
2020-04-14,2020-04-15,20,-1
2020-04-15,2020-04-16,20,10
2020-04-16,2020-04-17,15,7
2020-04-17,2020-04-18,16,5
2020-04-18,2020-04-19,19,-1
2020-04-19,2020-04-20,17,5
2020-04-20,2020-04-21,20,4
2020-04-21,2020-04-22,20,6
2020-04-22,2020-04-23,17,7
2020-04-23,2020-04-24,16,4
2020-04-24,2020-04-25,18,-1
2020-04-25,2020-04-26,16,6
2020-04-26,2020-04-27,19,-1
2020-04-27,2020-04-28,15,-1
2020-04-28,2020-04-29,21,-1
2020-04-29,2020-04-30,17,-1
2020-04-30,2020-05-01,17,-1
2020-05-01,2020-05-02,14,-1
2020-05-02,2020-05-03,18,-1
2020-05-03,2020-05-04,17,-1
2020-05-04,2020-05-05,15,-1
2020-05-05,2020-05-06,21,-1
2020-05-06,2020-05-07,16,-1
2020-05-07,2020-05-08,18,-1
2020-05-08,2020-05-09,14,-1
2020-05-09,2020-05-10,20,-1
2020-05-10,2020-05-11,15,-1
2020-05-11,2020-05-12,15,-1
2020-05-12,2020-05-13,16,-1
2020-05-13,2020-05-14,15,-1
2020-05-14,2020-05-15,17,-1
2020-05-15,2020-05-16,18,-1
2020-05-17,2020-05-18,17,-1
2020-05-18,2020-05-19,17,-1
2020-05-19,2020-05-20,17,-1
