data_inizio,data_fine,delay,frequenza_delay
2020-03-02,2020-03-03,0,-1
2020-03-03,2020-03-04,0,-1
2020-03-04,2020-03-05,0,-1
2020-03-05,2020-03-06,0,-1
2020-03-06,2020-03-07,0,5
2020-03-07,2020-03-08,0,5
2020-03-08,2020-03-09,0,4
2020-03-09,2020-03-10,0,-1
2020-03-10,2020-03-11,0,4
2020-03-11,2020-03-12,0,5
2020-03-12,2020-03-13,0,10
2020-03-13,2020-03-14,0,9
2020-03-14,2020-03-15,0,5
2020-03-15,2020-03-16,0,4
2020-03-16,2020-03-17,0,12
2020-03-17,2020-03-18,0,8
2020-03-18,2020-03-19,0,15
2020-03-19,2020-03-20,0,10
2020-03-20,2020-03-21,0,9
2020-03-21,2020-03-22,0,21
2020-03-22,2020-03-23,0,16
2020-03-23,2020-03-24,0,13
2020-03-24,2020-03-25,0,20
2020-03-25,2020-03-26,0,22
2020-03-26,2020-03-27,0,8
2020-03-27,2020-03-28,0,13
2020-03-28,2020-03-29,0,16
2020-03-29,2020-03-30,0,4
2020-03-30,2020-03-31,0,9
2020-03-31,2020-04-01,0,12
2020-04-01,2020-04-02,0,11
2020-04-02,2020-04-03,0,16
2020-04-03,2020-04-04,0,8
2020-04-04,2020-04-05,0,8
2020-04-05,2020-04-06,0,12
2020-04-06,2020-04-07,0,7
2020-04-07,2020-04-08,0,13
2020-04-08,2020-04-09,0,16
2020-04-09,2020-04-10,0,11
2020-04-10,2020-04-11,0,18
2020-04-11,2020-04-12,0,10
2020-04-12,2020-04-13,0,6
2020-04-13,2020-04-14,0,6
2020-04-14,2020-04-15,0,5
2020-04-15,2020-04-16,0,16
2020-04-16,2020-04-17,0,10
2020-04-17,2020-04-18,0,8
2020-04-18,2020-04-19,0,8
2020-04-19,2020-04-20,0,6
2020-04-20,2020-04-21,0,9
2020-04-21,2020-04-22,0,8
2020-04-22,2020-04-23,0,7
2020-04-23,2020-04-24,0,11
2020-04-24,2020-04-25,0,4
2020-04-25,2020-04-26,0,7
2020-04-26,2020-04-27,0,5
2020-04-27,2020-04-28,0,9
2020-04-28,2020-04-29,0,14
2020-04-29,2020-04-30,0,-1
2020-04-30,2020-05-01,0,9
2020-05-01,2020-05-02,0,4
2020-05-02,2020-05-03,0,8
2020-05-03,2020-05-04,0,-1
2020-05-04,2020-05-05,0,4
2020-05-05,2020-05-06,0,-1
2020-05-06,2020-05-07,0,4
2020-05-08,2020-05-09,0,4
2020-05-09,2020-05-10,0,-1
2020-05-12,2020-05-13,0,4
2020-05-13,2020-05-14,0,-1
2020-05-14,2020-05-15,0,-1
2020-05-15,2020-05-16,0,-1
2020-05-17,2020-05-18,0,-1
2020-05-18,2020-05-19,0,-1
2020-05-20,2020-05-21,0,-1
2020-05-21,2020-05-22,0,-1
2020-05-22,2020-05-23,0,-1
2020-05-23,2020-05-24,0,-1
2020-05-25,2020-05-26,0,-1
