data_inizio,data_fine,delay,frequenza_delay
2020-03-12,2020-03-13,1,-1
2020-03-15,2020-03-16,1,-1
2020-03-21,2020-03-22,1,-1
2020-03-21,2020-03-22,2,-1
2020-03-22,2020-03-23,1,-1
2020-03-23,2020-03-24,2,-1
2020-03-23,2020-03-24,3,-1
2020-03-24,2020-03-25,1,-1
2020-03-25,2020-03-26,3,-1
2020-03-26,2020-03-27,2,-1
2020-03-27,2020-03-28,2,-1
2020-03-29,2020-03-30,1,-1
2020-03-30,2020-03-31,1,-1
2020-03-31,2020-04-01,1,-1
2020-04-03,2020-04-04,2,-1
2020-04-04,2020-04-05,2,-1
2020-04-05,2020-04-06,2,-1
2020-04-06,2020-04-07,1,-1
2020-04-07,2020-04-08,1,-1
2020-04-08,2020-04-09,2,-1
2020-04-09,2020-04-10,1,-1
2020-04-10,2020-04-11,1,-1
2020-04-11,2020-04-12,2,-1
2020-04-15,2020-04-16,1,-1
2020-04-16,2020-04-17,2,-1
2020-04-17,2020-04-18,1,-1
2020-04-18,2020-04-19,1,-1
2020-04-20,2020-04-21,3,-1
2020-04-21,2020-04-22,2,-1
2020-04-23,2020-04-24,2,-1
2020-04-24,2020-04-25,1,-1
2020-04-25,2020-04-26,1,-1
2020-04-26,2020-04-27,1,-1
2020-04-27,2020-04-28,2,-1
2020-04-29,2020-04-30,1,-1
2020-04-30,2020-05-01,3,-1
2020-05-01,2020-05-02,2,-1
2020-05-02,2020-05-03,3,-1
2020-05-03,2020-05-04,3,-1
2020-05-05,2020-05-06,2,-1
2020-05-06,2020-05-07,1,-1
2020-05-07,2020-05-08,3,-1
2020-05-09,2020-05-10,2,-1
2020-05-13,2020-05-14,3,-1
2020-05-14,2020-05-15,3,-1
2020-05-19,2020-05-20,3,-1
2020-05-22,2020-05-23,2,-1
2020-05-29,2020-05-30,2,-1
2020-05-30,2020-05-31,2,-1
2020-06-05,2020-06-06,3,-1
2020-06-10,2020-06-11,2,-1
2020-06-16,2020-06-17,2,-1
2020-07-01,2020-07-02,1,-1
2020-07-03,2020-07-04,1,-1
2020-07-22,2020-07-23,1,-1
2020-08-01,2020-08-02,1,-1
2020-08-04,2020-08-05,1,-1
2020-08-05,2020-08-06,3,-1
2020-08-12,2020-08-13,3,-1
