data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-03,2020-04-02,9,0.022116903633491312,0.027450980392156862
2020-03-03,2020-04-02,22,0.007898894154818325,0.00980392156862745
2020-03-03,2020-04-02,1,0.17061611374407584,0.21176470588235294
2020-03-03,2020-04-02,8,0.037914691943127965,0.047058823529411764
2020-03-03,2020-04-02,0,0.29067930489731436,0.3607843137254902
2020-03-03,2020-04-02,2,0.10742496050552923,0.13333333333333333
2020-03-03,2020-04-02,3,0.061611374407582936,0.07647058823529412
2020-03-03,2020-04-02,4,0.04265402843601896,0.052941176470588235
2020-03-03,2020-04-02,13,0.020537124802527645,0.025490196078431372
2020-03-03,2020-04-02,21,0.00315955766192733,0.00392156862745098
2020-03-03,2020-04-02,6,0.04107424960505529,0.050980392156862744
2020-04-03,2020-05-03,42,0.001579778830963665,0.02040816326530612
2020-04-03,2020-05-03,7,0.02527646129541864,0.32653061224489793
2020-04-03,2020-05-03,11,0.017377567140600316,0.22448979591836735
2020-04-03,2020-05-03,15,0.011058451816745656,0.14285714285714285
2020-04-03,2020-05-03,24,0.001579778830963665,0.02040816326530612
2020-04-03,2020-05-03,10,0.020537124802527645,0.2653061224489796
2020-05-04,2020-06-03,5,0.045813586097946286,0.9354838709677419
2020-05-04,2020-06-03,12,0.00315955766192733,0.06451612903225806
2020-06-04,2020-07-04,18,0.009478672985781991,1.0
2020-08-05,2020-09-04,23,0.00631911532385466,1.0
2020-09-05,2020-10-05,32,0.004739336492890996,1.0
2020-10-06,2020-11-05,41,0.001579778830963665,0.05
2020-10-06,2020-11-05,47,0.001579778830963665,0.05
2020-10-06,2020-11-05,29,0.004739336492890996,0.15
2020-10-06,2020-11-05,14,0.009478672985781991,0.3
2020-10-06,2020-11-05,27,0.001579778830963665,0.05
2020-10-06,2020-11-05,30,0.00315955766192733,0.1
2020-10-06,2020-11-05,19,0.00315955766192733,0.1
2020-10-06,2020-11-05,16,0.00631911532385466,0.2
2020-11-06,2020-12-06,20,0.00315955766192733,0.2222222222222222
2020-11-06,2020-12-06,25,0.00315955766192733,0.2222222222222222
2020-11-06,2020-12-06,43,0.00315955766192733,0.2222222222222222
2020-11-06,2020-12-06,26,0.00315955766192733,0.2222222222222222
2020-11-06,2020-12-06,34,0.001579778830963665,0.1111111111111111
2020-12-07,2021-01-06,17,0.001579778830963665,1.0
