data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-03,2020-04-02,9,0.024869109947643978,0.031096563011456628
2020-03-03,2020-04-02,22,0.007853403141361256,0.009819967266775777
2020-03-03,2020-04-02,1,0.1649214659685864,0.20621931260229132
2020-03-03,2020-04-02,0,0.28664921465968585,0.35842880523731585
2020-03-03,2020-04-02,8,0.034031413612565446,0.0425531914893617
2020-03-03,2020-04-02,2,0.10078534031413612,0.1260229132569558
2020-03-03,2020-04-02,3,0.0693717277486911,0.0867430441898527
2020-03-03,2020-04-02,4,0.049738219895287955,0.062193126022913256
2020-03-03,2020-04-02,13,0.01963350785340314,0.024549918166939442
2020-03-03,2020-04-02,21,0.002617801047120419,0.0032733224222585926
2020-03-03,2020-04-02,6,0.03926701570680628,0.049099836333878884
2020-04-03,2020-05-03,42,0.0013089005235602095,0.01694915254237288
2020-04-03,2020-05-03,7,0.028795811518324606,0.3728813559322034
2020-04-03,2020-05-03,11,0.015706806282722512,0.2033898305084746
2020-04-03,2020-05-03,15,0.010471204188481676,0.13559322033898305
2020-04-03,2020-05-03,24,0.0013089005235602095,0.01694915254237288
2020-04-03,2020-05-03,10,0.01963350785340314,0.2542372881355932
2020-05-04,2020-06-03,5,0.041884816753926704,0.8421052631578947
2020-05-04,2020-06-03,12,0.007853403141361256,0.15789473684210525
2020-06-04,2020-07-04,18,0.009162303664921465,1.0
2020-08-05,2020-09-04,23,0.005235602094240838,1.0
2020-09-05,2020-10-05,32,0.005235602094240838,1.0
2020-10-06,2020-11-05,41,0.0013089005235602095,0.03571428571428571
2020-10-06,2020-11-05,47,0.0013089005235602095,0.03571428571428571
2020-10-06,2020-11-05,29,0.003926701570680628,0.10714285714285714
2020-10-06,2020-11-05,14,0.010471204188481676,0.2857142857142857
2020-10-06,2020-11-05,27,0.0013089005235602095,0.03571428571428571
2020-10-06,2020-11-05,30,0.002617801047120419,0.07142857142857142
2020-10-06,2020-11-05,19,0.002617801047120419,0.07142857142857142
2020-10-06,2020-11-05,20,0.005235602094240838,0.14285714285714285
2020-10-06,2020-11-05,16,0.007853403141361256,0.21428571428571427
2020-11-06,2020-12-06,25,0.002617801047120419,0.15384615384615385
2020-11-06,2020-12-06,17,0.005235602094240838,0.3076923076923077
2020-11-06,2020-12-06,43,0.002617801047120419,0.15384615384615385
2020-11-06,2020-12-06,35,0.002617801047120419,0.15384615384615385
2020-11-06,2020-12-06,26,0.002617801047120419,0.15384615384615385
2020-11-06,2020-12-06,34,0.0013089005235602095,0.07692307692307693
