data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-07,2020-03-28,0,0.04878048780487805,0.25
2020-03-07,2020-03-28,9,0.14634146341463414,0.75
2020-03-29,2020-04-19,1,0.04878048780487805,0.25
2020-03-29,2020-04-19,2,0.07317073170731707,0.375
2020-03-29,2020-04-19,3,0.07317073170731707,0.375
2020-04-20,2020-05-11,5,0.07317073170731707,1.0
2020-10-13,2020-11-03,13,0.024390243902439025,0.07692307692307693
2020-10-13,2020-11-03,8,0.024390243902439025,0.07692307692307693
2020-10-13,2020-11-03,6,0.04878048780487805,0.15384615384615385
2020-10-13,2020-11-03,7,0.04878048780487805,0.15384615384615385
2020-10-13,2020-11-03,15,0.07317073170731707,0.23076923076923078
2020-10-13,2020-11-03,21,0.024390243902439025,0.07692307692307693
2020-10-13,2020-11-03,10,0.07317073170731707,0.23076923076923078
2020-11-04,2020-11-25,11,0.04878048780487805,0.4
2020-11-04,2020-11-25,18,0.024390243902439025,0.2
2020-11-04,2020-11-25,34,0.024390243902439025,0.2
2020-11-04,2020-11-25,35,0.024390243902439025,0.2
2020-11-26,2020-12-17,22,0.024390243902439025,0.25
2020-11-26,2020-12-17,29,0.024390243902439025,0.25
2020-11-26,2020-12-17,20,0.024390243902439025,0.25
2020-11-26,2020-12-17,14,0.024390243902439025,0.25
