data_inizio,data_fine,delay,frequenza_delay
2020-03-07,2020-03-07,12,0.003076923076923077
2020-03-07,2020-03-07,10,0.003076923076923077
2020-03-07,2020-03-07,0,0.003076923076923077
2020-03-08,2020-03-08,28,0.003076923076923077
2020-03-08,2020-03-08,9,0.003076923076923077
2020-03-08,2020-03-08,3,0.003076923076923077
2020-03-09,2020-03-09,10,0.003076923076923077
2020-03-11,2020-03-11,12,0.003076923076923077
2020-03-12,2020-03-12,14,0.003076923076923077
2020-03-14,2020-03-14,35,0.003076923076923077
2020-03-14,2020-03-14,6,0.003076923076923077
2020-03-14,2020-03-14,15,0.003076923076923077
2020-03-14,2020-03-14,11,0.003076923076923077
2020-03-15,2020-03-15,6,0.003076923076923077
2020-03-15,2020-03-15,8,0.003076923076923077
2020-03-15,2020-03-15,5,0.003076923076923077
2020-03-16,2020-03-16,0,0.003076923076923077
2020-03-16,2020-03-16,1,0.003076923076923077
2020-03-17,2020-03-17,8,0.003076923076923077
2020-03-18,2020-03-18,6,0.003076923076923077
2020-03-19,2020-03-19,16,0.003076923076923077
2020-03-19,2020-03-19,34,0.003076923076923077
2020-03-20,2020-03-20,4,0.003076923076923077
2020-03-20,2020-03-20,52,0.003076923076923077
2020-03-20,2020-03-20,27,0.003076923076923077
2020-03-21,2020-03-21,7,0.003076923076923077
2020-03-22,2020-03-22,2,0.006153846153846154
2020-03-22,2020-03-22,17,0.003076923076923077
2020-03-23,2020-03-23,9,0.003076923076923077
2020-03-24,2020-03-24,28,0.003076923076923077
2020-03-24,2020-03-24,26,0.003076923076923077
2020-03-25,2020-03-25,27,0.003076923076923077
2020-03-25,2020-03-25,20,0.003076923076923077
2020-03-26,2020-03-26,5,0.003076923076923077
2020-03-27,2020-03-27,2,0.003076923076923077
2020-03-27,2020-03-27,29,0.003076923076923077
2020-03-28,2020-03-28,13,0.003076923076923077
2020-03-28,2020-03-28,19,0.003076923076923077
2020-03-28,2020-03-28,37,0.003076923076923077
2020-03-29,2020-03-29,6,0.003076923076923077
2020-03-30,2020-03-30,1,0.003076923076923077
2020-03-30,2020-03-30,23,0.003076923076923077
2020-03-31,2020-03-31,12,0.003076923076923077
2020-04-01,2020-04-01,7,0.006153846153846154
2020-04-01,2020-04-01,18,0.003076923076923077
2020-04-01,2020-04-01,22,0.003076923076923077
2020-04-02,2020-04-02,2,0.003076923076923077
2020-04-03,2020-04-03,1,0.003076923076923077
2020-04-04,2020-04-04,0,0.003076923076923077
2020-04-05,2020-04-05,4,0.003076923076923077
2020-04-05,2020-04-05,25,0.003076923076923077
2020-04-06,2020-04-06,15,0.003076923076923077
2020-04-07,2020-04-07,2,0.006153846153846154
2020-04-08,2020-04-08,24,0.003076923076923077
2020-04-09,2020-04-09,2,0.003076923076923077
2020-04-10,2020-04-10,2,0.006153846153846154
2020-04-10,2020-04-10,30,0.003076923076923077
2020-04-11,2020-04-11,1,0.003076923076923077
2020-04-12,2020-04-12,14,0.003076923076923077
2020-04-13,2020-04-13,6,0.003076923076923077
2020-04-14,2020-04-14,31,0.003076923076923077
2020-04-15,2020-04-15,5,0.003076923076923077
2020-04-16,2020-04-16,9,0.003076923076923077
2020-04-17,2020-04-17,0,0.003076923076923077
2020-04-18,2020-04-18,6,0.003076923076923077
2020-04-19,2020-04-19,4,0.003076923076923077
2020-04-20,2020-04-20,8,0.003076923076923077
2020-04-20,2020-04-20,21,0.003076923076923077
2020-04-21,2020-04-21,4,0.003076923076923077
2020-04-22,2020-04-22,9,0.003076923076923077
2020-04-23,2020-04-23,1,0.003076923076923077
2020-04-24,2020-04-24,7,0.003076923076923077
2020-04-25,2020-04-25,6,0.003076923076923077
2020-04-25,2020-04-25,46,0.003076923076923077
2020-04-26,2020-04-26,9,0.006153846153846154
2020-04-27,2020-04-27,7,0.003076923076923077
2020-04-28,2020-04-28,3,0.003076923076923077
2020-04-29,2020-04-29,8,0.003076923076923077
2020-04-30,2020-04-30,18,0.003076923076923077
2020-05-02,2020-05-02,9,0.003076923076923077
2020-05-03,2020-05-03,19,0.003076923076923077
2020-05-04,2020-05-04,4,0.003076923076923077
2020-05-05,2020-05-05,7,0.003076923076923077
2020-05-06,2020-05-06,16,0.003076923076923077
2020-05-07,2020-05-07,1,0.003076923076923077
2020-05-09,2020-05-09,24,0.003076923076923077
2020-05-11,2020-05-11,49,0.003076923076923077
2020-05-12,2020-05-12,11,0.003076923076923077
2020-05-13,2020-05-13,5,0.003076923076923077
2020-05-14,2020-05-14,2,0.003076923076923077
2020-05-15,2020-05-15,6,0.006153846153846154
2020-05-16,2020-05-16,10,0.003076923076923077
2020-05-18,2020-05-18,11,0.003076923076923077
2020-05-21,2020-05-21,9,0.003076923076923077
2020-05-22,2020-05-22,14,0.003076923076923077
2020-05-26,2020-05-26,16,0.003076923076923077
2020-05-28,2020-05-28,8,0.003076923076923077
2020-05-29,2020-05-29,4,0.003076923076923077
2020-05-30,2020-05-30,16,0.003076923076923077
2020-05-31,2020-05-31,0,0.003076923076923077
2020-06-02,2020-06-02,12,0.003076923076923077
2020-06-04,2020-06-04,16,0.003076923076923077
2020-06-05,2020-06-05,3,0.003076923076923077
2020-06-06,2020-06-06,0,0.003076923076923077
2020-06-07,2020-06-07,7,0.003076923076923077
2020-06-10,2020-06-10,6,0.003076923076923077
2020-06-13,2020-06-13,2,0.003076923076923077
2020-06-14,2020-06-14,0,0.003076923076923077
2020-06-16,2020-06-16,0,0.003076923076923077
2020-06-20,2020-06-20,10,0.003076923076923077
2020-06-24,2020-06-24,3,0.003076923076923077
2020-06-25,2020-06-25,11,0.003076923076923077
2020-07-15,2020-07-15,9,0.003076923076923077
2020-07-19,2020-07-19,16,0.003076923076923077
2020-07-22,2020-07-22,22,0.003076923076923077
2020-07-23,2020-07-23,22,0.003076923076923077
2020-08-16,2020-08-16,14,0.003076923076923077
2020-08-17,2020-08-17,11,0.003076923076923077
2020-08-20,2020-08-20,6,0.003076923076923077
2020-08-24,2020-08-24,8,0.003076923076923077
2020-08-26,2020-08-26,4,0.003076923076923077
2020-08-29,2020-08-29,8,0.003076923076923077
2020-09-05,2020-09-05,9,0.003076923076923077
2020-09-10,2020-09-10,9,0.003076923076923077
2020-09-15,2020-09-15,2,0.003076923076923077
2020-09-16,2020-09-16,21,0.003076923076923077
2020-09-17,2020-09-17,1,0.003076923076923077
2020-09-19,2020-09-19,3,0.003076923076923077
2020-09-21,2020-09-21,10,0.003076923076923077
2020-09-22,2020-09-22,2,0.003076923076923077
2020-09-24,2020-09-24,2,0.003076923076923077
2020-09-29,2020-09-29,12,0.003076923076923077
2020-09-30,2020-09-30,8,0.003076923076923077
2020-10-01,2020-10-01,6,0.003076923076923077
2020-10-02,2020-10-02,11,0.003076923076923077
2020-10-03,2020-10-03,6,0.006153846153846154
2020-10-05,2020-10-05,22,0.003076923076923077
2020-10-06,2020-10-06,9,0.003076923076923077
2020-10-07,2020-10-07,11,0.003076923076923077
2020-10-08,2020-10-08,7,0.003076923076923077
2020-10-09,2020-10-09,29,0.003076923076923077
2020-10-10,2020-10-10,3,0.003076923076923077
2020-10-11,2020-10-11,1,0.003076923076923077
2020-10-12,2020-10-12,22,0.003076923076923077
2020-10-13,2020-10-13,22,0.003076923076923077
2020-10-14,2020-10-14,7,0.003076923076923077
2020-10-15,2020-10-15,5,0.003076923076923077
2020-10-16,2020-10-16,14,0.003076923076923077
2020-10-17,2020-10-17,4,0.003076923076923077
2020-10-18,2020-10-18,6,0.006153846153846154
2020-10-19,2020-10-19,4,0.003076923076923077
2020-10-20,2020-10-20,14,0.003076923076923077
2020-10-21,2020-10-21,11,0.003076923076923077
2020-10-22,2020-10-22,4,0.006153846153846154
2020-10-23,2020-10-23,14,0.003076923076923077
2020-10-24,2020-10-24,10,0.012307692307692308
2020-10-25,2020-10-25,67,0.003076923076923077
2020-10-26,2020-10-26,10,0.006153846153846154
2020-10-26,2020-10-26,32,0.003076923076923077
2020-10-27,2020-10-27,8,0.006153846153846154
2020-10-28,2020-10-28,1,0.006153846153846154
2020-10-29,2020-10-29,6,0.006153846153846154
2020-10-30,2020-10-30,4,0.006153846153846154
2020-10-30,2020-10-30,47,0.003076923076923077
