data_inizio,data_fine,delay,frequenza_delay
2020-03-31,2020-04-01,2,0.020833333333333332
2020-04-04,2020-04-05,0,0.020833333333333332
2020-04-07,2020-04-08,3,0.020833333333333332
2020-04-12,2020-04-13,17,0.020833333333333332
2020-05-24,2020-05-25,4,0.020833333333333332
2020-09-14,2020-09-15,8,0.020833333333333332
2020-09-15,2020-09-16,4,0.020833333333333332
2020-09-28,2020-09-29,1,0.020833333333333332
2020-10-05,2020-10-06,8,0.020833333333333332
2020-10-21,2020-10-22,14,0.020833333333333332
2020-10-24,2020-10-25,7,0.020833333333333332
2020-10-25,2020-10-26,25,0.020833333333333332
2020-10-25,2020-10-26,23,0.020833333333333332
2020-10-26,2020-10-27,4,0.020833333333333332
2020-10-27,2020-10-28,3,0.020833333333333332
2020-10-28,2020-10-29,0,0.020833333333333332
2020-10-29,2020-10-30,13,0.020833333333333332
2020-10-30,2020-10-31,7,0.020833333333333332
2020-10-31,2020-11-01,6,0.020833333333333332
2020-10-31,2020-11-01,54,0.020833333333333332
2020-10-31,2020-11-01,15,0.020833333333333332
2020-11-02,2020-11-03,19,0.020833333333333332
2020-11-03,2020-11-04,8,0.020833333333333332
2020-11-09,2020-11-10,34,0.020833333333333332
2020-11-09,2020-11-10,12,0.020833333333333332
2020-11-09,2020-11-10,11,0.020833333333333332
2020-11-12,2020-11-13,17,0.020833333333333332
2020-11-12,2020-11-13,28,0.020833333333333332
2020-11-13,2020-11-14,2,0.020833333333333332
2020-11-15,2020-11-16,0,0.020833333333333332
2020-11-15,2020-11-16,9,0.020833333333333332
2020-11-16,2020-11-17,35,0.020833333333333332
2020-11-17,2020-11-18,1,0.020833333333333332
2020-11-18,2020-11-19,4,0.041666666666666664
2020-11-21,2020-11-22,1,0.020833333333333332
2020-11-22,2020-11-23,7,0.020833333333333332
2020-11-23,2020-11-24,12,0.020833333333333332
2020-11-23,2020-11-24,22,0.020833333333333332
2020-11-24,2020-11-25,20,0.020833333333333332
2020-11-25,2020-11-26,8,0.020833333333333332
2020-11-26,2020-11-27,8,0.020833333333333332
2020-11-29,2020-11-30,1,0.020833333333333332
2020-12-05,2020-12-06,20,0.020833333333333332
2020-12-08,2020-12-09,2,0.020833333333333332
2020-12-12,2020-12-13,15,0.041666666666666664
2020-12-26,2020-12-27,1,0.020833333333333332
