data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-26,2020-03-04,42,0.004291845493562232,1.0
2020-03-05,2020-03-12,29,0.011746103456065055,0.03547066848567531
2020-03-05,2020-03-12,13,0.026428732776146376,0.07980900409276943
2020-03-05,2020-03-12,2,0.06889541450192004,0.20804911323328787
2020-03-05,2020-03-12,1,0.0646035690083578,0.19508867667121418
2020-03-05,2020-03-12,38,0.004969505308335216,0.015006821282401092
2020-03-05,2020-03-12,12,0.02688050598599503,0.08117326057298772
2020-03-05,2020-03-12,157,0.00045177320984865596,0.001364256480218281
2020-03-05,2020-03-12,9,0.03862660944206009,0.11664392905866303
2020-03-05,2020-03-12,5,0.05150214592274678,0.15552523874488403
2020-03-05,2020-03-12,20,0.012875536480686695,0.038881309686221006
2020-03-05,2020-03-12,39,0.007228371357578495,0.021828103683492497
2020-03-05,2020-03-12,28,0.00903546419697312,0.027285129604365622
2020-03-05,2020-03-12,30,0.00790603117235148,0.023874488403819918
2020-03-13,2020-03-20,15,0.021685114072735486,0.0525164113785558
2020-03-13,2020-03-20,17,0.02213688728258414,0.053610503282275714
2020-03-13,2020-03-20,6,0.050146826293200816,0.12144420131291028
2020-03-13,2020-03-20,7,0.039756042466681726,0.0962800875273523
2020-03-13,2020-03-20,3,0.07160605376101198,0.17341356673960612
2020-03-13,2020-03-20,18,0.0169414953693246,0.041028446389496716
2020-03-13,2020-03-20,285,0.00022588660492432798,0.0005470459518599562
2020-03-13,2020-03-20,14,0.023943980121978767,0.05798687089715536
2020-03-13,2020-03-20,8,0.03456065055342218,0.0836980306345733
2020-03-13,2020-03-20,21,0.013779082900384007,0.03336980306345733
2020-03-13,2020-03-20,106,0.00022588660492432798,0.0005470459518599562
2020-03-13,2020-03-20,4,0.04901739326857917,0.1187089715536105
2020-03-13,2020-03-20,31,0.006324824937881184,0.015317286652078774
2020-03-13,2020-03-20,56,0.0029365258640162636,0.007111597374179431
2020-03-13,2020-03-20,16,0.021007454257962504,0.05087527352297593
2020-03-13,2020-03-20,35,0.008583690987124463,0.020787746170678335
2020-03-13,2020-03-20,24,0.012197876665913711,0.02954048140043764
2020-03-13,2020-03-20,32,0.008357804382200136,0.02024070021881838
2020-03-13,2020-03-20,43,0.0036141856787892477,0.0087527352297593
2020-03-13,2020-03-20,33,0.005873051728032527,0.014223194748358862
2020-03-21,2020-03-28,69,0.0013553196295459679,0.01348314606741573
2020-03-21,2020-03-28,11,0.03162412468940592,0.3146067415730337
2020-03-21,2020-03-28,175,0.00045177320984865596,0.0044943820224719105
2020-03-21,2020-03-28,58,0.0018070928393946238,0.017977528089887642
2020-03-21,2020-03-28,36,0.004291845493562232,0.04269662921348315
2020-03-21,2020-03-28,37,0.007454257962502824,0.07415730337078652
2020-03-21,2020-03-28,67,0.00112943302462164,0.011235955056179775
2020-03-21,2020-03-28,87,0.00112943302462164,0.011235955056179775
2020-03-21,2020-03-28,279,0.00022588660492432798,0.0022471910112359553
2020-03-21,2020-03-28,44,0.005195391913259544,0.051685393258426963
2020-03-21,2020-03-28,19,0.017167381974248927,0.1707865168539326
2020-03-21,2020-03-28,62,0.00045177320984865596,0.0044943820224719105
2020-03-21,2020-03-28,111,0.0009035464196973119,0.008988764044943821
2020-03-21,2020-03-28,25,0.00903546419697312,0.0898876404494382
2020-03-21,2020-03-28,123,0.00022588660492432798,0.0022471910112359553
2020-03-21,2020-03-28,65,0.0006776598147729839,0.006741573033707865
2020-03-21,2020-03-28,112,0.00022588660492432798,0.0022471910112359553
2020-03-21,2020-03-28,276,0.00022588660492432798,0.0022471910112359553
2020-03-21,2020-03-28,23,0.01445674271515699,0.14382022471910114
2020-03-21,2020-03-28,85,0.00022588660492432798,0.0022471910112359553
2020-03-21,2020-03-28,52,0.00225886604924328,0.02247191011235955
2020-03-29,2020-04-05,10,0.025299299751524736,0.32941176470588235
2020-03-29,2020-04-05,126,0.00045177320984865596,0.0058823529411764705
2020-03-29,2020-04-05,75,0.0006776598147729839,0.008823529411764706
2020-03-29,2020-04-05,273,0.00022588660492432798,0.0029411764705882353
2020-03-29,2020-04-05,100,0.00045177320984865596,0.0058823529411764705
2020-03-29,2020-04-05,0,0.012197876665913711,0.1588235294117647
2020-03-29,2020-04-05,34,0.00677659814772984,0.08823529411764706
2020-03-29,2020-04-05,45,0.0036141856787892477,0.047058823529411764
2020-03-29,2020-04-05,269,0.00022588660492432798,0.0029411764705882353
2020-03-29,2020-04-05,47,0.0036141856787892477,0.047058823529411764
2020-03-29,2020-04-05,50,0.002484752654167608,0.03235294117647059
2020-03-29,2020-04-05,91,0.0006776598147729839,0.008823529411764706
2020-03-29,2020-04-05,41,0.0054212785181838715,0.07058823529411765
2020-03-29,2020-04-05,108,0.00112943302462164,0.014705882352941176
2020-03-29,2020-04-05,76,0.00112943302462164,0.014705882352941176
2020-03-29,2020-04-05,49,0.00338829907386492,0.04411764705882353
2020-03-29,2020-04-05,268,0.00022588660492432798,0.0029411764705882353
2020-03-29,2020-04-05,55,0.0020329794443189517,0.026470588235294117
2020-03-29,2020-04-05,267,0.00022588660492432798,0.0029411764705882353
2020-03-29,2020-04-05,40,0.004291845493562232,0.05588235294117647
2020-03-29,2020-04-05,53,0.00225886604924328,0.029411764705882353
2020-04-06,2020-04-13,134,0.00045177320984865596,0.00904977375565611
2020-04-06,2020-04-13,27,0.011520216851140727,0.23076923076923078
2020-04-06,2020-04-13,102,0.0006776598147729839,0.013574660633484163
2020-04-06,2020-04-13,78,0.00045177320984865596,0.00904977375565611
2020-04-06,2020-04-13,95,0.00045177320984865596,0.00904977375565611
2020-04-06,2020-04-13,64,0.0018070928393946238,0.03619909502262444
2020-04-06,2020-04-13,63,0.001581206234470296,0.03167420814479638
2020-04-06,2020-04-13,22,0.016715608764400272,0.334841628959276
2020-04-06,2020-04-13,77,0.0006776598147729839,0.013574660633484163
2020-04-06,2020-04-13,144,0.00022588660492432798,0.004524886877828055
2020-04-06,2020-04-13,188,0.00022588660492432798,0.004524886877828055
2020-04-06,2020-04-13,205,0.00022588660492432798,0.004524886877828055
2020-04-06,2020-04-13,48,0.0020329794443189517,0.04072398190045249
2020-04-06,2020-04-13,140,0.00022588660492432798,0.004524886877828055
2020-04-06,2020-04-13,96,0.0006776598147729839,0.013574660633484163
2020-04-06,2020-04-13,90,0.00045177320984865596,0.00904977375565611
2020-04-06,2020-04-13,93,0.00022588660492432798,0.004524886877828055
2020-04-06,2020-04-13,131,0.00045177320984865596,0.00904977375565611
