data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-13,2020-03-13,6,0.08333333333333333,1.0
2020-08-23,2020-08-23,0,0.16666666666666666,1.0
2020-08-29,2020-08-29,1,0.20833333333333334,1.0
2020-10-06,2020-10-06,19,0.041666666666666664,1.0
2020-10-18,2020-10-18,23,0.041666666666666664,1.0
2020-10-25,2020-10-25,2,0.08333333333333333,1.0
2020-10-31,2020-10-31,22,0.041666666666666664,1.0
2020-11-07,2020-11-07,4,0.08333333333333333,1.0
2020-11-10,2020-11-10,5,0.041666666666666664,1.0
2020-11-12,2020-11-12,10,0.041666666666666664,1.0
2020-11-14,2020-11-14,3,0.08333333333333333,1.0
2020-11-19,2020-11-19,26,0.041666666666666664,1.0
2020-11-23,2020-11-23,8,0.041666666666666664,1.0
