data_inizio,data_fine,delay,frequenza_delay
2020-03-09,2020-03-09,30,0.007692307692307693
2020-03-11,2020-03-11,30,0.007692307692307693
2020-03-12,2020-03-12,9,0.007692307692307693
2020-03-14,2020-03-14,10,0.007692307692307693
2020-03-16,2020-03-16,40,0.007692307692307693
2020-03-18,2020-03-18,41,0.007692307692307693
2020-03-18,2020-03-18,34,0.007692307692307693
2020-03-19,2020-03-19,5,0.007692307692307693
2020-03-19,2020-03-19,15,0.007692307692307693
2020-03-22,2020-03-22,43,0.007692307692307693
2020-03-23,2020-03-23,14,0.007692307692307693
2020-03-24,2020-03-24,31,0.007692307692307693
2020-03-25,2020-03-25,6,0.007692307692307693
2020-03-25,2020-03-25,26,0.007692307692307693
2020-03-27,2020-03-27,16,0.007692307692307693
2020-03-27,2020-03-27,49,0.007692307692307693
2020-03-28,2020-03-28,13,0.007692307692307693
2020-03-30,2020-03-30,20,0.007692307692307693
2020-03-31,2020-03-31,11,0.007692307692307693
2020-04-03,2020-04-03,7,0.007692307692307693
2020-04-03,2020-04-03,28,0.015384615384615385
2020-04-04,2020-04-04,47,0.007692307692307693
2020-04-06,2020-04-06,12,0.007692307692307693
2020-04-07,2020-04-07,83,0.007692307692307693
2020-04-08,2020-04-08,22,0.007692307692307693
2020-04-09,2020-04-09,23,0.007692307692307693
2020-04-11,2020-04-11,30,0.007692307692307693
2020-04-12,2020-04-12,36,0.007692307692307693
2020-04-17,2020-04-17,17,0.007692307692307693
2020-04-17,2020-04-17,21,0.007692307692307693
2020-04-18,2020-04-18,41,0.007692307692307693
2020-04-18,2020-04-18,58,0.007692307692307693
2020-04-19,2020-04-19,16,0.007692307692307693
2020-04-21,2020-04-21,19,0.007692307692307693
2020-04-24,2020-04-24,26,0.007692307692307693
2020-05-01,2020-05-01,16,0.007692307692307693
2020-05-06,2020-05-06,27,0.007692307692307693
2020-05-10,2020-05-10,41,0.007692307692307693
2020-05-13,2020-05-13,26,0.007692307692307693
2020-06-05,2020-06-05,25,0.007692307692307693
2020-06-10,2020-06-10,6,0.007692307692307693
2020-06-30,2020-06-30,35,0.007692307692307693
2020-08-12,2020-08-12,14,0.007692307692307693
2020-08-13,2020-08-13,17,0.007692307692307693
2020-08-21,2020-08-21,16,0.007692307692307693
2020-09-16,2020-09-16,10,0.007692307692307693
2020-09-23,2020-09-23,25,0.007692307692307693
2020-09-25,2020-09-25,20,0.007692307692307693
2020-10-02,2020-10-02,56,0.007692307692307693
2020-10-08,2020-10-08,13,0.007692307692307693
2020-10-09,2020-10-09,25,0.007692307692307693
2020-10-10,2020-10-10,69,0.007692307692307693
2020-10-12,2020-10-12,9,0.007692307692307693
2020-10-14,2020-10-14,29,0.007692307692307693
2020-10-15,2020-10-15,21,0.007692307692307693
2020-10-16,2020-10-16,28,0.007692307692307693
2020-10-17,2020-10-17,48,0.007692307692307693
2020-10-17,2020-10-17,75,0.007692307692307693
2020-10-18,2020-10-18,16,0.007692307692307693
2020-10-18,2020-10-18,59,0.007692307692307693
2020-10-20,2020-10-20,19,0.007692307692307693
2020-10-22,2020-10-22,13,0.007692307692307693
2020-10-23,2020-10-23,34,0.007692307692307693
2020-10-23,2020-10-23,44,0.007692307692307693
2020-10-24,2020-10-24,19,0.007692307692307693
2020-10-25,2020-10-25,24,0.007692307692307693
2020-10-26,2020-10-26,18,0.007692307692307693
2020-10-27,2020-10-27,51,0.007692307692307693
2020-10-28,2020-10-28,30,0.007692307692307693
2020-10-29,2020-10-29,25,0.007692307692307693
2020-10-29,2020-10-29,63,0.007692307692307693
2020-10-30,2020-10-30,28,0.015384615384615385
2020-10-31,2020-10-31,61,0.007692307692307693
2020-11-01,2020-11-01,17,0.007692307692307693
2020-11-01,2020-11-01,42,0.007692307692307693
2020-11-02,2020-11-02,32,0.007692307692307693
2020-11-03,2020-11-03,14,0.007692307692307693
2020-11-03,2020-11-03,37,0.007692307692307693
2020-11-04,2020-11-04,7,0.007692307692307693
2020-11-05,2020-11-05,56,0.007692307692307693
2020-11-05,2020-11-05,38,0.007692307692307693
2020-11-06,2020-11-06,55,0.007692307692307693
2020-11-06,2020-11-06,45,0.007692307692307693
2020-11-07,2020-11-07,27,0.007692307692307693
2020-11-08,2020-11-08,13,0.015384615384615385
2020-11-09,2020-11-09,22,0.007692307692307693
2020-11-10,2020-11-10,38,0.007692307692307693
2020-11-11,2020-11-11,11,0.007692307692307693
2020-11-11,2020-11-11,33,0.007692307692307693
2020-11-12,2020-11-12,17,0.015384615384615385
2020-11-13,2020-11-13,12,0.007692307692307693
2020-11-13,2020-11-13,46,0.007692307692307693
2020-11-14,2020-11-14,14,0.007692307692307693
2020-11-15,2020-11-15,32,0.007692307692307693
2020-11-16,2020-11-16,39,0.007692307692307693
2020-11-17,2020-11-17,37,0.007692307692307693
2020-11-18,2020-11-18,29,0.007692307692307693
2020-11-19,2020-11-19,6,0.015384615384615385
2020-11-20,2020-11-20,23,0.007692307692307693
2020-11-21,2020-11-21,26,0.007692307692307693
2020-11-22,2020-11-22,16,0.007692307692307693
2020-11-23,2020-11-23,9,0.007692307692307693
2020-11-24,2020-11-24,23,0.007692307692307693
2020-11-26,2020-11-26,35,0.007692307692307693
2020-11-27,2020-11-27,32,0.007692307692307693
2020-11-28,2020-11-28,21,0.007692307692307693
2020-11-29,2020-11-29,32,0.015384615384615385
2020-11-30,2020-11-30,31,0.007692307692307693
2020-12-01,2020-12-01,16,0.007692307692307693
2020-12-04,2020-12-04,15,0.015384615384615385
2020-12-05,2020-12-05,26,0.015384615384615385
2020-12-07,2020-12-07,19,0.007692307692307693
2020-12-08,2020-12-08,23,0.007692307692307693
2020-12-10,2020-12-10,21,0.015384615384615385
2020-12-13,2020-12-13,18,0.015384615384615385
2020-12-14,2020-12-14,17,0.015384615384615385
2020-12-16,2020-12-16,15,0.015384615384615385
2020-12-17,2020-12-17,14,0.007692307692307693
