data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-03,2020-04-02,7,0.042045454545454546,0.06851851851851852
2020-03-03,2020-04-02,18,0.029545454545454545,0.04814814814814815
2020-03-03,2020-04-02,41,0.006818181818181818,0.011111111111111112
2020-03-03,2020-04-02,164,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,15,0.03636363636363636,0.05925925925925926
2020-03-03,2020-04-02,4,0.02159090909090909,0.03518518518518519
2020-03-03,2020-04-02,36,0.013636363636363636,0.022222222222222223
2020-03-03,2020-04-02,25,0.0125,0.020370370370370372
2020-03-03,2020-04-02,289,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,84,0.0022727272727272726,0.003703703703703704
2020-03-03,2020-04-02,9,0.031818181818181815,0.05185185185185185
2020-03-03,2020-04-02,44,0.007954545454545454,0.012962962962962963
2020-03-03,2020-04-02,87,0.0022727272727272726,0.003703703703703704
2020-03-03,2020-04-02,64,0.003409090909090909,0.005555555555555556
2020-03-03,2020-04-02,21,0.022727272727272728,0.037037037037037035
2020-03-03,2020-04-02,70,0.004545454545454545,0.007407407407407408
2020-03-03,2020-04-02,149,0.0022727272727272726,0.003703703703703704
2020-03-03,2020-04-02,31,0.00909090909090909,0.014814814814814815
2020-03-03,2020-04-02,90,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,33,0.015909090909090907,0.025925925925925925
2020-03-03,2020-04-02,14,0.02727272727272727,0.044444444444444446
2020-03-03,2020-04-02,6,0.0375,0.06111111111111111
2020-03-03,2020-04-02,45,0.011363636363636364,0.018518518518518517
2020-03-03,2020-04-02,83,0.0022727272727272726,0.003703703703703704
2020-03-03,2020-04-02,11,0.02727272727272727,0.044444444444444446
2020-03-03,2020-04-02,20,0.02159090909090909,0.03518518518518519
2020-03-03,2020-04-02,1,0.017045454545454544,0.027777777777777776
2020-03-03,2020-04-02,38,0.00909090909090909,0.014814814814814815
2020-03-03,2020-04-02,92,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,57,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,30,0.011363636363636364,0.018518518518518517
2020-03-03,2020-04-02,12,0.023863636363636365,0.03888888888888889
2020-03-03,2020-04-02,5,0.028409090909090908,0.046296296296296294
2020-03-03,2020-04-02,16,0.028409090909090908,0.046296296296296294
2020-03-03,2020-04-02,134,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,13,0.03409090909090909,0.05555555555555555
2020-03-03,2020-04-02,23,0.019318181818181818,0.03148148148148148
2020-03-03,2020-04-02,2,0.022727272727272728,0.037037037037037035
2020-03-03,2020-04-02,51,0.004545454545454545,0.007407407407407408
2020-03-03,2020-04-02,62,0.0011363636363636363,0.001851851851851852
2020-03-03,2020-04-02,28,0.014772727272727272,0.024074074074074074
2020-04-03,2020-05-03,24,0.023863636363636365,0.06818181818181818
2020-04-03,2020-05-03,26,0.014772727272727272,0.04220779220779221
2020-04-03,2020-05-03,56,0.0022727272727272726,0.006493506493506494
2020-04-03,2020-05-03,39,0.00909090909090909,0.025974025974025976
2020-04-03,2020-05-03,8,0.022727272727272728,0.06493506493506493
2020-04-03,2020-05-03,42,0.010227272727272727,0.02922077922077922
2020-04-03,2020-05-03,29,0.01818181818181818,0.05194805194805195
2020-04-03,2020-05-03,3,0.03636363636363636,0.1038961038961039
2020-04-03,2020-05-03,22,0.022727272727272728,0.06493506493506493
2020-04-03,2020-05-03,97,0.0022727272727272726,0.006493506493506494
2020-04-03,2020-05-03,55,0.006818181818181818,0.01948051948051948
2020-04-03,2020-05-03,34,0.015909090909090907,0.045454545454545456
2020-04-03,2020-05-03,54,0.007954545454545454,0.022727272727272728
2020-04-03,2020-05-03,66,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,27,0.011363636363636364,0.032467532467532464
2020-04-03,2020-05-03,69,0.005681818181818182,0.016233766233766232
2020-04-03,2020-05-03,99,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,116,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,95,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,197,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,32,0.00909090909090909,0.025974025974025976
2020-04-03,2020-05-03,107,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,17,0.017045454545454544,0.048701298701298704
2020-04-03,2020-05-03,78,0.0022727272727272726,0.006493506493506494
2020-04-03,2020-05-03,10,0.022727272727272728,0.06493506493506493
2020-04-03,2020-05-03,256,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,94,0.0022727272727272726,0.006493506493506494
2020-04-03,2020-05-03,19,0.01818181818181818,0.05194805194805195
2020-04-03,2020-05-03,105,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,63,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,35,0.015909090909090907,0.045454545454545456
2020-04-03,2020-05-03,103,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,86,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,253,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,53,0.005681818181818182,0.016233766233766232
2020-04-03,2020-05-03,93,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,37,0.013636363636363636,0.03896103896103896
2020-04-03,2020-05-03,252,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,49,0.005681818181818182,0.016233766233766232
2020-04-03,2020-05-03,77,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,81,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,46,0.005681818181818182,0.016233766233766232
2020-04-03,2020-05-03,71,0.0011363636363636363,0.003246753246753247
2020-04-03,2020-05-03,48,0.0022727272727272726,0.006493506493506494
2020-05-04,2020-06-03,241,0.0011363636363636363,0.3333333333333333
2020-05-04,2020-06-03,98,0.0011363636363636363,0.3333333333333333
2020-05-04,2020-06-03,59,0.0011363636363636363,0.3333333333333333
2020-10-06,2020-11-05,52,0.003409090909090909,0.11538461538461539
2020-10-06,2020-11-05,65,0.0011363636363636363,0.038461538461538464
2020-10-06,2020-11-05,68,0.0011363636363636363,0.038461538461538464
2020-10-06,2020-11-05,50,0.006818181818181818,0.23076923076923078
2020-10-06,2020-11-05,0,0.0022727272727272726,0.07692307692307693
2020-10-06,2020-11-05,67,0.0011363636363636363,0.038461538461538464
2020-10-06,2020-11-05,61,0.0022727272727272726,0.07692307692307693
2020-10-06,2020-11-05,60,0.0011363636363636363,0.038461538461538464
2020-10-06,2020-11-05,43,0.004545454545454545,0.15384615384615385
2020-10-06,2020-11-05,58,0.0022727272727272726,0.07692307692307693
2020-10-06,2020-11-05,40,0.003409090909090909,0.11538461538461539
2020-11-06,2020-12-06,47,0.003409090909090909,1.0
