data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-12-31,2,0.09302325581395349,0.09302325581395349
2020-01-01,2020-12-31,9,0.16279069767441862,0.16279069767441862
2020-01-01,2020-12-31,1,0.09302325581395349,0.09302325581395349
2020-01-01,2020-12-31,4,0.1511627906976744,0.1511627906976744
2020-01-01,2020-12-31,10,0.05813953488372093,0.05813953488372093
2020-01-01,2020-12-31,3,0.10465116279069768,0.10465116279069768
2020-01-01,2020-12-31,7,0.11627906976744186,0.11627906976744186
2020-01-01,2020-12-31,6,0.05813953488372093,0.05813953488372093
2020-01-01,2020-12-31,5,0.09302325581395349,0.09302325581395349
2020-01-01,2020-12-31,8,0.06976744186046512,0.06976744186046512
