data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,2,0.0784313725490196,0.21052631578947367
2020-01-01,2020-04-30,0,0.1568627450980392,0.42105263157894735
2020-01-01,2020-04-30,9,0.13725490196078433,0.3684210526315789
2020-05-01,2020-08-29,1,0.0784313725490196,0.3076923076923077
2020-05-01,2020-08-29,4,0.12745098039215685,0.5
2020-05-01,2020-08-29,10,0.049019607843137254,0.19230769230769232
2020-08-30,2020-12-28,3,0.08823529411764706,0.23684210526315788
2020-08-30,2020-12-28,7,0.09803921568627451,0.2631578947368421
2020-08-30,2020-12-28,6,0.049019607843137254,0.13157894736842105
2020-08-30,2020-12-28,5,0.0784313725490196,0.21052631578947367
2020-08-30,2020-12-28,8,0.058823529411764705,0.15789473684210525
