data_inizio,data_fine,delay,frequenza_delay
2020-03-09,2020-03-09,0,0.0041841004184100415
2020-03-11,2020-03-11,6,0.0041841004184100415
2020-03-12,2020-03-12,8,0.0041841004184100415
2020-03-12,2020-03-12,5,0.0041841004184100415
2020-03-15,2020-03-15,7,0.0041841004184100415
2020-03-18,2020-03-18,3,0.0041841004184100415
2020-03-18,2020-03-18,4,0.0041841004184100415
2020-03-20,2020-03-20,0,0.012552301255230125
2020-03-21,2020-03-21,0,0.0041841004184100415
2020-03-22,2020-03-22,9,0.0041841004184100415
2020-03-23,2020-03-23,1,0.0041841004184100415
2020-03-24,2020-03-24,7,0.0041841004184100415
2020-03-26,2020-03-26,9,0.008368200836820083
2020-03-27,2020-03-27,9,0.0041841004184100415
2020-03-28,2020-03-28,0,0.008368200836820083
2020-03-29,2020-03-29,0,0.0041841004184100415
2020-03-30,2020-03-30,6,0.0041841004184100415
2020-04-01,2020-04-01,4,0.0041841004184100415
2020-04-02,2020-04-02,6,0.0041841004184100415
2020-04-06,2020-04-06,0,0.008368200836820083
2020-04-08,2020-04-08,4,0.0041841004184100415
2020-04-09,2020-04-09,3,0.0041841004184100415
2020-04-10,2020-04-10,7,0.0041841004184100415
2020-04-12,2020-04-12,9,0.0041841004184100415
2020-04-13,2020-04-13,0,0.0041841004184100415
2020-04-14,2020-04-14,8,0.0041841004184100415
2020-04-15,2020-04-15,0,0.0041841004184100415
2020-04-18,2020-04-18,9,0.0041841004184100415
2020-04-19,2020-04-19,7,0.0041841004184100415
2020-04-20,2020-04-20,4,0.0041841004184100415
2020-04-22,2020-04-22,3,0.0041841004184100415
2020-04-23,2020-04-23,0,0.008368200836820083
2020-04-24,2020-04-24,8,0.0041841004184100415
2020-04-25,2020-04-25,9,0.0041841004184100415
2020-04-26,2020-04-26,6,0.0041841004184100415
2020-04-27,2020-04-27,9,0.008368200836820083
2020-04-29,2020-04-29,0,0.008368200836820083
2020-05-04,2020-05-04,3,0.008368200836820083
2020-05-06,2020-05-06,6,0.008368200836820083
2020-05-09,2020-05-09,2,0.0041841004184100415
2020-05-10,2020-05-10,6,0.0041841004184100415
2020-05-11,2020-05-11,6,0.0041841004184100415
2020-05-14,2020-05-14,0,0.0041841004184100415
2020-05-15,2020-05-15,4,0.0041841004184100415
2020-05-16,2020-05-16,2,0.0041841004184100415
2020-05-18,2020-05-18,3,0.0041841004184100415
2020-05-19,2020-05-19,0,0.0041841004184100415
2020-05-21,2020-05-21,5,0.0041841004184100415
2020-05-22,2020-05-22,9,0.0041841004184100415
2020-05-23,2020-05-23,0,0.0041841004184100415
2020-05-23,2020-05-23,10,0.0041841004184100415
2020-05-24,2020-05-24,6,0.0041841004184100415
2020-05-26,2020-05-26,0,0.0041841004184100415
2020-05-27,2020-05-27,5,0.0041841004184100415
2020-05-30,2020-05-30,5,0.0041841004184100415
2020-06-01,2020-06-01,5,0.0041841004184100415
2020-06-02,2020-06-02,4,0.0041841004184100415
2020-06-05,2020-06-05,2,0.0041841004184100415
2020-06-07,2020-06-07,2,0.0041841004184100415
2020-06-09,2020-06-09,2,0.0041841004184100415
2020-08-09,2020-08-09,3,0.0041841004184100415
2020-08-12,2020-08-12,0,0.0041841004184100415
2020-08-20,2020-08-20,4,0.0041841004184100415
2020-08-29,2020-08-29,8,0.0041841004184100415
2020-09-05,2020-09-05,3,0.0041841004184100415
2020-09-08,2020-09-08,2,0.0041841004184100415
2020-09-13,2020-09-13,8,0.0041841004184100415
2020-09-16,2020-09-16,0,0.0041841004184100415
2020-09-18,2020-09-18,3,0.0041841004184100415
2020-09-19,2020-09-19,6,0.0041841004184100415
2020-09-24,2020-09-24,7,0.0041841004184100415
2020-09-26,2020-09-26,6,0.0041841004184100415
2020-09-29,2020-09-29,0,0.0041841004184100415
2020-10-01,2020-10-01,6,0.0041841004184100415
2020-10-03,2020-10-03,10,0.0041841004184100415
2020-10-04,2020-10-04,7,0.0041841004184100415
2020-10-07,2020-10-07,0,0.0041841004184100415
2020-10-09,2020-10-09,7,0.0041841004184100415
2020-10-10,2020-10-10,10,0.0041841004184100415
2020-10-12,2020-10-12,0,0.012552301255230125
2020-10-13,2020-10-13,0,0.0041841004184100415
2020-10-14,2020-10-14,9,0.0041841004184100415
2020-10-15,2020-10-15,0,0.0041841004184100415
2020-10-16,2020-10-16,3,0.0041841004184100415
2020-10-17,2020-10-17,10,0.0041841004184100415
2020-10-19,2020-10-19,3,0.008368200836820083
2020-10-20,2020-10-20,10,0.0041841004184100415
2020-10-21,2020-10-21,1,0.0041841004184100415
2020-10-22,2020-10-22,0,0.0041841004184100415
2020-10-23,2020-10-23,2,0.0041841004184100415
2020-10-24,2020-10-24,3,0.0041841004184100415
2020-10-25,2020-10-25,4,0.008368200836820083
2020-10-26,2020-10-26,8,0.0041841004184100415
2020-10-27,2020-10-27,0,0.012552301255230125
2020-10-28,2020-10-28,3,0.008368200836820083
2020-10-29,2020-10-29,7,0.012552301255230125
2020-10-30,2020-10-30,2,0.016736401673640166
2020-10-31,2020-10-31,2,0.0041841004184100415
2020-11-01,2020-11-01,1,0.008368200836820083
2020-11-02,2020-11-02,10,0.0041841004184100415
2020-11-03,2020-11-03,0,0.012552301255230125
2020-11-04,2020-11-04,9,0.012552301255230125
2020-11-05,2020-11-05,3,0.008368200836820083
2020-11-06,2020-11-06,6,0.0041841004184100415
2020-11-07,2020-11-07,5,0.008368200836820083
2020-11-08,2020-11-08,2,0.012552301255230125
2020-11-09,2020-11-09,1,0.0041841004184100415
2020-11-10,2020-11-10,0,0.03347280334728033
2020-11-11,2020-11-11,4,0.008368200836820083
2020-11-12,2020-11-12,8,0.008368200836820083
2020-11-13,2020-11-13,8,0.008368200836820083
2020-11-14,2020-11-14,0,0.008368200836820083
2020-11-15,2020-11-15,0,0.008368200836820083
2020-11-16,2020-11-16,9,0.0041841004184100415
2020-11-17,2020-11-17,0,0.02510460251046025
2020-11-18,2020-11-18,0,0.0041841004184100415
2020-11-19,2020-11-19,0,0.02092050209205021
2020-11-20,2020-11-20,5,0.008368200836820083
2020-11-21,2020-11-21,4,0.012552301255230125
2020-11-22,2020-11-22,6,0.008368200836820083
2020-11-23,2020-11-23,8,0.008368200836820083
2020-11-24,2020-11-24,7,0.0041841004184100415
2020-11-25,2020-11-25,4,0.008368200836820083
2020-11-26,2020-11-26,2,0.012552301255230125
2020-11-27,2020-11-27,5,0.0041841004184100415
2020-11-28,2020-11-28,0,0.016736401673640166
2020-11-29,2020-11-29,0,0.008368200836820083
2020-11-30,2020-11-30,3,0.0041841004184100415
2020-12-01,2020-12-01,5,0.008368200836820083
2020-12-02,2020-12-02,1,0.0041841004184100415
2020-12-03,2020-12-03,0,0.012552301255230125
2020-12-04,2020-12-04,6,0.008368200836820083
2020-12-05,2020-12-05,7,0.008368200836820083
2020-12-06,2020-12-06,10,0.008368200836820083
2020-12-07,2020-12-07,6,0.0041841004184100415
2020-12-08,2020-12-08,5,0.008368200836820083
2020-12-09,2020-12-09,3,0.0041841004184100415
2020-12-10,2020-12-10,8,0.008368200836820083
2020-12-11,2020-12-11,3,0.0041841004184100415
2020-12-12,2020-12-12,3,0.0041841004184100415
2020-12-13,2020-12-13,6,0.008368200836820083
2020-12-14,2020-12-14,5,0.0041841004184100415
2020-12-15,2020-12-15,8,0.0041841004184100415
2020-12-16,2020-12-16,2,0.008368200836820083
2020-12-17,2020-12-17,5,0.0041841004184100415
2020-12-18,2020-12-18,5,0.0041841004184100415
2020-12-19,2020-12-19,5,0.0041841004184100415
2020-12-20,2020-12-20,0,0.0041841004184100415
2020-12-21,2020-12-21,2,0.0041841004184100415
2020-12-22,2020-12-22,0,0.0041841004184100415
2020-12-23,2020-12-23,2,0.0041841004184100415
2020-12-25,2020-12-25,6,0.008368200836820083
2020-12-26,2020-12-26,4,0.0041841004184100415
2020-12-27,2020-12-27,1,0.0041841004184100415
2020-12-28,2020-12-28,3,0.012552301255230125
2020-12-29,2020-12-29,2,0.029288702928870293
