data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-07,2020-03-28,4,0.07868020304568528,0.15656565656565657
2020-03-07,2020-03-28,5,0.06514382402707276,0.12962962962962962
2020-03-07,2020-03-28,10,0.021996615905245348,0.04377104377104377
2020-03-07,2020-03-28,8,0.03468697123519458,0.06902356902356903
2020-03-07,2020-03-28,3,0.09644670050761421,0.1919191919191919
2020-03-07,2020-03-28,2,0.20558375634517767,0.4090909090909091
2020-03-29,2020-04-19,1,0.16243654822335024,0.4423963133640553
2020-03-29,2020-04-19,6,0.0532994923857868,0.14516129032258066
2020-03-29,2020-04-19,7,0.050761421319796954,0.1382488479262673
2020-03-29,2020-04-19,15,0.005922165820642978,0.016129032258064516
2020-03-29,2020-04-19,9,0.02707275803722504,0.07373271889400922
2020-03-29,2020-04-19,11,0.0194585448392555,0.052995391705069124
2020-03-29,2020-04-19,12,0.01353637901861252,0.03686635944700461
2020-03-29,2020-04-19,16,0.005922165820642978,0.016129032258064516
2020-03-29,2020-04-19,13,0.009306260575296108,0.02534562211981567
2020-03-29,2020-04-19,14,0.01353637901861252,0.03686635944700461
2020-03-29,2020-04-19,20,0.004230118443316413,0.01152073732718894
2020-03-29,2020-04-19,29,0.001692047377326565,0.004608294930875576
2020-04-20,2020-05-11,18,0.004230118443316413,0.3125
2020-04-20,2020-05-11,23,0.004230118443316413,0.3125
2020-04-20,2020-05-11,17,0.005076142131979695,0.375
2020-05-12,2020-06-02,19,0.00338409475465313,1.0
2020-06-03,2020-06-24,22,0.0025380710659898475,1.0
2020-06-25,2020-07-16,0,0.10067681895093063,1.0
2020-10-13,2020-11-03,33,0.0008460236886632825,0.25
2020-10-13,2020-11-03,21,0.0025380710659898475,0.75
2020-11-04,2020-11-25,24,0.00338409475465313,0.5714285714285714
2020-11-04,2020-11-25,27,0.001692047377326565,0.2857142857142857
2020-11-04,2020-11-25,36,0.0008460236886632825,0.14285714285714285
2020-11-26,2020-12-17,31,0.0008460236886632825,1.0
