data_inizio,data_fine,delay,frequenza_delay
2020-03-07,2020-03-07,0,0.0009652509652509653
2020-03-12,2020-03-12,0,0.0009652509652509653
2020-03-13,2020-03-13,11,0.0009652509652509653
2020-03-13,2020-03-13,4,0.0009652509652509653
2020-03-14,2020-03-14,0,0.0009652509652509653
2020-03-15,2020-03-15,1,0.0009652509652509653
2020-03-15,2020-03-15,27,0.0009652509652509653
2020-03-15,2020-03-15,10,0.0009652509652509653
2020-03-16,2020-03-16,7,0.0009652509652509653
2020-03-17,2020-03-17,35,0.0009652509652509653
2020-03-18,2020-03-18,1,0.0009652509652509653
2020-03-18,2020-03-18,3,0.0009652509652509653
2020-03-18,2020-03-18,85,0.0009652509652509653
2020-03-18,2020-03-18,43,0.0009652509652509653
2020-03-18,2020-03-18,38,0.0009652509652509653
2020-03-19,2020-03-19,74,0.0009652509652509653
2020-03-20,2020-03-20,0,0.0028957528957528956
2020-03-21,2020-03-21,5,0.0009652509652509653
2020-03-22,2020-03-22,102,0.0009652509652509653
2020-03-22,2020-03-22,15,0.0009652509652509653
2020-03-22,2020-03-22,13,0.0009652509652509653
2020-03-22,2020-03-22,12,0.0009652509652509653
2020-03-22,2020-03-22,40,0.0009652509652509653
2020-03-23,2020-03-23,0,0.0028957528957528956
2020-03-23,2020-03-23,9,0.0009652509652509653
2020-03-23,2020-03-23,57,0.0009652509652509653
2020-03-24,2020-03-24,0,0.0028957528957528956
2020-03-24,2020-03-24,39,0.0009652509652509653
2020-03-25,2020-03-25,0,0.005791505791505791
2020-03-26,2020-03-26,0,0.0009652509652509653
2020-03-26,2020-03-26,93,0.0009652509652509653
2020-03-27,2020-03-27,20,0.0009652509652509653
2020-03-27,2020-03-27,22,0.0009652509652509653
2020-03-28,2020-03-28,3,0.0019305019305019305
2020-03-28,2020-03-28,67,0.0009652509652509653
2020-03-28,2020-03-28,106,0.0009652509652509653
2020-03-29,2020-03-29,0,0.004826254826254826
2020-03-29,2020-03-29,63,0.0009652509652509653
2020-03-30,2020-03-30,56,0.0009652509652509653
2020-03-31,2020-03-31,3,0.0009652509652509653
2020-04-01,2020-04-01,0,0.0019305019305019305
2020-04-01,2020-04-01,26,0.0009652509652509653
2020-04-02,2020-04-02,0,0.004826254826254826
2020-04-02,2020-04-02,29,0.0009652509652509653
2020-04-02,2020-04-02,117,0.0009652509652509653
2020-04-03,2020-04-03,0,0.003861003861003861
2020-04-03,2020-04-03,18,0.0009652509652509653
2020-04-04,2020-04-04,48,0.0009652509652509653
2020-04-04,2020-04-04,21,0.0009652509652509653
2020-04-04,2020-04-04,14,0.0009652509652509653
2020-04-05,2020-04-05,0,0.006756756756756757
2020-04-05,2020-04-05,112,0.0009652509652509653
2020-04-06,2020-04-06,0,0.005791505791505791
2020-04-07,2020-04-07,0,0.0019305019305019305
2020-04-08,2020-04-08,36,0.0009652509652509653
2020-04-09,2020-04-09,0,0.003861003861003861
2020-04-10,2020-04-10,3,0.0009652509652509653
2020-04-10,2020-04-10,76,0.0009652509652509653
2020-04-11,2020-04-11,8,0.0009652509652509653
2020-04-11,2020-04-11,34,0.0009652509652509653
2020-04-11,2020-04-11,30,0.0009652509652509653
2020-04-12,2020-04-12,0,0.003861003861003861
2020-04-12,2020-04-12,16,0.0009652509652509653
2020-04-12,2020-04-12,80,0.0009652509652509653
2020-04-13,2020-04-13,0,0.008687258687258687
2020-04-13,2020-04-13,31,0.0009652509652509653
2020-04-13,2020-04-13,25,0.0009652509652509653
2020-04-14,2020-04-14,1,0.004826254826254826
2020-04-14,2020-04-14,17,0.0019305019305019305
2020-04-14,2020-04-14,24,0.0009652509652509653
2020-04-14,2020-04-14,65,0.0009652509652509653
2020-04-15,2020-04-15,4,0.0019305019305019305
2020-04-15,2020-04-15,33,0.0009652509652509653
2020-04-15,2020-04-15,107,0.0009652509652509653
2020-04-16,2020-04-16,1,0.003861003861003861
2020-04-16,2020-04-16,81,0.0009652509652509653
2020-04-16,2020-04-16,82,0.0009652509652509653
2020-04-17,2020-04-17,0,0.008687258687258687
2020-04-17,2020-04-17,59,0.0009652509652509653
2020-04-17,2020-04-17,129,0.0009652509652509653
2020-04-18,2020-04-18,0,0.008687258687258687
2020-04-18,2020-04-18,49,0.0009652509652509653
2020-04-19,2020-04-19,4,0.0019305019305019305
2020-04-19,2020-04-19,23,0.0009652509652509653
2020-04-20,2020-04-20,0,0.005791505791505791
2020-04-20,2020-04-20,69,0.0009652509652509653
2020-04-20,2020-04-20,95,0.0009652509652509653
2020-04-21,2020-04-21,0,0.010617760617760617
2020-04-21,2020-04-21,55,0.0009652509652509653
2020-04-21,2020-04-21,62,0.0009652509652509653
2020-04-22,2020-04-22,0,0.007722007722007722
2020-04-22,2020-04-22,28,0.0009652509652509653
2020-04-23,2020-04-23,0,0.009652509652509652
2020-04-24,2020-04-24,1,0.005791505791505791
2020-04-24,2020-04-24,91,0.0009652509652509653
2020-04-25,2020-04-25,0,0.007722007722007722
2020-04-26,2020-04-26,0,0.017374517374517374
2020-04-27,2020-04-27,12,0.0009652509652509653
2020-04-28,2020-04-28,0,0.0019305019305019305
2020-04-29,2020-04-29,78,0.0009652509652509653
2020-04-29,2020-04-29,64,0.0009652509652509653
2020-04-30,2020-04-30,1,0.004826254826254826
