data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-09,2020-03-09,10,0.05628308721092226,1.0
2020-03-10,2020-03-10,7,0.06937865700752299,1.0
2020-03-13,2020-03-13,9,0.06770688213987183,1.0
2020-03-15,2020-03-15,15,0.012538311507383673,1.0
2020-03-17,2020-03-17,11,0.02897743103928671,1.0
2020-03-19,2020-03-19,12,0.025076623014767346,0.8571428571428571
2020-03-19,2020-03-19,36,0.004179437169127891,0.14285714285714285
2020-03-20,2020-03-20,13,0.02117581499024798,0.5714285714285714
2020-03-20,2020-03-20,16,0.014210086375034828,0.38345864661654133
2020-03-20,2020-03-20,46,0.0016717748676511562,0.045112781954887216
2020-03-21,2020-03-21,23,0.008637503482864307,1.0
2020-03-22,2020-03-22,1,0.020618556701030927,0.9866666666666667
2020-03-22,2020-03-22,88,0.00027862914460852607,0.013333333333333334
2020-03-24,2020-03-24,2,0.050710504318751744,0.91
2020-03-24,2020-03-24,42,0.0030649205906937865,0.055
2020-03-24,2020-03-24,43,0.0019504040122596824,0.035
2020-03-25,2020-03-25,75,0.00027862914460852607,1.0
2020-03-27,2020-03-27,24,0.004736695458344943,1.0
2020-03-28,2020-03-28,55,0.0013931457230426303,1.0
2020-03-30,2020-03-30,175,0.00027862914460852607,1.0
2020-04-01,2020-04-01,4,0.1521315129562552,0.9528795811518325
2020-04-01,2020-04-01,25,0.007522986904430203,0.04712041884816754
2020-04-02,2020-04-02,14,0.018668152688771245,0.7444444444444445
2020-04-02,2020-04-02,30,0.006408470325996099,0.25555555555555554
2020-04-03,2020-04-03,41,0.004179437169127891,1.0
2020-04-04,2020-04-04,5,0.060462524380050155,0.9313304721030042
2020-04-04,2020-04-04,33,0.004458066313736417,0.06866952789699571
2020-04-05,2020-04-05,51,0.0008358874338255781,1.0
2020-04-07,2020-04-07,84,0.00027862914460852607,1.0
2020-04-10,2020-04-10,6,0.06714962385065477,1.0
2020-04-11,2020-04-11,8,0.07439398161047646,0.967391304347826
2020-04-11,2020-04-11,124,0.00027862914460852607,0.0036231884057971015
2020-04-11,2020-04-11,50,0.0013931457230426303,0.018115942028985508
2020-04-11,2020-04-11,86,0.00027862914460852607,0.0036231884057971015
2020-04-11,2020-04-11,68,0.0005572582892170521,0.007246376811594203
2020-04-12,2020-04-12,19,0.011423794928949568,0.9761904761904762
2020-04-12,2020-04-12,76,0.00027862914460852607,0.023809523809523808
2020-04-13,2020-04-13,27,0.005572582892170521,0.24691358024691357
2020-04-13,2020-04-13,17,0.012816940651992199,0.5679012345679012
2020-04-13,2020-04-13,38,0.004179437169127891,0.18518518518518517
2020-04-14,2020-04-14,35,0.003900808024519365,1.0
2020-04-15,2020-04-15,3,0.06352744497074395,0.946058091286307
2020-04-15,2020-04-15,34,0.003622178879910839,0.05394190871369295
2020-04-16,2020-04-16,58,0.0008358874338255781,0.3333333333333333
2020-04-16,2020-04-16,120,0.00027862914460852607,0.1111111111111111
2020-04-16,2020-04-16,61,0.0013931457230426303,0.5555555555555556
2020-04-18,2020-04-18,18,0.01058790749512399,1.0
2020-04-19,2020-04-19,29,0.004458066313736417,1.0
2020-04-21,2020-04-21,126,0.00027862914460852607,0.047619047619047616
2020-04-21,2020-04-21,45,0.0019504040122596824,0.3333333333333333
2020-04-21,2020-04-21,39,0.003622178879910839,0.6190476190476191
2020-04-22,2020-04-22,26,0.008358874338255782,0.4
2020-04-22,2020-04-22,31,0.005572582892170521,0.26666666666666666
2020-04-22,2020-04-22,28,0.005015324602953469,0.24
2020-04-22,2020-04-22,40,0.0019504040122596824,0.09333333333333334
2020-04-23,2020-04-23,82,0.00027862914460852607,1.0
2020-04-24,2020-04-24,59,0.0008358874338255781,0.6
2020-04-24,2020-04-24,93,0.00027862914460852607,0.2
2020-04-24,2020-04-24,87,0.00027862914460852607,0.2
2020-04-25,2020-04-25,64,0.0005572582892170521,0.08695652173913043
2020-04-25,2020-04-25,32,0.005572582892170521,0.8695652173913043
2020-04-25,2020-04-25,198,0.00027862914460852607,0.043478260869565216
2020-04-27,2020-04-27,180,0.00027862914460852607,1.0
2020-04-29,2020-04-29,103,0.0005572582892170521,0.2857142857142857
2020-04-29,2020-04-29,99,0.00027862914460852607,0.14285714285714285
2020-04-29,2020-04-29,44,0.0011145165784341043,0.5714285714285714
2020-04-30,2020-04-30,228,0.00027862914460852607,1.0
2020-05-02,2020-05-02,73,0.00027862914460852607,1.0
2020-05-04,2020-05-04,79,0.0005572582892170521,1.0
2020-05-05,2020-05-05,20,0.007244357759821678,1.0
2020-05-07,2020-05-07,148,0.00027862914460852607,1.0
2020-05-09,2020-05-09,70,0.0008358874338255781,1.0
2020-05-10,2020-05-10,139,0.00027862914460852607,1.0
2020-05-11,2020-05-11,113,0.00027862914460852607,1.0
2020-05-15,2020-05-15,111,0.00027862914460852607,1.0
2020-05-16,2020-05-16,57,0.00027862914460852607,1.0
2020-05-20,2020-05-20,37,0.003622178879910839,1.0
2020-05-22,2020-05-22,121,0.00027862914460852607,0.5
2020-05-22,2020-05-22,108,0.00027862914460852607,0.5
2020-05-29,2020-05-29,119,0.00027862914460852607,1.0
2020-05-31,2020-05-31,56,0.0016717748676511562,1.0
2020-06-02,2020-06-02,85,0.00027862914460852607,0.5
2020-06-02,2020-06-02,105,0.00027862914460852607,0.5
2020-06-03,2020-06-03,89,0.0005572582892170521,1.0
