data_inizio,data_fine,delay,frequenza_delay
2020-03-14,2020-03-14,0,0.0016286644951140066
2020-03-15,2020-03-15,6,0.0016286644951140066
2020-03-16,2020-03-16,0,0.0016286644951140066
2020-03-18,2020-03-18,0,0.003257328990228013
2020-03-20,2020-03-20,4,0.0016286644951140066
2020-03-22,2020-03-22,2,0.0016286644951140066
2020-03-22,2020-03-22,12,0.0016286644951140066
2020-03-23,2020-03-23,0,0.003257328990228013
2020-03-24,2020-03-24,28,0.0016286644951140066
2020-03-26,2020-03-26,0,0.0016286644951140066
2020-03-27,2020-03-27,0,0.004885993485342019
2020-03-28,2020-03-28,13,0.0016286644951140066
2020-03-28,2020-03-28,37,0.0016286644951140066
2020-03-29,2020-03-29,0,0.0016286644951140066
2020-03-30,2020-03-30,0,0.003257328990228013
2020-03-30,2020-03-30,1,0.0016286644951140066
2020-03-31,2020-03-31,0,0.003257328990228013
2020-04-01,2020-04-01,7,0.0016286644951140066
2020-04-01,2020-04-01,5,0.0016286644951140066
2020-04-02,2020-04-02,0,0.004885993485342019
2020-04-02,2020-04-02,2,0.0016286644951140066
2020-04-03,2020-04-03,0,0.003257328990228013
2020-04-04,2020-04-04,0,0.004885993485342019
2020-04-05,2020-04-05,0,0.003257328990228013
2020-04-06,2020-04-06,0,0.008143322475570033
2020-04-07,2020-04-07,0,0.003257328990228013
2020-04-07,2020-04-07,11,0.0016286644951140066
2020-04-08,2020-04-08,0,0.008143322475570033
2020-04-08,2020-04-08,10,0.0016286644951140066
2020-04-09,2020-04-09,0,0.009771986970684038
2020-04-10,2020-04-10,0,0.003257328990228013
2020-04-11,2020-04-11,0,0.003257328990228013
2020-04-12,2020-04-12,0,0.0016286644951140066
2020-04-13,2020-04-13,0,0.0016286644951140066
2020-04-14,2020-04-14,0,0.0016286644951140066
2020-04-14,2020-04-14,31,0.0016286644951140066
2020-04-15,2020-04-15,0,0.004885993485342019
2020-04-16,2020-04-16,9,0.0016286644951140066
2020-04-17,2020-04-17,0,0.011400651465798045
2020-04-18,2020-04-18,6,0.0016286644951140066
2020-04-19,2020-04-19,0,0.004885993485342019
2020-04-20,2020-04-20,0,0.003257328990228013
2020-04-20,2020-04-20,8,0.0016286644951140066
2020-04-20,2020-04-20,3,0.0016286644951140066
2020-04-20,2020-04-20,21,0.0016286644951140066
2020-04-21,2020-04-21,0,0.003257328990228013
2020-04-22,2020-04-22,0,0.006514657980456026
2020-04-23,2020-04-23,0,0.003257328990228013
2020-04-24,2020-04-24,0,0.008143322475570033
2020-04-25,2020-04-25,0,0.004885993485342019
2020-04-26,2020-04-26,0,0.003257328990228013
2020-04-26,2020-04-26,14,0.0016286644951140066
2020-04-27,2020-04-27,7,0.0016286644951140066
2020-04-28,2020-04-28,0,0.004885993485342019
2020-04-29,2020-04-29,0,0.0016286644951140066
2020-04-30,2020-04-30,0,0.006514657980456026
2020-05-02,2020-05-02,9,0.0016286644951140066
2020-05-04,2020-05-04,4,0.0016286644951140066
2020-05-05,2020-05-05,0,0.003257328990228013
2020-05-06,2020-05-06,0,0.004885993485342019
2020-05-07,2020-05-07,0,0.0016286644951140066
2020-05-08,2020-05-08,0,0.0016286644951140066
2020-05-09,2020-05-09,0,0.003257328990228013
2020-05-09,2020-05-09,24,0.0016286644951140066
2020-05-11,2020-05-11,49,0.0016286644951140066
2020-05-12,2020-05-12,0,0.004885993485342019
2020-05-13,2020-05-13,5,0.0016286644951140066
2020-05-14,2020-05-14,0,0.0016286644951140066
2020-05-15,2020-05-15,6,0.0016286644951140066
2020-05-16,2020-05-16,0,0.0016286644951140066
2020-05-17,2020-05-17,0,0.003257328990228013
2020-05-18,2020-05-18,11,0.0016286644951140066
2020-05-19,2020-05-19,0,0.0016286644951140066
2020-05-20,2020-05-20,0,0.003257328990228013
2020-05-21,2020-05-21,0,0.004885993485342019
2020-05-22,2020-05-22,0,0.003257328990228013
2020-05-23,2020-05-23,0,0.0016286644951140066
2020-05-24,2020-05-24,0,0.0016286644951140066
2020-05-27,2020-05-27,0,0.0016286644951140066
2020-05-29,2020-05-29,0,0.003257328990228013
2020-05-30,2020-05-30,16,0.0016286644951140066
2020-06-02,2020-06-02,0,0.0016286644951140066
2020-06-04,2020-06-04,0,0.003257328990228013
2020-06-05,2020-06-05,3,0.0016286644951140066
2020-06-06,2020-06-06,0,0.0016286644951140066
2020-06-07,2020-06-07,0,0.003257328990228013
2020-06-10,2020-06-10,6,0.0016286644951140066
2020-06-14,2020-06-14,0,0.0016286644951140066
2020-06-16,2020-06-16,0,0.003257328990228013
2020-06-18,2020-06-18,0,0.0016286644951140066
2020-06-20,2020-06-20,10,0.0016286644951140066
2020-06-25,2020-06-25,0,0.0016286644951140066
2020-07-01,2020-07-01,0,0.0016286644951140066
2020-07-02,2020-07-02,0,0.0016286644951140066
2020-07-03,2020-07-03,0,0.0016286644951140066
2020-07-10,2020-07-10,0,0.0016286644951140066
2020-07-18,2020-07-18,0,0.0016286644951140066
2020-07-19,2020-07-19,0,0.0016286644951140066
2020-08-08,2020-08-08,0,0.0016286644951140066
2020-08-16,2020-08-16,14,0.0016286644951140066
2020-08-20,2020-08-20,6,0.0016286644951140066
2020-08-29,2020-08-29,8,0.0016286644951140066
2020-08-30,2020-08-30,0,0.0016286644951140066
2020-09-14,2020-09-14,0,0.0016286644951140066
2020-09-16,2020-09-16,0,0.0016286644951140066
2020-09-17,2020-09-17,0,0.0016286644951140066
2020-09-18,2020-09-18,0,0.0016286644951140066
