data_inizio,data_fine,delay,frequenza_delay
2020-03-12,2020-03-12,3,0.005434782608695652
2020-03-15,2020-03-15,5,0.005434782608695652
2020-03-21,2020-03-21,0,0.005434782608695652
2020-03-23,2020-03-23,0,0.005434782608695652
2020-03-24,2020-03-24,4,0.005434782608695652
2020-03-25,2020-03-25,1,0.010869565217391304
2020-03-25,2020-03-25,33,0.005434782608695652
2020-03-26,2020-03-26,0,0.005434782608695652
2020-03-27,2020-03-27,3,0.005434782608695652
2020-03-29,2020-03-29,0,0.005434782608695652
2020-03-29,2020-03-29,20,0.005434782608695652
2020-03-30,2020-03-30,0,0.005434782608695652
2020-03-31,2020-03-31,13,0.005434782608695652
2020-04-01,2020-04-01,0,0.005434782608695652
2020-04-02,2020-04-02,0,0.005434782608695652
2020-04-03,2020-04-03,5,0.005434782608695652
2020-04-07,2020-04-07,3,0.005434782608695652
2020-04-09,2020-04-09,0,0.010869565217391304
2020-04-09,2020-04-09,10,0.005434782608695652
2020-04-10,2020-04-10,0,0.010869565217391304
2020-04-12,2020-04-12,44,0.005434782608695652
2020-04-13,2020-04-13,0,0.005434782608695652
2020-04-13,2020-04-13,2,0.005434782608695652
2020-04-14,2020-04-14,15,0.005434782608695652
2020-04-15,2020-04-15,19,0.005434782608695652
2020-04-16,2020-04-16,4,0.005434782608695652
2020-04-19,2020-04-19,0,0.005434782608695652
2020-04-23,2020-04-23,0,0.005434782608695652
2020-04-24,2020-04-24,5,0.005434782608695652
2020-04-26,2020-04-26,27,0.005434782608695652
2020-04-29,2020-04-29,0,0.005434782608695652
2020-04-30,2020-04-30,6,0.005434782608695652
2020-05-01,2020-05-01,13,0.005434782608695652
2020-05-03,2020-05-03,15,0.005434782608695652
2020-05-04,2020-05-04,11,0.005434782608695652
2020-05-08,2020-05-08,10,0.005434782608695652
2020-05-09,2020-05-09,7,0.005434782608695652
2020-05-11,2020-05-11,3,0.005434782608695652
2020-05-15,2020-05-15,7,0.005434782608695652
2020-05-16,2020-05-16,3,0.005434782608695652
2020-05-23,2020-05-23,1,0.005434782608695652
2020-05-24,2020-05-24,9,0.005434782608695652
2020-06-02,2020-06-02,3,0.005434782608695652
2020-06-06,2020-06-06,3,0.005434782608695652
2020-08-14,2020-08-14,6,0.005434782608695652
2020-09-05,2020-09-05,0,0.005434782608695652
2020-09-13,2020-09-13,0,0.005434782608695652
2020-09-16,2020-09-16,0,0.005434782608695652
