data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,3,0.07446808510638298,0.07992388201712655
2020-01-01,2020-04-30,39,0.0035460992907801418,0.003805899143672693
2020-01-01,2020-04-30,12,0.02127659574468085,0.022835394862036156
2020-01-01,2020-04-30,1,0.15070921985815602,0.16175071360608945
2020-01-01,2020-04-30,0,0.19326241134751773,0.20742150333016174
2020-01-01,2020-04-30,4,0.0549645390070922,0.058991436726926735
2020-01-01,2020-04-30,51,0.0008865248226950354,0.0009514747859181732
2020-01-01,2020-04-30,7,0.0425531914893617,0.04567078972407231
2020-01-01,2020-04-30,2,0.0851063829787234,0.09134157944814462
2020-01-01,2020-04-30,5,0.04521276595744681,0.048525214081826834
2020-01-01,2020-04-30,15,0.013297872340425532,0.014272121788772598
2020-01-01,2020-04-30,6,0.03102836879432624,0.03330161750713606
2020-01-01,2020-04-30,16,0.01152482269503546,0.012369172216936251
2020-01-01,2020-04-30,43,0.0017730496453900709,0.0019029495718363464
2020-01-01,2020-04-30,41,0.0035460992907801418,0.003805899143672693
2020-01-01,2020-04-30,18,0.01152482269503546,0.012369172216936251
2020-01-01,2020-04-30,9,0.02127659574468085,0.022835394862036156
2020-01-01,2020-04-30,19,0.008865248226950355,0.009514747859181731
2020-01-01,2020-04-30,23,0.007978723404255319,0.008563273073263558
2020-01-01,2020-04-30,13,0.015070921985815602,0.016175071360608945
2020-01-01,2020-04-30,62,0.0008865248226950354,0.0009514747859181732
2020-01-01,2020-04-30,24,0.005319148936170213,0.005708848715509039
2020-01-01,2020-04-30,14,0.00975177304964539,0.010466222645099905
2020-01-01,2020-04-30,17,0.01950354609929078,0.02093244529019981
2020-01-01,2020-04-30,10,0.025709219858156027,0.02759276879162702
2020-01-01,2020-04-30,11,0.020390070921985817,0.021883920076117985
2020-01-01,2020-04-30,30,0.0035460992907801418,0.003805899143672693
2020-01-01,2020-04-30,21,0.0062056737588652485,0.006660323501427212
2020-01-01,2020-04-30,8,0.03280141843971631,0.035204567078972404
2020-01-01,2020-04-30,36,0.0017730496453900709,0.0019029495718363464
2020-01-01,2020-04-30,26,0.007978723404255319,0.008563273073263558
2020-05-01,2020-08-29,53,0.0008865248226950354,0.06666666666666667
2020-05-01,2020-08-29,33,0.004432624113475178,0.3333333333333333
2020-05-01,2020-08-29,77,0.0008865248226950354,0.06666666666666667
2020-05-01,2020-08-29,98,0.0008865248226950354,0.06666666666666667
2020-05-01,2020-08-29,31,0.0062056737588652485,0.4666666666666667
2020-08-30,2020-12-28,20,0.007978723404255319,0.14516129032258066
2020-08-30,2020-12-28,29,0.004432624113475178,0.08064516129032258
2020-08-30,2020-12-28,47,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,22,0.008865248226950355,0.16129032258064516
2020-08-30,2020-12-28,80,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,37,0.0026595744680851063,0.04838709677419355
2020-08-30,2020-12-28,28,0.0026595744680851063,0.04838709677419355
2020-08-30,2020-12-28,25,0.00975177304964539,0.1774193548387097
2020-08-30,2020-12-28,46,0.0017730496453900709,0.03225806451612903
2020-08-30,2020-12-28,35,0.0026595744680851063,0.04838709677419355
2020-08-30,2020-12-28,45,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,27,0.0035460992907801418,0.06451612903225806
2020-08-30,2020-12-28,52,0.0017730496453900709,0.03225806451612903
2020-08-30,2020-12-28,48,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,44,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,32,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,38,0.0008865248226950354,0.016129032258064516
2020-08-30,2020-12-28,34,0.0026595744680851063,0.04838709677419355
