data_inizio,data_fine,delay,frequenza_delay
2020-03-07,2020-03-07,7,0.006369426751592357
2020-03-09,2020-03-09,3,0.006369426751592357
2020-03-15,2020-03-15,4,0.006369426751592357
2020-03-16,2020-03-16,4,0.006369426751592357
2020-03-18,2020-03-18,46,0.006369426751592357
2020-03-20,2020-03-20,5,0.006369426751592357
2020-03-22,2020-03-22,0,0.006369426751592357
2020-03-22,2020-03-22,18,0.006369426751592357
2020-03-22,2020-03-22,11,0.006369426751592357
2020-03-23,2020-03-23,1,0.006369426751592357
2020-03-24,2020-03-24,24,0.006369426751592357
2020-03-25,2020-03-25,25,0.006369426751592357
2020-03-27,2020-03-27,40,0.006369426751592357
2020-03-28,2020-03-28,43,0.006369426751592357
2020-03-28,2020-03-28,2,0.006369426751592357
2020-03-29,2020-03-29,3,0.006369426751592357
2020-04-02,2020-04-02,0,0.006369426751592357
2020-04-05,2020-04-05,25,0.006369426751592357
2020-04-06,2020-04-06,53,0.006369426751592357
2020-04-07,2020-04-07,6,0.006369426751592357
2020-04-11,2020-04-11,38,0.006369426751592357
2020-04-12,2020-04-12,17,0.006369426751592357
2020-04-12,2020-04-12,13,0.006369426751592357
2020-04-13,2020-04-13,1,0.006369426751592357
2020-04-17,2020-04-17,1,0.006369426751592357
2020-04-18,2020-04-18,22,0.006369426751592357
2020-04-18,2020-04-18,72,0.006369426751592357
2020-04-20,2020-04-20,1,0.006369426751592357
2020-04-21,2020-04-21,1,0.006369426751592357
2020-04-22,2020-04-22,11,0.006369426751592357
2020-04-24,2020-04-24,14,0.006369426751592357
2020-04-25,2020-04-25,3,0.006369426751592357
2020-04-26,2020-04-26,3,0.006369426751592357
2020-04-30,2020-04-30,8,0.006369426751592357
2020-05-04,2020-05-04,27,0.006369426751592357
2020-05-08,2020-05-08,1,0.006369426751592357
2020-05-15,2020-05-15,0,0.006369426751592357
2020-05-17,2020-05-17,11,0.006369426751592357
2020-05-22,2020-05-22,50,0.006369426751592357
2020-05-24,2020-05-24,4,0.006369426751592357
2020-05-28,2020-05-28,27,0.006369426751592357
2020-05-30,2020-05-30,13,0.006369426751592357
