data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-05,2020-03-12,29,0.007423904974016332,0.04048582995951417
2020-03-05,2020-03-12,13,0.017817371937639197,0.09716599190283401
2020-03-05,2020-03-12,2,0.0467706013363029,0.2550607287449393
2020-03-05,2020-03-12,1,0.04138827023014106,0.2257085020242915
2020-03-05,2020-03-12,7,0.02505567928730512,0.13663967611336034
2020-03-05,2020-03-12,18,0.012435040831477357,0.06781376518218624
2020-03-05,2020-03-12,157,0.0001855976243504083,0.0010121457489878543
2020-03-05,2020-03-12,9,0.02505567928730512,0.13663967611336034
2020-03-05,2020-03-12,20,0.0066815144766146995,0.03643724696356275
2020-03-05,2020-03-12,75,0.0005567928730512249,0.003036437246963563
2020-03-13,2020-03-20,4,0.032479584261321456,0.15270506108202445
2020-03-13,2020-03-20,94,0.0001855976243504083,0.0008726003490401396
2020-03-13,2020-03-20,15,0.012249443207126948,0.05759162303664921
2020-03-13,2020-03-20,17,0.015219005196733483,0.07155322862129145
2020-03-13,2020-03-20,3,0.04510022271714922,0.21204188481675393
2020-03-13,2020-03-20,6,0.03507795100222717,0.1649214659685864
2020-03-13,2020-03-20,30,0.004268745360059391,0.02006980802792321
2020-03-13,2020-03-20,50,0.0025983667409057165,0.012216404886561954
2020-03-13,2020-03-20,285,0.0001855976243504083,0.0008726003490401396
2020-03-13,2020-03-20,21,0.008723088344469191,0.04101221640488656
2020-03-13,2020-03-20,8,0.019487750556792874,0.09162303664921466
2020-03-13,2020-03-20,31,0.005382331106161841,0.02530541012216405
2020-03-13,2020-03-20,44,0.003711952487008166,0.017452006980802792
2020-03-13,2020-03-20,38,0.0033407572383073497,0.015706806282722512
2020-03-13,2020-03-20,87,0.0009279881217520415,0.004363001745200698
2020-03-13,2020-03-20,28,0.007609502598366741,0.03577661431064572
2020-03-13,2020-03-20,56,0.0016703786191536749,0.007853403141361256
2020-03-13,2020-03-20,14,0.01429101707498144,0.06719022687609075
2020-03-13,2020-03-20,149,0.0001855976243504083,0.0008726003490401396
2020-03-21,2020-03-28,162,0.0001855976243504083,0.0013869625520110957
2020-03-21,2020-03-28,42,0.0033407572383073497,0.024965325936199722
2020-03-21,2020-03-28,69,0.0007423904974016332,0.005547850208044383
2020-03-21,2020-03-28,88,0.0005567928730512249,0.004160887656033287
2020-03-21,2020-03-28,26,0.005939123979213066,0.044382801664355064
2020-03-21,2020-03-28,65,0.0009279881217520415,0.006934812760055479
2020-03-21,2020-03-28,5,0.03285077951002227,0.24549237170596394
2020-03-21,2020-03-28,19,0.010764662212323682,0.08044382801664356
2020-03-21,2020-03-28,11,0.02338530066815145,0.17475728155339806
2020-03-21,2020-03-28,175,0.0001855976243504083,0.0013869625520110957
2020-03-21,2020-03-28,23,0.009465478841870824,0.07073509015256588
2020-03-21,2020-03-28,12,0.016889383815887157,0.1262135922330097
2020-03-21,2020-03-28,22,0.009094283593170008,0.06796116504854369
2020-03-21,2020-03-28,62,0.0001855976243504083,0.0013869625520110957
2020-03-21,2020-03-28,86,0.0001855976243504083,0.0013869625520110957
2020-03-21,2020-03-28,25,0.007052709725315516,0.052704576976421634
2020-03-21,2020-03-28,35,0.005567928730512249,0.04160887656033287
2020-03-21,2020-03-28,95,0.0003711952487008166,0.0027739251040221915
2020-03-21,2020-03-28,32,0.005939123979213066,0.044382801664355064
2020-03-21,2020-03-28,112,0.0001855976243504083,0.0013869625520110957
2020-03-29,2020-04-05,10,0.017074981440237565,0.2967741935483871
2020-03-29,2020-04-05,16,0.011135857461024499,0.1935483870967742
2020-03-29,2020-04-05,126,0.0001855976243504083,0.0032258064516129032
2020-03-29,2020-04-05,24,0.008166295471417966,0.14193548387096774
2020-03-29,2020-04-05,273,0.0001855976243504083,0.0032258064516129032
2020-03-29,2020-04-05,100,0.0003711952487008166,0.0064516129032258064
2020-03-29,2020-04-05,40,0.0031551596139569415,0.054838709677419356
2020-03-29,2020-04-05,41,0.003526354862657758,0.06129032258064516
2020-03-29,2020-04-05,33,0.002969561989606533,0.05161290322580645
2020-03-29,2020-04-05,39,0.004083147735708983,0.07096774193548387
2020-03-29,2020-04-05,58,0.0016703786191536749,0.02903225806451613
2020-03-29,2020-04-05,269,0.0001855976243504083,0.0032258064516129032
2020-03-29,2020-04-05,52,0.0016703786191536749,0.02903225806451613
2020-03-29,2020-04-05,47,0.0020415738678544915,0.035483870967741936
2020-03-29,2020-04-05,76,0.0009279881217520415,0.016129032258064516
2020-03-29,2020-04-05,91,0.0001855976243504083,0.0032258064516129032
2020-04-06,2020-04-13,0,0.36302895322939865,0.9226415094339623
2020-04-06,2020-04-13,37,0.004454342984409799,0.011320754716981131
2020-04-06,2020-04-13,134,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,68,0.0007423904974016332,0.0018867924528301887
2020-04-06,2020-04-13,27,0.005753526354862658,0.014622641509433962
2020-04-06,2020-04-13,102,0.0003711952487008166,0.0009433962264150943
2020-04-06,2020-04-13,78,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,196,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,64,0.0011135857461024498,0.002830188679245283
2020-04-06,2020-04-13,77,0.0003711952487008166,0.0009433962264150943
2020-04-06,2020-04-13,144,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,57,0.0005567928730512249,0.0014150943396226414
2020-04-06,2020-04-13,43,0.0020415738678544915,0.005188679245283019
2020-04-06,2020-04-13,205,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,82,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,111,0.0003711952487008166,0.0009433962264150943
2020-04-06,2020-04-13,48,0.0011135857461024498,0.002830188679245283
2020-04-06,2020-04-13,140,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,108,0.0003711952487008166,0.0009433962264150943
2020-04-06,2020-04-13,49,0.001855976243504083,0.0047169811320754715
2020-04-06,2020-04-13,93,0.0005567928730512249,0.0014150943396226414
2020-04-06,2020-04-13,116,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,131,0.0003711952487008166,0.0009433962264150943
2020-04-06,2020-04-13,34,0.004083147735708983,0.010377358490566037
2020-04-06,2020-04-13,129,0.0001855976243504083,0.0004716981132075472
2020-04-06,2020-04-13,46,0.002969561989606533,0.007547169811320755
2020-04-06,2020-04-13,53,0.0012991833704528583,0.0033018867924528303
2020-04-06,2020-04-13,130,0.0003711952487008166,0.0009433962264150943
2020-04-14,2020-04-21,210,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,36,0.0033407572383073497,0.2727272727272727
2020-04-14,2020-04-21,159,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,256,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,63,0.0012991833704528583,0.10606060606060606
2020-04-14,2020-04-21,211,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,83,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,45,0.0016703786191536749,0.13636363636363635
2020-04-14,2020-04-21,219,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,59,0.0009279881217520415,0.07575757575757576
2020-04-14,2020-04-21,254,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,72,0.0003711952487008166,0.030303030303030304
2020-04-14,2020-04-21,51,0.0011135857461024498,0.09090909090909091
2020-04-14,2020-04-21,118,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,74,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,55,0.0014847809948032665,0.12121212121212122
2020-04-14,2020-04-21,141,0.0001855976243504083,0.015151515151515152
2020-04-14,2020-04-21,252,0.0001855976243504083,0.015151515151515152
2020-04-22,2020-04-29,54,0.0007423904974016332,0.2857142857142857
2020-04-22,2020-04-29,181,0.0001855976243504083,0.07142857142857142
2020-04-22,2020-04-29,247,0.0001855976243504083,0.07142857142857142
2020-04-22,2020-04-29,103,0.0001855976243504083,0.07142857142857142
2020-04-22,2020-04-29,184,0.0001855976243504083,0.07142857142857142
2020-04-22,2020-04-29,60,0.0007423904974016332,0.2857142857142857
2020-04-22,2020-04-29,73,0.0003711952487008166,0.14285714285714285
2020-04-30,2020-05-07,125,0.0001855976243504083,0.2
2020-04-30,2020-05-07,208,0.0001855976243504083,0.2
2020-04-30,2020-05-07,67,0.0001855976243504083,0.2
2020-04-30,2020-05-07,84,0.0001855976243504083,0.2
2020-04-30,2020-05-07,177,0.0001855976243504083,0.2
2020-05-08,2020-05-15,121,0.0001855976243504083,0.3333333333333333
2020-05-08,2020-05-15,90,0.0003711952487008166,0.6666666666666666
2020-05-16,2020-05-23,66,0.0007423904974016332,1.0
2020-06-01,2020-06-08,150,0.0001855976243504083,0.2
2020-06-01,2020-06-08,61,0.0007423904974016332,0.8
2020-06-09,2020-06-16,148,0.0001855976243504083,1.0
2020-09-05,2020-09-12,113,0.0001855976243504083,0.3333333333333333
2020-09-05,2020-09-12,89,0.0003711952487008166,0.6666666666666666
2020-10-07,2020-10-14,80,0.0001855976243504083,1.0
2020-10-15,2020-10-22,71,0.0001855976243504083,1.0
