data_inizio,data_fine,delay,frequenza_delay
2020-03-12,2020-03-13,10,0.007407407407407408
2020-03-23,2020-03-24,1,0.007407407407407408
2020-03-24,2020-03-25,7,0.007407407407407408
2020-03-25,2020-03-26,9,0.007407407407407408
2020-03-25,2020-03-26,42,0.007407407407407408
2020-03-26,2020-03-27,9,0.007407407407407408
2020-03-27,2020-03-28,9,0.007407407407407408
2020-03-29,2020-03-30,29,0.007407407407407408
2020-03-30,2020-03-31,4,0.007407407407407408
2020-04-01,2020-04-02,9,0.007407407407407408
2020-04-02,2020-04-03,3,0.007407407407407408
2020-04-03,2020-04-04,9,0.007407407407407408
2020-04-07,2020-04-08,4,0.007407407407407408
2020-04-09,2020-04-10,3,0.007407407407407408
2020-04-09,2020-04-10,17,0.007407407407407408
2020-04-10,2020-04-11,7,0.007407407407407408
2020-04-13,2020-04-14,3,0.007407407407407408
2020-04-15,2020-04-16,22,0.007407407407407408
2020-04-16,2020-04-17,8,0.007407407407407408
2020-04-19,2020-04-20,3,0.007407407407407408
2020-04-24,2020-04-25,9,0.007407407407407408
2020-04-29,2020-04-30,4,0.007407407407407408
2020-04-30,2020-05-01,12,0.007407407407407408
2020-04-30,2020-05-01,18,0.007407407407407408
2020-05-01,2020-05-02,11,0.007407407407407408
2020-05-03,2020-05-04,18,0.007407407407407408
2020-05-04,2020-05-05,15,0.007407407407407408
2020-05-08,2020-05-09,15,0.007407407407407408
2020-05-09,2020-05-10,9,0.007407407407407408
2020-05-11,2020-05-12,9,0.007407407407407408
2020-05-15,2020-05-16,16,0.007407407407407408
2020-05-23,2020-05-24,7,0.007407407407407408
2020-05-24,2020-05-25,13,0.007407407407407408
2020-06-02,2020-06-03,5,0.007407407407407408
2020-06-06,2020-06-07,5,0.007407407407407408
2020-08-14,2020-08-15,10,0.007407407407407408
2020-09-05,2020-09-06,3,0.007407407407407408
2020-09-13,2020-09-14,8,0.007407407407407408
2020-09-17,2020-09-18,4,0.007407407407407408
2020-09-19,2020-09-20,6,0.007407407407407408
2020-09-22,2020-09-23,19,0.007407407407407408
2020-09-28,2020-09-29,15,0.007407407407407408
2020-09-30,2020-10-01,7,0.007407407407407408
2020-10-02,2020-10-03,14,0.007407407407407408
2020-10-05,2020-10-06,22,0.007407407407407408
2020-10-09,2020-10-10,7,0.007407407407407408
2020-10-15,2020-10-16,7,0.007407407407407408
2020-10-18,2020-10-19,4,0.007407407407407408
2020-10-18,2020-10-19,25,0.007407407407407408
2020-10-20,2020-10-21,11,0.007407407407407408
2020-10-22,2020-10-23,5,0.007407407407407408
2020-10-23,2020-10-24,4,0.007407407407407408
2020-10-24,2020-10-25,9,0.007407407407407408
2020-10-25,2020-10-26,9,0.014814814814814815
2020-10-26,2020-10-27,15,0.007407407407407408
2020-10-27,2020-10-28,4,0.007407407407407408
2020-10-28,2020-10-29,5,0.007407407407407408
2020-10-28,2020-10-29,2,0.007407407407407408
2020-10-29,2020-10-30,3,0.007407407407407408
2020-10-30,2020-10-31,3,0.007407407407407408
2020-10-31,2020-11-01,8,0.007407407407407408
2020-10-31,2020-11-01,61,0.007407407407407408
2020-11-01,2020-11-02,7,0.007407407407407408
2020-11-02,2020-11-03,9,0.007407407407407408
2020-11-02,2020-11-03,26,0.007407407407407408
2020-11-03,2020-11-04,11,0.007407407407407408
2020-11-04,2020-11-05,6,0.014814814814814815
2020-11-04,2020-11-05,28,0.007407407407407408
2020-11-05,2020-11-06,31,0.007407407407407408
2020-11-05,2020-11-06,24,0.007407407407407408
2020-11-06,2020-11-07,14,0.007407407407407408
2020-11-06,2020-11-07,21,0.007407407407407408
2020-11-07,2020-11-08,8,0.007407407407407408
2020-11-08,2020-11-09,9,0.007407407407407408
2020-11-08,2020-11-09,23,0.007407407407407408
2020-11-09,2020-11-10,19,0.007407407407407408
2020-11-09,2020-11-10,34,0.007407407407407408
2020-11-10,2020-11-11,11,0.007407407407407408
2020-11-11,2020-11-12,9,0.014814814814814815
2020-11-12,2020-11-13,6,0.014814814814814815
2020-11-12,2020-11-13,44,0.007407407407407408
2020-11-13,2020-11-14,5,0.02962962962962963
2020-11-14,2020-11-15,5,0.014814814814814815
2020-11-15,2020-11-16,10,0.007407407407407408
2020-11-16,2020-11-17,17,0.007407407407407408
2020-11-17,2020-11-18,8,0.007407407407407408
2020-11-17,2020-11-18,32,0.007407407407407408
2020-11-18,2020-11-19,12,0.007407407407407408
2020-11-19,2020-11-20,17,0.007407407407407408
2020-11-19,2020-11-20,27,0.007407407407407408
2020-11-20,2020-11-21,10,0.007407407407407408
2020-11-20,2020-11-21,40,0.007407407407407408
2020-11-21,2020-11-22,5,0.007407407407407408
2020-11-22,2020-11-23,10,0.007407407407407408
2020-11-22,2020-11-23,20,0.007407407407407408
2020-11-23,2020-11-24,33,0.007407407407407408
2020-11-24,2020-11-25,7,0.007407407407407408
2020-11-25,2020-11-26,3,0.007407407407407408
2020-11-26,2020-11-27,13,0.007407407407407408
2020-11-27,2020-11-28,7,0.007407407407407408
2020-11-28,2020-11-29,7,0.007407407407407408
2020-11-29,2020-11-30,10,0.007407407407407408
2020-12-01,2020-12-02,8,0.007407407407407408
2020-12-02,2020-12-03,14,0.007407407407407408
2020-12-03,2020-12-04,23,0.007407407407407408
2020-12-04,2020-12-05,2,0.007407407407407408
2020-12-05,2020-12-06,13,0.014814814814814815
2020-12-07,2020-12-08,6,0.007407407407407408
2020-12-08,2020-12-09,6,0.007407407407407408
2020-12-09,2020-12-10,3,0.007407407407407408
2020-12-10,2020-12-11,12,0.007407407407407408
2020-12-11,2020-12-12,20,0.007407407407407408
2020-12-12,2020-12-13,6,0.014814814814814815
2020-12-13,2020-12-14,6,0.007407407407407408
2020-12-14,2020-12-15,10,0.007407407407407408
2020-12-15,2020-12-16,16,0.014814814814814815
2020-12-16,2020-12-17,15,0.007407407407407408
2020-12-17,2020-12-18,1,0.007407407407407408
2020-12-18,2020-12-19,5,0.007407407407407408
2020-12-21,2020-12-22,9,0.007407407407407408
2020-12-25,2020-12-26,6,0.007407407407407408
2020-12-26,2020-12-27,2,0.007407407407407408
2020-12-28,2020-12-29,3,0.014814814814814815
