data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-03,2020-04-02,0,0.966837926202709,0.9966297544535387
2020-03-03,2020-04-02,6,0.003269500233535731,0.003370245546461242
2020-04-03,2020-05-03,2,0.0014012143858010276,1.0
2020-08-05,2020-09-04,10,0.002335357309668379,0.35714285714285715
2020-08-05,2020-09-04,1,0.004203643157403083,0.6428571428571429
2020-10-06,2020-11-05,19,0.00046707146193367583,0.02631578947368421
2020-10-06,2020-11-05,5,0.0037365716954694066,0.21052631578947367
2020-10-06,2020-11-05,21,0.00046707146193367583,0.02631578947368421
2020-10-06,2020-11-05,18,0.00046707146193367583,0.02631578947368421
2020-10-06,2020-11-05,4,0.002335357309668379,0.13157894736842105
2020-10-06,2020-11-05,12,0.0018682858477347033,0.10526315789473684
2020-10-06,2020-11-05,7,0.0028024287716020553,0.15789473684210525
2020-10-06,2020-11-05,16,0.0009341429238673517,0.05263157894736842
2020-10-06,2020-11-05,14,0.00046707146193367583,0.02631578947368421
2020-10-06,2020-11-05,11,0.00046707146193367583,0.02631578947368421
2020-10-06,2020-11-05,15,0.0009341429238673517,0.05263157894736842
2020-10-06,2020-11-05,9,0.0028024287716020553,0.15789473684210525
2020-11-06,2020-12-06,13,0.00046707146193367583,0.14285714285714285
2020-11-06,2020-12-06,17,0.00046707146193367583,0.14285714285714285
2020-11-06,2020-12-06,8,0.0014012143858010276,0.42857142857142855
2020-11-06,2020-12-06,26,0.00046707146193367583,0.14285714285714285
2020-11-06,2020-12-06,39,0.00046707146193367583,0.14285714285714285
2020-12-07,2021-01-06,3,0.0009341429238673517,1.0
