data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-15,2020-02-29,5,0.07348242811501597,0.45394736842105265
2020-02-15,2020-02-29,9,0.038338658146964855,0.23684210526315788
2020-02-15,2020-02-29,13,0.03194888178913738,0.19736842105263158
2020-02-15,2020-02-29,16,0.01810436634717785,0.1118421052631579
2020-03-01,2020-03-15,6,0.06283280085197018,0.10359964881474978
2020-03-01,2020-03-15,25,0.004792332268370607,0.007901668129938543
2020-03-01,2020-03-15,2,0.06496272630457935,0.10711150131694469
2020-03-01,2020-03-15,12,0.043663471778487756,0.07199297629499561
2020-03-01,2020-03-15,4,0.0825346112886049,0.1360842844600527
2020-03-01,2020-03-15,1,0.054313099041533544,0.08955223880597014
2020-03-01,2020-03-15,38,0.005324813631522897,0.00877963125548727
2020-03-01,2020-03-15,17,0.01437699680511182,0.02370500438981563
2020-03-01,2020-03-15,10,0.04952076677316294,0.08165057067603161
2020-03-01,2020-03-15,35,0.005857294994675187,0.009657594381035996
2020-03-01,2020-03-15,0,0.03035143769968051,0.05004389815627744
2020-03-01,2020-03-15,36,0.004792332268370607,0.007901668129938543
2020-03-01,2020-03-15,45,0.002129925452609159,0.003511852502194908
2020-03-01,2020-03-15,42,0.002129925452609159,0.003511852502194908
2020-03-01,2020-03-15,11,0.038338658146964855,0.06321334503950835
2020-03-01,2020-03-15,7,0.04845580404685836,0.07989464442493416
2020-03-01,2020-03-15,14,0.028221512247071354,0.046532045654082525
2020-03-01,2020-03-15,19,0.012247071352502662,0.02019315188762072
2020-03-01,2020-03-15,18,0.01650692225772098,0.027216856892010536
2020-03-01,2020-03-15,20,0.012779552715654952,0.021071115013169446
2020-03-01,2020-03-15,24,0.009052183173588925,0.014925373134328358
2020-03-01,2020-03-15,23,0.006389776357827476,0.010535557506584723
2020-03-01,2020-03-15,29,0.004792332268370607,0.007901668129938543
2020-03-01,2020-03-15,49,0.002129925452609159,0.003511852502194908
2020-03-16,2020-03-30,3,0.0724174653887114,0.38526912181303113
2020-03-16,2020-03-30,8,0.041001064962726305,0.21813031161473087
2020-03-16,2020-03-30,59,0.0010649627263045794,0.0056657223796034
2020-03-16,2020-03-30,46,0.003194888178913738,0.0169971671388102
2020-03-16,2020-03-30,32,0.003727369542066028,0.019830028328611898
2020-03-16,2020-03-30,22,0.009584664536741214,0.05099150141643059
2020-03-16,2020-03-30,21,0.010649627263045794,0.056657223796033995
2020-03-16,2020-03-30,135,0.0005324813631522897,0.0028328611898017
2020-03-16,2020-03-30,56,0.0005324813631522897,0.0028328611898017
2020-03-16,2020-03-30,39,0.007987220447284345,0.042492917847025496
2020-03-16,2020-03-30,93,0.0005324813631522897,0.0028328611898017
2020-03-16,2020-03-30,15,0.027156549520766772,0.14447592067988668
2020-03-16,2020-03-30,30,0.004792332268370607,0.025495750708215296
2020-03-16,2020-03-30,27,0.004792332268370607,0.025495750708215296
2020-03-31,2020-04-14,40,0.002129925452609159,0.1111111111111111
2020-03-31,2020-04-14,26,0.005857294994675187,0.3055555555555556
2020-03-31,2020-04-14,31,0.002129925452609159,0.1111111111111111
2020-03-31,2020-04-14,65,0.0005324813631522897,0.027777777777777776
2020-03-31,2020-04-14,34,0.004792332268370607,0.25
2020-03-31,2020-04-14,74,0.0010649627263045794,0.05555555555555555
2020-03-31,2020-04-14,48,0.0026624068157614484,0.1388888888888889
2020-04-15,2020-04-29,80,0.0005324813631522897,0.25
2020-04-15,2020-04-29,54,0.001597444089456869,0.75
2020-09-12,2020-09-26,63,0.0010649627263045794,1.0
2020-09-27,2020-10-11,91,0.0005324813631522897,0.16666666666666666
2020-09-27,2020-10-11,61,0.001597444089456869,0.5
2020-09-27,2020-10-11,68,0.0010649627263045794,0.3333333333333333
2020-10-12,2020-10-26,43,0.001597444089456869,0.15
2020-10-12,2020-10-26,28,0.0026624068157614484,0.25
2020-10-12,2020-10-26,52,0.0010649627263045794,0.1
2020-10-12,2020-10-26,57,0.0010649627263045794,0.1
2020-10-12,2020-10-26,55,0.0005324813631522897,0.05
2020-10-12,2020-10-26,62,0.0005324813631522897,0.05
2020-10-12,2020-10-26,44,0.002129925452609159,0.2
2020-10-12,2020-10-26,51,0.0010649627263045794,0.1
2020-10-27,2020-11-10,50,0.0010649627263045794,0.2222222222222222
2020-10-27,2020-11-10,53,0.0005324813631522897,0.1111111111111111
2020-10-27,2020-11-10,47,0.0005324813631522897,0.1111111111111111
2020-10-27,2020-11-10,33,0.0026624068157614484,0.5555555555555556
2020-11-11,2020-11-25,37,0.002129925452609159,0.8
2020-11-11,2020-11-25,41,0.0005324813631522897,0.2
