data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-02-26,15,0.006666666666666667
2020-03-03,2020-03-03,11,0.006666666666666667
2020-03-05,2020-03-05,20,0.006666666666666667
2020-03-06,2020-03-06,7,0.006666666666666667
2020-03-07,2020-03-07,9,0.006666666666666667
2020-03-08,2020-03-08,1,0.006666666666666667
2020-03-11,2020-03-11,7,0.006666666666666667
2020-03-12,2020-03-12,4,0.006666666666666667
2020-03-14,2020-03-14,0,0.006666666666666667
2020-03-14,2020-03-14,6,0.006666666666666667
2020-03-15,2020-03-15,4,0.006666666666666667
2020-03-15,2020-03-15,3,0.006666666666666667
2020-03-16,2020-03-16,5,0.006666666666666667
2020-03-17,2020-03-17,1,0.006666666666666667
2020-03-17,2020-03-17,5,0.006666666666666667
2020-03-18,2020-03-18,0,0.006666666666666667
2020-03-18,2020-03-18,32,0.006666666666666667
2020-03-18,2020-03-18,10,0.006666666666666667
2020-03-19,2020-03-19,2,0.006666666666666667
2020-03-20,2020-03-20,8,0.006666666666666667
2020-03-20,2020-03-20,14,0.006666666666666667
2020-03-23,2020-03-23,3,0.006666666666666667
2020-03-23,2020-03-23,12,0.006666666666666667
2020-03-24,2020-03-24,2,0.013333333333333334
2020-03-24,2020-03-24,13,0.006666666666666667
2020-03-26,2020-03-26,5,0.006666666666666667
2020-03-27,2020-03-27,3,0.006666666666666667
2020-03-28,2020-03-28,6,0.006666666666666667
2020-03-29,2020-03-29,2,0.006666666666666667
2020-03-30,2020-03-30,4,0.006666666666666667
2020-03-31,2020-03-31,7,0.006666666666666667
2020-04-02,2020-04-02,5,0.013333333333333334
2020-04-03,2020-04-03,4,0.006666666666666667
2020-04-05,2020-04-05,19,0.006666666666666667
2020-04-07,2020-04-07,4,0.006666666666666667
2020-04-10,2020-04-10,82,0.006666666666666667
2020-04-11,2020-04-11,6,0.006666666666666667
2020-04-13,2020-04-13,2,0.006666666666666667
2020-04-15,2020-04-15,11,0.006666666666666667
2020-04-17,2020-04-17,1,0.006666666666666667
2020-04-18,2020-04-18,1,0.006666666666666667
2020-04-19,2020-04-19,5,0.006666666666666667
2020-04-22,2020-04-22,9,0.006666666666666667
2020-04-23,2020-04-23,3,0.006666666666666667
2020-04-27,2020-04-27,1,0.006666666666666667
2020-05-11,2020-05-11,3,0.006666666666666667
2020-05-21,2020-05-21,4,0.006666666666666667
2020-05-26,2020-05-26,5,0.006666666666666667
2020-08-09,2020-08-09,4,0.006666666666666667
2020-08-17,2020-08-17,4,0.006666666666666667
2020-08-22,2020-08-22,3,0.006666666666666667
2020-09-03,2020-09-03,3,0.006666666666666667
2020-09-05,2020-09-05,7,0.006666666666666667
2020-09-12,2020-09-12,4,0.006666666666666667
2020-09-14,2020-09-14,2,0.006666666666666667
2020-09-15,2020-09-15,17,0.006666666666666667
2020-09-16,2020-09-16,7,0.006666666666666667
2020-10-01,2020-10-01,3,0.006666666666666667
