data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-06,2020-03-06,23,0.015463917525773196,1.0
2020-03-10,2020-03-10,8,0.041237113402061855,1.0
2020-03-16,2020-03-16,13,0.061855670103092786,1.0
2020-03-17,2020-03-17,4,0.05154639175257732,1.0
2020-03-23,2020-03-23,48,0.010309278350515464,0.11764705882352941
2020-03-23,2020-03-23,11,0.07731958762886598,0.8823529411764706
2020-03-26,2020-03-26,21,0.020618556701030927,1.0
2020-04-01,2020-04-01,19,0.010309278350515464,1.0
2020-04-03,2020-04-03,9,0.06701030927835051,1.0
2020-04-07,2020-04-07,17,0.02577319587628866,1.0
2020-04-08,2020-04-08,26,0.010309278350515464,1.0
2020-04-10,2020-04-10,14,0.02577319587628866,0.3333333333333333
2020-04-10,2020-04-10,10,0.05154639175257732,0.6666666666666666
2020-04-12,2020-04-12,5,0.05670103092783505,1.0
2020-04-15,2020-04-15,12,0.061855670103092786,1.0
2020-04-18,2020-04-18,7,0.05154639175257732,1.0
2020-04-26,2020-04-26,2,0.03608247422680412,1.0
2020-06-10,2020-06-10,27,0.015463917525773196,1.0
2020-08-12,2020-08-12,22,0.010309278350515464,1.0
2020-09-08,2020-09-08,35,0.005154639175257732,1.0
2020-09-19,2020-09-19,18,0.02577319587628866,1.0
2020-10-03,2020-10-03,44,0.005154639175257732,1.0
2020-10-05,2020-10-05,30,0.010309278350515464,1.0
2020-10-09,2020-10-09,3,0.061855670103092786,1.0
2020-10-11,2020-10-11,62,0.005154639175257732,0.25
2020-10-11,2020-10-11,58,0.005154639175257732,0.25
2020-10-11,2020-10-11,32,0.010309278350515464,0.5
2020-10-13,2020-10-13,6,0.06701030927835051,0.7222222222222222
2020-10-13,2020-10-13,15,0.02577319587628866,0.2777777777777778
2020-10-15,2020-10-15,45,0.010309278350515464,1.0
2020-10-17,2020-10-17,25,0.005154639175257732,1.0
2020-10-18,2020-10-18,29,0.010309278350515464,1.0
2020-10-19,2020-10-19,33,0.010309278350515464,1.0
2020-10-24,2020-10-24,1,0.020618556701030927,1.0
2020-11-07,2020-11-07,24,0.005154639175257732,1.0
2020-11-08,2020-11-08,47,0.005154639175257732,1.0
2020-11-18,2020-11-18,39,0.005154639175257732,1.0
2020-11-19,2020-11-19,40,0.005154639175257732,1.0
