data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,12,0.023809523809523808,0.03137254901960784
2020-01-01,2020-04-30,21,0.017857142857142856,0.023529411764705882
2020-01-01,2020-04-30,23,0.03273809523809524,0.043137254901960784
2020-01-01,2020-04-30,30,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,18,0.03273809523809524,0.043137254901960784
2020-01-01,2020-04-30,17,0.026785714285714284,0.03529411764705882
2020-01-01,2020-04-30,34,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,7,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,14,0.041666666666666664,0.054901960784313725
2020-01-01,2020-04-30,22,0.03571428571428571,0.047058823529411764
2020-01-01,2020-04-30,6,0.03273809523809524,0.043137254901960784
2020-01-01,2020-04-30,27,0.03273809523809524,0.043137254901960784
2020-01-01,2020-04-30,39,0.005952380952380952,0.00784313725490196
2020-01-01,2020-04-30,101,0.002976190476190476,0.00392156862745098
2020-01-01,2020-04-30,40,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,52,0.011904761904761904,0.01568627450980392
2020-01-01,2020-04-30,9,0.02976190476190476,0.0392156862745098
2020-01-01,2020-04-30,13,0.03571428571428571,0.047058823529411764
2020-01-01,2020-04-30,25,0.03273809523809524,0.043137254901960784
2020-01-01,2020-04-30,31,0.020833333333333332,0.027450980392156862
2020-01-01,2020-04-30,1,0.005952380952380952,0.00784313725490196
2020-01-01,2020-04-30,10,0.03869047619047619,0.050980392156862744
2020-01-01,2020-04-30,16,0.02976190476190476,0.0392156862745098
2020-01-01,2020-04-30,4,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,33,0.017857142857142856,0.023529411764705882
2020-01-01,2020-04-30,38,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,20,0.023809523809523808,0.03137254901960784
2020-01-01,2020-04-30,45,0.005952380952380952,0.00784313725490196
2020-01-01,2020-04-30,48,0.011904761904761904,0.01568627450980392
2020-01-01,2020-04-30,11,0.020833333333333332,0.027450980392156862
2020-01-01,2020-04-30,29,0.020833333333333332,0.027450980392156862
2020-01-01,2020-04-30,58,0.002976190476190476,0.00392156862745098
2020-01-01,2020-04-30,37,0.01488095238095238,0.0196078431372549
2020-01-01,2020-04-30,15,0.03273809523809524,0.043137254901960784
2020-01-01,2020-04-30,65,0.002976190476190476,0.00392156862745098
2020-01-01,2020-04-30,28,0.023809523809523808,0.03137254901960784
2020-05-01,2020-08-29,26,0.01488095238095238,0.45454545454545453
2020-05-01,2020-08-29,63,0.002976190476190476,0.09090909090909091
2020-05-01,2020-08-29,43,0.005952380952380952,0.18181818181818182
2020-05-01,2020-08-29,42,0.008928571428571428,0.2727272727272727
2020-08-30,2020-12-28,5,0.023809523809523808,0.11428571428571428
2020-08-30,2020-12-28,24,0.017857142857142856,0.08571428571428572
2020-08-30,2020-12-28,3,0.005952380952380952,0.02857142857142857
2020-08-30,2020-12-28,46,0.005952380952380952,0.02857142857142857
2020-08-30,2020-12-28,32,0.023809523809523808,0.11428571428571428
2020-08-30,2020-12-28,44,0.005952380952380952,0.02857142857142857
2020-08-30,2020-12-28,36,0.020833333333333332,0.1
2020-08-30,2020-12-28,19,0.020833333333333332,0.1
2020-08-30,2020-12-28,67,0.002976190476190476,0.014285714285714285
2020-08-30,2020-12-28,59,0.002976190476190476,0.014285714285714285
2020-08-30,2020-12-28,8,0.026785714285714284,0.12857142857142856
2020-08-30,2020-12-28,56,0.005952380952380952,0.02857142857142857
2020-08-30,2020-12-28,51,0.005952380952380952,0.02857142857142857
2020-08-30,2020-12-28,2,0.005952380952380952,0.02857142857142857
2020-08-30,2020-12-28,0,0.008928571428571428,0.04285714285714286
2020-08-30,2020-12-28,35,0.011904761904761904,0.05714285714285714
2020-08-30,2020-12-28,47,0.002976190476190476,0.014285714285714285
2020-08-30,2020-12-28,60,0.002976190476190476,0.014285714285714285
2020-08-30,2020-12-28,49,0.002976190476190476,0.014285714285714285
2020-08-30,2020-12-28,41,0.002976190476190476,0.014285714285714285
