data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-01,2020-03-02,49,0.008801449650530676,0.035015447991761074
2020-02-01,2020-03-02,45,0.0064716541548019675,0.025746652935118436
2020-02-01,2020-03-02,18,0.02976960911208905,0.1184346035015448
2020-02-01,2020-03-02,16,0.03598239710069894,0.1431513903192585
2020-02-01,2020-03-02,23,0.026145482785399948,0.10401647785787847
2020-02-01,2020-03-02,29,0.01371990680818017,0.05458290422245108
2020-02-01,2020-03-02,52,0.006212787988609888,0.024716786817713696
2020-02-01,2020-03-02,22,0.024851151954439554,0.09886714727085479
2020-02-01,2020-03-02,20,0.030546207610665285,0.121524201853759
2020-02-01,2020-03-02,25,0.02355682112347916,0.0937178166838311
2020-02-01,2020-03-02,21,0.028475278281128655,0.11328527291452112
2020-02-01,2020-03-02,76,0.0010354646647683149,0.004119464469618949
2020-02-01,2020-03-02,31,0.012425575977219777,0.04943357363542739
2020-02-01,2020-03-02,56,0.003365260160497023,0.013388259526261586
2020-03-03,2020-04-02,8,0.02355682112347916,0.03252323087919943
2020-03-03,2020-04-02,15,0.039088791095003884,0.05396711937097927
2020-03-03,2020-04-02,9,0.03184053844162568,0.043959971408148675
2020-03-03,2020-04-02,11,0.03882992492881181,0.053609721229449604
2020-03-03,2020-04-02,14,0.03934765726119596,0.054324517512508934
2020-03-03,2020-04-02,33,0.014496505306756407,0.020014295925661188
2020-03-03,2020-04-02,37,0.010613512813875226,0.014653323802716226
2020-03-03,2020-04-02,63,0.0018120631633445508,0.0025017869907076485
2020-03-03,2020-04-02,44,0.01009578048149107,0.013938527519656898
2020-03-03,2020-04-02,5,0.014237639140564327,0.019656897784131523
2020-03-03,2020-04-02,17,0.029251876779704894,0.040385989992852034
2020-03-03,2020-04-02,28,0.01760289930106135,0.024303073624017155
2020-03-03,2020-04-02,19,0.03598239710069894,0.049678341672623305
2020-03-03,2020-04-02,93,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,40,0.00802485115195444,0.011079342387419585
2020-03-03,2020-04-02,12,0.037276727931659336,0.05146533238027162
2020-03-03,2020-04-02,301,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,7,0.01993269479679006,0.027519656897784132
2020-03-03,2020-04-02,86,0.000776598498576236,0.001072194424588992
2020-03-03,2020-04-02,3,0.005695055656225731,0.007862759113652609
2020-03-03,2020-04-02,4,0.01190784364483562,0.016440314510364547
2020-03-03,2020-04-02,35,0.012943308309603935,0.017869907076483203
2020-03-03,2020-04-02,13,0.03753559409785141,0.05182273052180129
2020-03-03,2020-04-02,43,0.00802485115195444,0.011079342387419585
2020-03-03,2020-04-02,34,0.009319181982914834,0.012866333095067906
2020-03-03,2020-04-02,50,0.005695055656225731,0.007862759113652609
2020-03-03,2020-04-02,24,0.016567434636293038,0.0228734810578985
2020-03-03,2020-04-02,6,0.02355682112347916,0.03252323087919943
2020-03-03,2020-04-02,39,0.008283717318146519,0.01143674052894925
2020-03-03,2020-04-02,26,0.01993269479679006,0.027519656897784132
2020-03-03,2020-04-02,38,0.008801449650530676,0.012151536812008578
2020-03-03,2020-04-02,36,0.009319181982914834,0.012866333095067906
2020-03-03,2020-04-02,10,0.03287600310639399,0.045389563974267334
2020-03-03,2020-04-02,27,0.01786176546725343,0.02466047176554682
2020-03-03,2020-04-02,67,0.001553196997152472,0.002144388849177984
2020-03-03,2020-04-02,41,0.007765984985762361,0.010721944245889922
2020-03-03,2020-04-02,94,0.0010354646647683149,0.0014295925661186562
2020-03-03,2020-04-02,103,0.0005177323323841574,0.0007147962830593281
2020-03-03,2020-04-02,115,0.0005177323323841574,0.0007147962830593281
2020-03-03,2020-04-02,137,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,48,0.006989386487186125,0.00964974982130093
2020-03-03,2020-04-02,30,0.015014237639140565,0.020729092208720514
2020-03-03,2020-04-02,51,0.004918457157649495,0.006790564689063617
2020-03-03,2020-04-02,60,0.003106393994304944,0.004288777698355968
2020-03-03,2020-04-02,47,0.004918457157649495,0.006790564689063617
2020-03-03,2020-04-02,72,0.0010354646647683149,0.0014295925661186562
2020-03-03,2020-04-02,283,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,101,0.000776598498576236,0.001072194424588992
2020-03-03,2020-04-02,77,0.0023297954957287085,0.0032165832737669764
2020-03-03,2020-04-02,59,0.004659590991457417,0.006433166547533953
2020-03-03,2020-04-02,57,0.004659590991457417,0.006433166547533953
2020-03-03,2020-04-02,92,0.0005177323323841574,0.0007147962830593281
2020-03-03,2020-04-02,2,0.001553196997152472,0.002144388849177984
2020-03-03,2020-04-02,58,0.0036241263266891016,0.005003573981415297
2020-03-03,2020-04-02,132,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,65,0.0012943308309603934,0.0017869907076483202
2020-03-03,2020-04-02,32,0.013202174475796014,0.018227305218012867
2020-03-03,2020-04-02,175,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,54,0.004400724825265338,0.006075768406004289
2020-03-03,2020-04-02,42,0.0064716541548019675,0.008934953538241601
2020-03-03,2020-04-02,78,0.0010354646647683149,0.0014295925661186562
2020-03-03,2020-04-02,71,0.0023297954957287085,0.0032165832737669764
2020-03-03,2020-04-02,141,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,121,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,62,0.0018120631633445508,0.0025017869907076485
2020-03-03,2020-04-02,64,0.0018120631633445508,0.0025017869907076485
2020-03-03,2020-04-02,112,0.0005177323323841574,0.0007147962830593281
2020-03-03,2020-04-02,75,0.0018120631633445508,0.0025017869907076485
2020-03-03,2020-04-02,61,0.0041418586590732595,0.005718370264474625
2020-03-03,2020-04-02,165,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,104,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,91,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,53,0.003365260160497023,0.004646175839885632
2020-03-03,2020-04-02,181,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,46,0.008283717318146519,0.01143674052894925
2020-03-03,2020-04-02,157,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,150,0.0002588661661920787,0.00035739814152966406
2020-03-03,2020-04-02,118,0.0005177323323841574,0.0007147962830593281
2020-03-03,2020-04-02,73,0.0025886616619207868,0.0035739814152966403
2020-03-03,2020-04-02,136,0.0005177323323841574,0.0007147962830593281
2020-04-03,2020-05-03,74,0.0010354646647683149,0.047058823529411764
2020-04-03,2020-05-03,1,0.000776598498576236,0.03529411764705882
2020-04-03,2020-05-03,102,0.0005177323323841574,0.023529411764705882
2020-04-03,2020-05-03,145,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,124,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,68,0.0018120631633445508,0.08235294117647059
2020-04-03,2020-05-03,139,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,55,0.004659590991457417,0.21176470588235294
2020-04-03,2020-05-03,79,0.000776598498576236,0.03529411764705882
2020-04-03,2020-05-03,116,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,85,0.0010354646647683149,0.047058823529411764
2020-04-03,2020-05-03,174,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,95,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,83,0.000776598498576236,0.03529411764705882
2020-04-03,2020-05-03,110,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,125,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,106,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,111,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,70,0.0010354646647683149,0.047058823529411764
2020-04-03,2020-05-03,265,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,148,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,170,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,144,0.0005177323323841574,0.023529411764705882
2020-04-03,2020-05-03,155,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,266,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,66,0.000776598498576236,0.03529411764705882
2020-04-03,2020-05-03,99,0.0005177323323841574,0.023529411764705882
2020-04-03,2020-05-03,119,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,84,0.0005177323323841574,0.023529411764705882
2020-04-03,2020-05-03,98,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,129,0.0002588661661920787,0.011764705882352941
2020-04-03,2020-05-03,69,0.0012943308309603934,0.058823529411764705
