data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-09,2020-03-10,20,0.09090909090909091,1.0
2020-03-13,2020-03-14,24,0.14285714285714285,0.8461538461538461
2020-03-13,2020-03-14,26,0.025974025974025976,0.15384615384615385
2020-03-31,2020-04-01,30,0.025974025974025976,1.0
2020-04-02,2020-04-03,17,0.025974025974025976,0.2222222222222222
2020-04-02,2020-04-03,21,0.09090909090909091,0.7777777777777778
2020-04-04,2020-04-05,19,0.07792207792207792,1.0
2020-04-10,2020-04-11,27,0.012987012987012988,1.0
2020-04-14,2020-04-15,23,0.05194805194805195,1.0
2020-09-13,2020-09-14,25,0.06493506493506493,1.0
2020-09-27,2020-09-28,34,0.025974025974025976,1.0
2020-10-03,2020-10-04,22,0.07792207792207792,1.0
2020-10-13,2020-10-14,18,0.1038961038961039,1.0
2020-10-15,2020-10-16,33,0.025974025974025976,1.0
2020-10-19,2020-10-20,16,0.025974025974025976,1.0
2020-10-23,2020-10-24,32,0.025974025974025976,1.0
2020-10-25,2020-10-26,31,0.03896103896103896,1.0
2020-10-29,2020-10-30,28,0.012987012987012988,1.0
2020-11-04,2020-11-05,15,0.025974025974025976,1.0
2020-11-12,2020-11-13,35,0.012987012987012988,1.0
2020-12-14,2020-12-15,11,0.012987012987012988,1.0
