data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-01,2020-03-15,29,0.02631578947368421,1.0
2020-03-16,2020-03-30,22,0.15789473684210525,1.0
2020-04-15,2020-04-29,25,0.07894736842105263,1.0
2020-05-15,2020-05-29,18,0.10526315789473684,0.8
2020-05-15,2020-05-29,63,0.02631578947368421,0.2
2020-09-27,2020-10-11,14,0.02631578947368421,1.0
2020-10-12,2020-10-26,17,0.07894736842105263,0.6
2020-10-12,2020-10-26,24,0.02631578947368421,0.2
2020-10-12,2020-10-26,9,0.02631578947368421,0.2
2020-10-27,2020-11-10,6,0.02631578947368421,0.07692307692307693
2020-10-27,2020-11-10,15,0.07894736842105263,0.23076923076923078
2020-10-27,2020-11-10,4,0.02631578947368421,0.07692307692307693
2020-10-27,2020-11-10,19,0.05263157894736842,0.15384615384615385
2020-10-27,2020-11-10,16,0.05263157894736842,0.15384615384615385
2020-10-27,2020-11-10,36,0.05263157894736842,0.15384615384615385
2020-10-27,2020-11-10,23,0.02631578947368421,0.07692307692307693
2020-10-27,2020-11-10,30,0.02631578947368421,0.07692307692307693
2020-11-11,2020-11-25,7,0.02631578947368421,1.0
2020-11-26,2020-12-10,32,0.02631578947368421,0.3333333333333333
2020-11-26,2020-12-10,27,0.02631578947368421,0.3333333333333333
2020-11-26,2020-12-10,20,0.02631578947368421,0.3333333333333333
