data_inizio,data_fine,delay,frequenza_delay
2020-02-29,2020-03-01,47,0.006993006993006993
2020-02-29,2020-03-01,24,0.006993006993006993
2020-03-05,2020-03-06,12,0.006993006993006993
2020-03-05,2020-03-06,23,0.006993006993006993
2020-03-06,2020-03-07,11,0.006993006993006993
2020-03-06,2020-03-07,26,0.006993006993006993
2020-03-07,2020-03-08,22,0.006993006993006993
2020-03-07,2020-03-08,25,0.006993006993006993
2020-03-12,2020-03-13,21,0.006993006993006993
2020-03-13,2020-03-14,21,0.006993006993006993
2020-03-13,2020-03-14,31,0.006993006993006993
2020-03-14,2020-03-15,17,0.006993006993006993
2020-03-15,2020-03-16,19,0.006993006993006993
2020-03-16,2020-03-17,21,0.006993006993006993
2020-03-17,2020-03-18,16,0.006993006993006993
2020-03-17,2020-03-18,29,0.006993006993006993
2020-03-19,2020-03-20,10,0.006993006993006993
2020-03-19,2020-03-20,33,0.006993006993006993
2020-03-20,2020-03-21,15,0.006993006993006993
2020-03-21,2020-03-22,45,0.006993006993006993
2020-03-21,2020-03-22,10,0.006993006993006993
2020-03-22,2020-03-23,27,0.006993006993006993
2020-03-23,2020-03-24,11,0.006993006993006993
2020-03-24,2020-03-25,32,0.006993006993006993
2020-03-26,2020-03-27,16,0.006993006993006993
2020-03-26,2020-03-27,40,0.006993006993006993
2020-03-27,2020-03-28,21,0.006993006993006993
2020-03-28,2020-03-29,6,0.006993006993006993
2020-03-29,2020-03-30,42,0.006993006993006993
2020-03-30,2020-03-31,24,0.006993006993006993
2020-03-31,2020-04-01,12,0.006993006993006993
2020-04-01,2020-04-02,14,0.006993006993006993
2020-04-01,2020-04-02,20,0.006993006993006993
2020-04-02,2020-04-03,24,0.013986013986013986
2020-04-03,2020-04-04,20,0.013986013986013986
2020-04-05,2020-04-06,39,0.006993006993006993
2020-04-06,2020-04-07,22,0.006993006993006993
2020-04-07,2020-04-08,8,0.006993006993006993
2020-04-07,2020-04-08,28,0.006993006993006993
2020-04-08,2020-04-09,13,0.006993006993006993
2020-04-08,2020-04-09,36,0.006993006993006993
2020-04-11,2020-04-12,22,0.006993006993006993
2020-04-12,2020-04-13,16,0.006993006993006993
2020-04-14,2020-04-15,15,0.006993006993006993
2020-04-15,2020-04-16,19,0.006993006993006993
2020-04-15,2020-04-16,87,0.006993006993006993
2020-04-17,2020-04-18,19,0.006993006993006993
2020-04-18,2020-04-19,6,0.006993006993006993
2020-04-19,2020-04-20,17,0.006993006993006993
2020-04-20,2020-04-21,21,0.006993006993006993
2020-04-23,2020-04-24,21,0.006993006993006993
2020-04-24,2020-04-25,17,0.006993006993006993
2020-04-25,2020-04-26,18,0.006993006993006993
2020-04-26,2020-04-27,32,0.006993006993006993
2020-04-28,2020-04-29,7,0.006993006993006993
2020-05-03,2020-05-04,22,0.006993006993006993
2020-05-04,2020-05-05,18,0.006993006993006993
2020-05-05,2020-05-06,24,0.006993006993006993
2020-05-06,2020-05-07,7,0.006993006993006993
2020-05-22,2020-05-23,16,0.006993006993006993
2020-06-04,2020-06-05,15,0.006993006993006993
2020-08-20,2020-08-21,30,0.006993006993006993
2020-08-31,2020-09-01,9,0.006993006993006993
2020-09-02,2020-09-03,21,0.006993006993006993
2020-10-04,2020-10-05,10,0.006993006993006993
2020-10-06,2020-10-07,13,0.006993006993006993
2020-10-08,2020-10-09,24,0.006993006993006993
2020-10-09,2020-10-10,38,0.006993006993006993
2020-10-10,2020-10-11,16,0.013986013986013986
2020-10-10,2020-10-11,44,0.006993006993006993
2020-10-11,2020-10-12,23,0.006993006993006993
2020-10-13,2020-10-14,26,0.006993006993006993
2020-10-14,2020-10-15,12,0.006993006993006993
2020-10-15,2020-10-16,15,0.006993006993006993
2020-10-16,2020-10-17,14,0.013986013986013986
2020-10-17,2020-10-18,23,0.006993006993006993
2020-10-18,2020-10-19,46,0.006993006993006993
2020-10-19,2020-10-20,40,0.006993006993006993
2020-10-20,2020-10-21,23,0.013986013986013986
2020-10-21,2020-10-22,17,0.006993006993006993
2020-10-21,2020-10-22,71,0.006993006993006993
2020-10-22,2020-10-23,6,0.006993006993006993
2020-10-22,2020-10-23,5,0.006993006993006993
2020-10-23,2020-10-24,64,0.006993006993006993
2020-10-24,2020-10-25,32,0.013986013986013986
2020-10-25,2020-10-26,20,0.02097902097902098
2020-10-25,2020-10-26,37,0.006993006993006993
2020-10-26,2020-10-27,13,0.006993006993006993
2020-10-26,2020-10-27,34,0.006993006993006993
2020-10-27,2020-10-28,10,0.006993006993006993
2020-10-28,2020-10-29,60,0.013986013986013986
2020-10-29,2020-10-30,20,0.006993006993006993
2020-10-30,2020-10-31,19,0.006993006993006993
2020-10-31,2020-11-01,26,0.006993006993006993
2020-11-01,2020-11-02,17,0.006993006993006993
2020-11-02,2020-11-03,24,0.006993006993006993
2020-11-03,2020-11-04,5,0.006993006993006993
2020-11-04,2020-11-05,21,0.006993006993006993
2020-11-05,2020-11-06,18,0.006993006993006993
2020-11-06,2020-11-07,18,0.006993006993006993
2020-11-07,2020-11-08,20,0.013986013986013986
